鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
仁愛區,房地(土地+建物),基隆市仁愛區忠三路91~120號,88.07,商,,,1050523,土地1建物1車位0,一層，騎樓,八層,店面(店鋪),商業用,鋼筋混凝土造,0700425,250.9,0,0,0,無,無,11800000,47031,,0.0,0,,RPQNMLMJOHLFFBC47CA
中正區,房地(土地+建物),基隆市中正區觀海街151~180號,22.66,住,,,1050509,土地1建物1車位0,二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,111.52000000000001,3,2,2,有,有,3160000,28336,,0.0,0,,RPPNMLNJOHLFFBC47CA
中正區,房地(土地+建物),基隆市中正區新豐街451~480號,21.74,其他,,,1050512,土地5建物1車位0,六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861121,114.27,3,2,2,有,有,4900000,42881,,0.0,0,,RPQNMLNJOHLFFBC57CA
中正區,房地(土地+建物),基隆市中正區觀海街211~240號,6.07,住,,,1050524,土地2建物1車位0,三層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880114,31.769999999999996,1,1,1,有,有,1050000,33050,,0.0,0,,RPPOMLNJOHLFFBC57CA
仁愛區,房地(土地+建物),基隆市仁愛區忠四路31~60號,9.84,商,,,1050518,土地3建物1車位0,一層，騎樓，夾層,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0751220,41.37,0,0,0,無,無,3910000,94513,,0.0,0,,RPROMLNJOHLFFBC77CA
中正區,房地(土地+建物),基隆市中正區觀海街211~240號,17.05,住,,,1050420,土地2建物1車位0,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,90.38,2,2,2,有,有,2550000,28214,,0.0,0,,RPPNMLPJOHLFFBC67CA
中正區,房地(土地+建物),基隆市中正區新豐街303巷21弄1~30號,31.86,住,,,1050507,土地4建物2車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0851119,106.28,3,2,2,有,有,3400000,31991,,0.0,0,,RPUNMLQJOHLFFBC28CA
信義區,房地(土地+建物),基隆市信義區培德路7巷1~30號,19.8,住,,,1050512,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740418,62.71,3,1,1,有,無,2250000,35879,,0.0,0,,RPQNMLRJOHLFFBC97CA
信義區,房地(土地+建物),基隆市信義區東信路3巷91~120號,35.12,住,,,1050425,土地5建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690114,101.43,3,2,2,有,無,4250000,41901,,0.0,0,含增建或未登記建物。,RPPNMLPKOHLFFBC77CA
七堵區,房地(土地+建物),基隆市七堵區百六街121~150號,49.49,住,,,1050503,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1010504,154.46,5,3,3,有,有,8500000,55030,,0.0,0,,RPQNMLOJOHLFFCC77CA
七堵區,車位,基隆市七堵區百六街121~150號,3.27,住,,,1050503,土地0建物0車位1,,,其他,,,,29.75,0,0,0,有,有,1500000,,坡道平面,29.75,1500000,單獨車位交易。,RPOUMLOJOHLFFCC28CA
七堵區,房地(土地+建物),基隆市七堵區南興路91~120號,22.07,商,,,1050416,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781020,98.23,3,2,2,有,無,7200000,73297,,0.0,0,,RPRNMLSJOHLFFCC28CA
