編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTOMLLJOHLFFAD77CA,25,5.59,共有部分,鋼筋混凝土造,80年6月27日,七層,
RPTOMLLJOHLFFAD77CA,25,18.22,住家用,鋼筋混凝土造,80年6月27日,七層,四層
RPUOMLLJOHLFFAD87CA,13,.09,見其他登記事項,鋼筋混凝土造,92年9月16日,十三層,一層 二層 三層
RPUOMLLJOHLFFAD87CA,13,.00,見其他登記事項,鋼筋混凝土造,92年9月16日,十三層,
RPUOMLLJOHLFFAD87CA,13,.01,見其他登記事項,鋼筋混凝土造,92年9月16日,十三層,
RPUOMLLJOHLFFAD87CA,13,.33,見其他登記事項,鋼筋混凝土造,92年9月16日,十四層,一層 二層 三層
RPUOMLLJOHLFFAD87CA,13,.02,見其他登記事項,鋼筋混凝土造,92年9月16日,十四層,
RPUOMLLJOHLFFAD87CA,13,109.74,見其他登記事項,鋼筋混凝土造,92年9月16日,十四層,四層
RPUOMLLJOHLFFAD87CA,13,.00,見其他登記事項,鋼筋混凝土造,92年9月16日,十四層,
RPUOMLLJOHLFFAD87CA,13,38.28,見其他登記事項,鋼筋混凝土造,92年9月16日,十四層,
RPUOMLLJOHLFFAD87CA,13,20.82,見其他登記事項,鋼筋混凝土造,92年9月16日,十四層,
RPXNMLMJOHLFFAD18CA,22,85.32,住家用,鋼筋混凝土造,83年10月13日,八層,四層
RPXNMLMJOHLFFAD18CA,22,7.77,共有部分,鋼筋混凝土造,83年10月13日,八層,
RPXNMLMJOHLFFAD18CA,22,33.80,共有部分,鋼筋混凝土造,83年10月13日,八層,
RPVNMLOJOHLFFAD18CA,7,53.98,見其他登記事項,鋼筋混凝土造,97年12月19日,十四層,九層
RPVNMLOJOHLFFAD18CA,7,21.65,共有部分,鋼筋混凝土造,97年12月19日,十四層,
RPVNMLOJOHLFFAD18CA,7,9.97,共有部分,鋼筋混凝土造,97年12月19日,十四層,
RPXNMLRJOHLFFAD68CA,10,228.02,見其他登記事項,見其他登記事項,95年1月27日,四層,一層 二層 三層 四層 屋頂突出物
RPUPMLNKOHLFFAD28CA,23,39.05,商業用,鋼筋混凝土造,82年11月19日,十五層,五層
RPUPMLNKOHLFFAD28CA,23,4.76,共有部分,鋼筋混凝土造,82年11月19日,十五層,
RPUPMLNKOHLFFAD28CA,23,13.80,共有部分,鋼筋混凝土造,82年11月19日,十五層,
RPPNMLPKOHLFFAD77CA,2,133.28,見其他登記事項,見其他登記事項,102年10月24日,十二層,九層
RPPNMLPKOHLFFAD77CA,2,131.85,見其他登記事項,見其他登記事項,102年10月24日,十二層,
RPOOMLOKOHLFFAD67CA,2,62.57,見其他登記事項,見其他登記事項,102年12月25日,十四層,十二層
RPOOMLOKOHLFFAD67CA,2,47.36,見其他登記事項,見其他登記事項,102年11月25日,十四層,
RPOOMLOKOHLFFAD67CA,2,13.79,見其他登記事項,見其他登記事項,102年11月25日,十四層,
RPPOMLOKOHLFFAD77CA,2,61.62,見其他登記事項,見其他登記事項,102年12月25日,十四層,十二層
RPPOMLOKOHLFFAD77CA,2,47.14,見其他登記事項,見其他登記事項,102年11月25日,十四層,
RPPOMLOKOHLFFAD77CA,2,14.32,見其他登記事項,見其他登記事項,102年11月25日,十四層,
RPUNMLTLOHLFFAD78CA,1,244.61,見其他登記事項,見其他登記事項,103年12月12日,四層,一層 二層 三層 四層 屋頂突出物
RPUNMLMJOHLFFBD97CA,1,153.98,見其他登記事項,鋼筋混凝土造,104年4月9日,四層,一層 二層 三層 四層
RPVNMLMJOHLFFBD08CA,1,154.33,見其他登記事項,鋼筋混凝土造,104年4月9日,四層,一層 二層 三層 四層
RPQNMLNJOHLFFBD67CA,3,97.88,住家用,鋼筋混凝土造,102年6月24日,三層,一層 二層 三層 屋頂突出物
RPQNMLNJOHLFFBD67CA,3,97.88,住家用,鋼筋混凝土造,102年6月24日,三層,一層 二層 三層 屋頂突出物
RPWNMLNKOHLFFBD38CA,2,174.97,見其他登記事項,鋼筋混凝土造,103年5月6日,三層,一層 二層 三層 屋頂突出物
RPVOMLNKOHLFFBD38CA,10,175.75,見其他登記事項,鋼筋混凝土造,94年11月18日,四層,一層 二層 三層 四層
