編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVOMLLJOHLFFAE08CA,28,337.24,住商用,鋼筋混凝土造,76年12月11日,五層,一層 二層 三層 四層 五層 防空避難室 騎樓
RPSNMLMJOHLFFAE77CA,3,388.21,住家用,鋼筋混凝土造,102年3月4日,五層,一層 二層 三層 四層 五層 屋頂突出物 騎樓
RPPOMLMJOHLFFAE57CA,20,267.07,商業用,鋼骨混凝土造,84年11月22日,二十五層,六層
RPPOMLMJOHLFFAE57CA,20,8.03,見使用執照,鋼骨混凝土造,84年11月22日,二十五層,
RPPOMLMJOHLFFAE57CA,20,62.70,見使用執照,鋼骨混凝土造,84年11月22日,二十五層,
RPXOMLMJOHLFFAE38CA,11,128.40,住家用,鋼筋混凝土造,94年8月19日,十四層,五層
RPXOMLMJOHLFFAE38CA,11,53.30,共有部分,鋼筋混凝土造,94年8月19日,十四層,
RPOPMLMJOHLFFAE57CA,10,64.78,住家用,鋼筋混凝土造,95年8月9日,十五層,五層
RPOPMLMJOHLFFAE57CA,10,41.45,共有部分,鋼筋混凝土造,95年8月9日,十五層,
RPTOMLNJOHLFFAE08CA,36,23.24,,鋼筋混凝土造,68年12月18日,十二層,六層
RPTOMLNJOHLFFAE08CA,36,6.57,見使用執照,鋼筋混凝土造,68年12月18日,十二層,
RPTNMLPJOHLFFAE18CA,2,196.07,住家用,鋼筋混凝土造,103年9月30日,十九層,二層
RPTNMLPJOHLFFAE18CA,2,169.91,見其它登記事項,鋼筋混凝土造,103年9月30日,十九層,
RPWNMLQJOHLFFAE58CA,10,86.79,住家用,鋼筋混凝土造,95年1月26日,十五層,十三層
RPWNMLQJOHLFFAE58CA,10,41.04,共有部分,鋼筋混凝土造,95年1月26日,十五層,
RPUOMLSJOHLFFAE68CA,12,56.64,住家用,鋼筋混凝土造,93年8月5日,十四層,六層
RPUOMLSJOHLFFAE68CA,12,23.73,共有部分,鋼筋混凝土造,93年8月5日,十四層,
RPVPMLSJOHLFFAE88CA,29,128.75,住家用,鋼筋混凝土造,76年6月26日,二層,一層 二層 騎樓
RPQOMLOKOHLFFAE97CA,13,56.21,住家用,鋼筋混凝土造,92年8月14日,十二層,十一層
RPQOMLOKOHLFFAE97CA,13,33.97,共有部分,鋼筋混凝土造,92年8月14日,十二層,
RPPOMLLLOHLFFAE67CA,1,131.55,住家用,鋼筋混凝土造,104年5月13日,二十四層,十二層
RPPOMLLLOHLFFAE67CA,1,89.54,見其它登記事項,鋼筋混凝土造,104年5月13日,二十四層,
RPQPMLLLOHLFFAE87CA,3,153.15,住家用,鋼筋混凝土造,102年3月1日,二十七層,六層
RPQPMLLLOHLFFAE87CA,3,98.90,見其它登記事項,鋼筋混凝土造,102年3月1日,二十七層,
RPTNMLKMOHLFFAE97CA,1,91.38,住家用,鋼筋混凝土造,103年12月10日,十五層,三層
RPTNMLKMOHLFFAE97CA,1,75.11,見其它登記事項,鋼筋混凝土造,103年12月10日,十五層,
RPUNMLKMOHLFFAE08CA,1,91.38,住家用,鋼筋混凝土造,103年12月10日,十五層,四層
RPUNMLKMOHLFFAE08CA,1,75.11,見其它登記事項,鋼筋混凝土造,103年12月10日,十五層,
RPPNMLMJOHLFFBE57CA,38,53.27,,鋼筋混凝土造,67年4月14日,五層,五層
RPXNMLMJOHLFFBE38CA,4,356.48,住家用,鋼筋混凝土造,101年7月5日,二十九層,十八層
RPXNMLMJOHLFFBE38CA,4,180.25,見其他登記事項,鋼筋混凝土造,101年7月5日,二十九層,
RPOOMLMJOHLFFBE57CA,19,94.39,住家用,鋼筋混凝土造,86年4月21日,三十五層,二十三層
RPOOMLMJOHLFFBE57CA,19,27.97,見使用執照,鋼筋混凝土造,86年4月21日,三十五層,
RPRNMLNJOHLFFBE87CA,20,19.35,商業用,鋼筋混凝土造,85年10月3日,十二層,十一層
RPRNMLNJOHLFFBE87CA,20,8.53,見使用執照,鋼筋混凝土造,85年10月3日,十二層,
RPPOMLOKOHLFFBE97CA,39,89.82,,鋼筋混凝土造,66年8月23日,四層,四層
RPTNMLLLOHLFFBE08CA,16,56.02,住家用,鋼筋混凝土造,89年3月4日,十四層,十三層
RPTNMLLLOHLFFBE08CA,16,23.57,見其他登記事項,鋼筋混凝土造,89年3月4日,十四層,
RPPNMLOJOHLFFCE87CA,1,89.49,見其它登記事項,鋼筋混凝土造,104年11月6日,十五層,二層
RPPNMLOJOHLFFCE87CA,1,50.95,見其它登記事項,鋼筋混凝土造,104年11月6日,十五層,
RPQNMLOJOHLFFCE97CA,1,59.55,見其它登記事項,鋼筋混凝土造,104年11月6日,十五層,三層
RPQNMLOJOHLFFCE97CA,1,34.80,見其它登記事項,鋼筋混凝土造,104年11月6日,十五層,
RPRNMLOJOHLFFCE08CA,1,59.55,見其它登記事項,鋼筋混凝土造,104年11月6日,十五層,四層
RPRNMLOJOHLFFCE08CA,1,26.10,見其它登記事項,鋼筋混凝土造,104年11月6日,十五層,
RPSNMLOJOHLFFCE18CA,1,59.55,見其它登記事項,鋼筋混凝土造,104年11月6日,十五層,七層
RPSNMLOJOHLFFCE18CA,1,26.10,見其它登記事項,鋼筋混凝土造,104年11月6日,十五層,
RPTNMLOJOHLFFCE28CA,1,61.73,見其它登記事項,鋼筋混凝土造,104年11月6日,十五層,十五層
RPTNMLOJOHLFFCE28CA,1,26.10,見其它登記事項,鋼筋混凝土造,104年11月6日,十五層,
RPPOMLOJOHLFFCE97CA,13,71.51,住家用,鋼筋混凝土造,92年9月15日,八層,七層
RPPOMLOJOHLFFCE97CA,13,32.08,共有部份,鋼筋混凝土造,92年9月15日,八層,
RPPOMLQJOHLFFCE18CA,1,205.26,住家用,鋼筋混凝土造,104年6月5日,四層,一層 二層 三層 四層 屋頂突出物 見其它登記事項
RPUNMLRJOHLFFCE68CA,29,172.64,,鋼筋混凝土造,76年6月18日,三層,一層 二層 三層 地下層
RPRNMLNJOHLFFCE97CA,1,103.86,見其它登記事項,鋼筋混凝土造,104年9月25日,十四層,六層
RPRNMLNJOHLFFCE97CA,1,57.56,見其它登記事項,鋼筋混凝土造,104年9月25日,十四層,
RPWNMLOKOHLFFCE68CA,25,132.11,商業用,鋼筋混凝土造,80年5月14日,十二層,四層
RPWNMLOKOHLFFCE68CA,25,76.23,見使用執照,鋼筋混凝土造,80年5月14日,十二層,
RPPOMLQKOHLFFCE28CA,,102.26,見其它登記事項,鋼筋混凝土造,104年11月3日,十五層,十層
RPPOMLQKOHLFFCE28CA,,82.32,見其它登記事項,鋼筋混凝土造,104年11月3日,十五層,
RPQNMLLLOHLFFCE87CA,2,305.82,住家用,鋼筋混凝土造,103年3月17日,四層,一層 二層 三層 四層
RPQOMLMJOHLFFDE97CA,47,126.06,住家用,加強磚造,58年10月31日,三層,一層 二層 三層 騎樓
RPWOMLMJOHLFFDE58CA,32,83.52,,鋼筋混凝土造,73年7月2日,五層,一層
RPWNMLNJOHLFFDE58CA,35,138.79,,鋼筋混凝土造,70年1月28日,三層,一層 二層 三層 地下層
RPXNMLNJOHLFFDE68CA,51,138.59,住商用,加強磚造,53年11月29日,三層,一層 二層 三層 騎樓
RPROMLNJOHLFFDE18CA,14,89.00,住家用,鋼筋混凝土造,91年2月4日,十四層,十四層
RPROMLNJOHLFFDE18CA,14,61.97,見使用執照,鋼筋混凝土造,91年2月4日,十四層,
RPTNMLQJOHLFFDE58CA,4,84.98,住家用,鋼筋混凝土造,101年2月8日,十五層,四層
RPTNMLQJOHLFFDE58CA,4,54.12,共有部分,鋼筋混凝土造,101年2月8日,十五層,
RPROMLRJOHLFFDE58CA,19,104.26,住家用,鋼筋混凝土造,86年1月24日,十四層,十一層
RPROMLRJOHLFFDE58CA,19,32.96,見使用執照,鋼筋混凝土造,86年1月24日,十四層,
RPWNMLSJOHLFFDE09CA,21,1271.79,見其它登記事項,鋼筋混凝土造,84年4月11日,七層,一層 二層 三層 四層 五層 六層 七層 騎樓 地下一層 見其他登記事項
RPTNMLRKOHLFFDE78CA,35,190.00,,鋼筋混凝土造,70年9月22日,四層,一層 二層 三層 四層 騎樓 地下層
RPTOMLLLOHLFFDE38CA,36,82.70,,鋼筋混凝土造,69年5月12日,五層,二層
RPXOMLOLOHLFFDE09CA,2,149.71,住家用,鋼筋混凝土造,103年6月10日,十五層,九層
RPXOMLOLOHLFFDE09CA,2,104.49,共有部分,鋼筋混凝土造,103年6月10日,十五層,
RPPPMLOLOHLFFDE38CA,2,149.71,住家用,鋼筋混凝土造,103年6月10日,十五層,八層
RPPPMLOLOHLFFDE38CA,2,104.49,共有部分,鋼筋混凝土造,103年6月10日,十五層,
RPVNMLRLOHLFFDE09CA,8,25.87,住家用,鋼筋混凝土造,97年1月16日,十三層,八層
RPVNMLRLOHLFFDE09CA,8,2.98,見其它登記事項,鋼筋混凝土造,97年1月16日,十三層,
RPVNMLRLOHLFFDE09CA,8,13.34,見其它登記事項,鋼筋混凝土造,97年1月16日,十三層,
RPRQMLMJOHLFFEE38CA,9,300.38,住商用,鋼筋混凝土造,95年12月1日,五層,一層 二層 三層 四層 五層 騎樓
RPTQMLMJOHLFFEE58CA,20,86.80,住家用,鋼筋混凝土造,85年10月28日,二十三層,十五層
RPTQMLMJOHLFFEE58CA,20,24.52,見使用執照,鋼筋混凝土造,85年10月28日,二十三層,
RPQNMLPJOHLFFEE28CA,12,14.89,見使用執照,見使用執照,93年4月13日,十層,二層
RPQNMLPJOHLFFEE28CA,12,6.62,見使用執照,見使用執照,93年4月13日,十層,
RPQNMLPJOHLFFEE28CA,12,2.87,見使用執照,見使用執照,93年4月13日,,
RPOQMLQJOHLFFEE48CA,1,211.06,見其它登記事項,見其它登記事項,104年8月10日,二十八層,十八層
RPOQMLQJOHLFFEE48CA,1,148.15,見其它登記事項,見其它登記事項,104年8月10日,二十八層,
RPPPMLQJOHLFFEE48CA,30,88.82,住家用,鋼筋混凝土造,74年11月29日,十二層,九層
RPPPMLQJOHLFFEE48CA,30,12.27,,鋼筋混凝土造,74年11月29日,十二層,
RPVNMLRJOHLFFEE98CA,45,74.03,,加強磚造,60年8月10日,二層,一層 二層
RPPQMLSJOHLFFEE78CA,1,216.18,見其它登記事項,見其它登記事項,104年7月30日,二十五層,十七層
RPPQMLSJOHLFFEE78CA,1,168.94,見其它登記事項,見其它登記事項,104年7月30日,二十五層,
RPUOMLPKOHLFFEE88CA,14,92.50,住家用,見使用執照,91年4月23日,十四層,四層
RPUOMLPKOHLFFEE88CA,14,29.41,見使用執照,見使用執照,91年4月23日,十四層,
RPVOMLPKOHLFFEE98CA,16,107.13,商業用,見使用執照,89年8月21日,十二層,一層 騎樓
RPVOMLPKOHLFFEE98CA,16,36.58,見使用執照,見其它登記事項,89年8月21日,十二層,
RPXNMLLLOHLFFEE78CA,26,120.01,住家用,鋼筋混凝土造,79年6月14日,十三層,五層
RPXNMLLLOHLFFEE78CA,26,40.82,見使用執照,鋼筋混凝土造,79年6月14日,十二層,
RPQNMLNLOHLFFEE28CA,,82.51,見其它登記事項,見其它登記事項,105年2月24日,十五層,八層
RPQNMLNLOHLFFEE28CA,,63.58,見其它登記事項,見其它登記事項,105年2月24日,十五層,
RPRNMLNLOHLFFEE38CA,,78.90,見其它登記事項,見其它登記事項,105年2月24日,十五層,八層
RPRNMLNLOHLFFEE38CA,,50.47,見其它登記事項,見其它登記事項,105年2月24日,十五層,
RPTNMLNLOHLFFEE58CA,,47.24,見其它登記事項,見其它登記事項,105年2月24日,十五層,九層
RPTNMLNLOHLFFEE58CA,,23.94,見其它登記事項,見其它登記事項,105年2月24日,十五層,
RPROMLNLOHLFFEE48CA,,56.02,見其它登記事項,見其它登記事項,105年2月24日,十五層,七層
RPROMLNLOHLFFEE48CA,,30.70,見其它登記事項,見其它登記事項,105年2月24日,十五層,
RPPNMLPLOHLFFEE38CA,21,116.31,住家用,鋼筋混凝土造,84年8月18日,十三層,十二層
RPPNMLPLOHLFFEE38CA,21,47.15,見使用執照,鋼筋混凝土造,84年8月18日,十三層,
RPQNMLPLOHLFFEE48CA,,69.77,見其它登記事項,見其它登記事項,105年3月22日,十五層,十一層
RPQNMLPLOHLFFEE48CA,,65.46,見其它登記事項,見其它登記事項,105年3月22日,十五層,
RPRNMLPLOHLFFEE58CA,,51.33,見其它登記事項,見其它登記事項,105年3月22日,十五層,五層
RPRNMLPLOHLFFEE58CA,,48.40,見其它登記事項,見其它登記事項,105年3月22日,十五層,
RPSNMLPLOHLFFEE68CA,,51.55,見其它登記事項,見其它登記事項,105年3月22日,十五層,五層
RPSNMLPLOHLFFEE68CA,,30.15,見其它登記事項,見其它登記事項,105年3月22日,十五層,
RPTNMLPLOHLFFEE78CA,,50.99,見其它登記事項,見其它登記事項,105年3月22日,十五層,十一層
RPTNMLPLOHLFFEE78CA,,29.76,見其它登記事項,見其它登記事項,105年3月22日,十五層,
RPUNMLPLOHLFFEE88CA,,51.55,見其它登記事項,見其它登記事項,105年3月22日,十五層,十層
RPUNMLPLOHLFFEE88CA,,55.02,見其它登記事項,見其它登記事項,105年3月22日,十五層,
RPVNMLPLOHLFFEE98CA,,51.55,見其它登記事項,見其它登記事項,105年3月22日,十五層,八層
RPVNMLPLOHLFFEE98CA,,30.15,見其它登記事項,見其它登記事項,105年3月22日,十五層,
RPWNMLPLOHLFFEE09CA,,51.55,見其它登記事項,見其它登記事項,105年3月22日,十五層,九層
RPWNMLPLOHLFFEE09CA,,30.15,見其它登記事項,見其它登記事項,105年3月22日,十五層,
RPXNMLPLOHLFFEE56CA,,50.99,見其它登記事項,見其它登記事項,105年3月22日,十五層,十層
