編號,車位類別,車位價格,車位面積平方公尺
RPOPMLMJOHLFFAE57CA,坡道機械,0,
RPTNMLPJOHLFFAE18CA,坡道平面,1200000,45.02
RPTNMLPJOHLFFAE18CA,坡道機械,550000,19.17
RPWNMLQJOHLFFAE58CA,坡道機械,0,5.61
RPQOMLOKOHLFFAE97CA,坡道機械,0,
RPPOMLLLOHLFFAE67CA,坡道平面,0,19.90
RPQPMLLLOHLFFAE87CA,坡道平面,0,16.66
RPTNMLKMOHLFFAE97CA,坡道平面,1750000,29.11
RPUNMLKMOHLFFAE08CA,坡道平面,1750000,29.11
RPXNMLMJOHLFFBE38CA,坡道平面,0,16.55
RPXNMLMJOHLFFBE38CA,坡道平面,0,16.55
RPPNMLOJOHLFFCE87CA,坡道平面,0,13.67
RPQNMLOJOHLFFCE97CA,坡道機械,0,8.70
RPPOMLOJOHLFFCE97CA,其他,0,
RPPOMLQKOHLFFCE28CA,坡道平面,0,22.51
RPROMLNJOHLFFDE18CA,坡道平面,0,24.42
RPTNMLQJOHLFFDE58CA,坡道機械,0,10.82
RPXOMLOLOHLFFDE09CA,坡道平面,0,28.02
RPPPMLOLOHLFFDE38CA,坡道平面,0,28.02
RPOQMLQJOHLFFEE48CA,坡道平面,0,29.63
RPOQMLQJOHLFFEE48CA,坡道平面,0,29.63
RPPQMLSJOHLFFEE78CA,坡道平面,0,26.36
RPPQMLSJOHLFFEE78CA,坡道平面,0,22.84
RPUOMLPKOHLFFEE88CA,坡道平面,0,6.30
RPVOMLPKOHLFFEE98CA,坡道平面,0,25.32
RPQNMLNLOHLFFEE28CA,坡道平面,1300000,19.08
RPRNMLNLOHLFFEE38CA,坡道機械,770000,7.95
RPPNMLPLOHLFFEE38CA,坡道平面,0,
RPQNMLPLOHLFFEE48CA,坡道平面,0,
RPRNMLPLOHLFFEE58CA,坡道機械,0,
RPUNMLPLOHLFFEE88CA,坡道平面,0,
RPOOMLPLOHLFFEE38CA,坡道平面,0,
RPVNMLRLOHLFFEE56CA,坡道平面,0,19.49
RPWNMLRLOHLFFEE66CA,坡道平面,0,22.64
RPUOMLSLOHLFFEE66CA,坡道平面,0,19.14
RPVOMLSLOHLFFEE76CA,坡道平面,0,19.14
RPQPMLSLOHLFFEE98CA,坡道平面,0,19.14
RPRPMLSLOHLFFEE09CA,坡道平面,0,19.14
RPROMLNJOHLFFGE48CA,坡道平面,0,21.29
RPSNMLSJOHLFFGE98CA,坡道平面,0,
RPQOMLNKOHLFFGE48CA,坡道機械,0,
RPPNMLRKOHLFFGE68CA,坡道平面,0,
RPPOMLLLOHLFFGE28CA,坡道機械,0,
RPQOMLLLOHLFFGE38CA,坡道機械,0,
RPXPMLMLOHLFFGE66CA,坡道平面,0,16.73
RPPQMLMLOHLFFGE58CA,坡道平面,0,14.56
RPQQMLMLOHLFFGE68CA,坡道平面,0,14.56
RPUPMLMLOHLFFGE98CA,坡道平面,0,16.73
RPOOMLRJOHLFFIE78CA,坡道平面,0,
RPPOMLNKOHLFFIE58CA,坡道平面,0,33.49
RPQOMLNKOHLFFIE68CA,坡道平面,0,33.49
RPTNMLMJOHLFFLE98CA,升降機械,0,
RPRNMLRLOHLFFAE48DA,坡道平面,0,13.29
RPXNMLNKOHLFFIE66CA,坡道平面,0,33.08
RPQNMLMJPHLFFGE28CA,坡道平面,0,25.37
RPVPMLMLOHLFFGE09CA,坡道平面,0,16.73
RPRQMLMLOHLFFGE78CA,坡道平面,0,16.73
RPSQMLMLOHLFFGE88CA,坡道平面,0,16.73
RPUOMLLLOHLFFGE78CA,坡道機械,0,
RPTPMLMLOHLFFGE88CA,坡道平面,0,16.73
RPSOMLQKOHLFFGE98CA,坡道平面,0,23.13
RPUNMLOKOHLFFGE88CA,坡道平面,0,18.81
RPOPMLOLOHLFFEE38CA,坡道平面,0,
RPUPMLNLOHLFFEE88CA,坡道平面,1300000,16.29
RPVPMLNLOHLFFEE98CA,坡道平面,0,19.08
RPSNMLNLOHLFFEE48CA,坡道平面,1200000,19.08
RPRQMLQKOHLFFEE88CA,坡道平面,0,
RPTPMLNKOHLFFEE68CA,坡道平面,0,28.13
RPTPMLNKOHLFFEE68CA,坡道平面,0,25.32
RPTNMLNJOHLFFEE38CA,坡道平面,0,
RPPNMLRLOHLFFDE48CA,坡道平面,0,27.62
RPPNMLRLOHLFFDE48CA,坡道平面,0,27.62
RPRNMLSJOHLFFDE58CA,升降機械,0,6.65
RPRNMLRJOHLFFDE48CA,坡道機械,0,
RPSOMLNJOHLFFDE28CA,坡道機械,0,
RPXNMLOJOHLFFDE78CA,坡道平面,0,
RPPNMLNJOHLFFDE87CA,坡道平面,0,
RPPNMLNJOHLFFDE87CA,坡道平面,0,
RPRNMLNJOHLFFDE08CA,坡道平面,0,
RPTNMLNKOHLFFCE28CA,坡道平面,0,24.30
RPTNMLNJOHLFFCE18CA,坡道平面,1100000,31.94
RPWOMLOJOHLFFCE68CA,坡道平面,0,13.32
RPOPMLOJOHLFFCE97CA,坡道平面,0,19.72
RPQPMLOJOHLFFCE18CA,坡道平面,0,19.72
RPSPMLOJOHLFFCE38CA,坡道平面,0,19.72
RPRNMLSLOHLFFBE58CA,坡道機械,1100000,14.89
RPUOMLSLOHLFFBE98CA,坡道機械,1100000,14.89
RPXOMLSLOHLFFBE66CA,坡道機械,1000000,14.89
RPOPMLSLOHLFFBE48CA,坡道機械,800000,14.89
RPPPMLSLOHLFFBE58CA,坡道機械,900000,14.89
RPQPMLSLOHLFFBE68CA,坡道機械,1000000,14.89
RPRPMLSLOHLFFBE78CA,坡道機械,1000000,14.89
RPSPMLSLOHLFFBE88CA,坡道平面,1200000,29.78
RPTPMLSLOHLFFBE98CA,坡道平面,1800000,29.78
RPUPMLSLOHLFFBE09CA,坡道平面,1650000,29.78
RPVPMLSLOHLFFBE56CA,坡道平面,1800000,29.78
RPWPMLSLOHLFFBE66CA,坡道平面,1800000,29.78
RPPNMLNJOHLFFCE77CA,坡道平面,1200000,31.94
RPQNMLNJOHLFFCE87CA,坡道平面,1200000,31.94
RPRNMLRJOHLFFBE28CA,升降機械,0,8.05
RPXNMLOLOHLFFAE68CA,坡道機械,0,5.85
RPPNMLQLOHLFFAE08CA,坡道機械,0,
RPROMLRKOHLFFAE38CA,坡道平面,1300000,37.48
RPROMLRKOHLFFAE38CA,坡道平面,1300000,37.48
RPXOMLQJOHLFFAE78CA,坡道平面,1700000,27.85
RPXOMLQJOHLFFAE78CA,坡道平面,1700000,27.85
RPUOMLNJOHLFFAE18CA,坡道平面,0,17.31
RPUOMLNJOHLFFAE18CA,坡道平面,0,17.31
RPVOMLNJOHLFFAE28CA,坡道平面,0,17.31
RPVOMLNJOHLFFAE28CA,坡道平面,0,17.31
RPQOMLLLOHLFFAE77CA,坡道平面,0,19.90
RPROMLLLOHLFFAE87CA,坡道平面,0,19.90
RPSNMLRJOHLFFBE38CA,坡道平面,0,29.12
RPXPMLSLOHLFFBE76CA,坡道平面,1400000,29.78
RPOQMLSLOHLFFBE58CA,坡道平面,1800000,29.78
RPSNMLRKOHLFFBE48CA,坡道平面,1700000,31.06
RPSOMLOJOHLFFDE38CA,坡道平面,0,
RPWNMLQJOHLFFDE88CA,坡道平面,0,17.32
RPQOMLSLOHLFFDE78CA,坡道平面,1680000,29.10
RPVOMLSLOHLFFDE66CA,坡道平面,1780000,29.10
RPRPMLSLOHLFFDE98CA,坡道平面,1580000,29.10
RPQPMLQJOHLFFEE58CA,升降機械,0,5.08
RPXOMLRKOHLFFEE76CA,坡道平面,0,
RPWPMLNLOHLFFEE09CA,坡道平面,1900000,26.41
RPOQMLNLOHLFFEE38CA,坡道平面,1800000,14.93
RPVPMLOLOHLFFEE09CA,坡道平面,1200000,20.16
RPTNMLRJOHLFFFE88CA,坡道機械,0,
RPQQMLQJOHLFFGE88CA,坡道機械,0,12.90
RPQPMLRJOHLFFGE88CA,坡道機械,0,
RPSOMLPKOHLFFGE88CA,坡道平面,0,
RPRNMLMLOHLFFGE48CA,坡道機械,0,
RPSOMLLJPHLFFGE48CA,坡道平面,0,
RPQNMLSLOHLFFGE98CA,坡道平面,1200000,43.91
RPOOMLSLOHLFFGE88CA,坡道機械,0,7.09
RPTNMLNKOHLFFIE88CA,坡道平面,0,
RPSOMLOJPHLFFAE28DA,坡道平面,0,
RPRNMLOJOHLFFEE38DA,坡道機械,0,
RPWOMLOKOHLFFFE56DA,一樓平面,0,
RPRNMLRLOHLFFIE56CA,坡道機械,0,17.61
RPXNMLRLOHLFFIE17CA,坡道機械,0,17.61
RPPOMLQKOHLFFIE88CA,坡道平面,0,33.49
RPQOMLQKOHLFFIE98CA,坡道平面,0,33.49
RPROMLQKOHLFFIE09CA,坡道平面,0,33.49
RPPNMLRKOHLFFIE88CA,坡道平面,0,33.49
RPQNMLRKOHLFFIE98CA,坡道平面,0,33.49
RPRNMLRKOHLFFIE09CA,坡道平面,0,33.49
RPTNMLRKOHLFFIE66CA,坡道平面,0,33.49
RPUOMLMLOHLFFGE88CA,坡道平面,0,16.73
RPVOMLMLOHLFFGE98CA,坡道平面,0,16.73
RPWOMLMLOHLFFGE09CA,坡道平面,0,16.73
RPOPMLMLOHLFFGE38CA,坡道平面,0,16.73
RPPPMLMLOHLFFGE48CA,坡道平面,0,16.73
RPQPMLMLOHLFFGE58CA,坡道機械,0,8.01
RPSOMLSJOHLFFGE09CA,坡道平面,0,18.81
RPQOMLRJOHLFFGE78CA,坡道平面,0,
RPXOMLLLOHLFFFE98CA,坡道平面,0,
