編號,車位類別,車位價格,車位面積平方公尺
RPROMLLJOHLFFAE87CC,坡道平面,0,17.30
RPRNMLLJOHLFFBE87CC,坡道平面,0,30.53
RPTNMLLJOHLFFBE08CC,坡道機械,0,
RPXNMLLJOHLFFBE48CC,坡道平面,0,
RPQOMLLJOHLFFBE87CC,坡道平面,0,33.39
RPQOMLLJOHLFFBE87CC,坡道平面,0,33.39
RPOQMLLJOHLFFEE18CC,坡道平面,0,
RPRQMLLJOHLFFEE48CC,坡道機械,0,10.55
RPWNMLMJOHLFFBE48CC,坡道平面,0,22.11
RPPNMLNJOHLFFFE28CC,升降機械,0,
RPSNMLQJOHLFFBE48CC,坡道平面,1700,12.66
RPPOMLQJOHLFFGE78CC,坡道平面,0,19.23
RPPNMLQJOHLFFDE38CC,坡道平面,0,19.29
RPTPMLSJOHLFFEE76DC,坡道平面,0,13.30
RPUPMLSJOHLFFEE86DC,坡道機械,0,6.65
RPSPMLSJOHLFFAE78CC,坡道平面,0,
RPOQMLSJOHLFFAE48CC,坡道機械,0,
RPRNMLTJOHLFFIE76CC,坡道平面,0,27.72
RPQNMLKKOHLFFIE48CC,坡道平面,5000,27.72
RPPNMLLKOHLFFAE67CC,坡道平面,0,
RPRNMLLKOHLFFAE87CC,坡道機械,0,7.32
RPWNMLNKOHLFFGE56CC,坡道平面,0,
RPVNMLNKOHLFFCE68CC,坡道平面,0,
RPROMLOKOHLFFDE68DC,坡道機械,0,13.81
RPXNMLOKOHLFFCE98CC,坡道平面,0,24.18
RPTNMLPKOHLFFBE58CC,坡道平面,1700,12.66
