鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
土城區,土地,學林段61~90地號,42.69,其他,,,1050524,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3010712,70525,,0.0,0,,RPUOMLMJOHLFFAF18CA
土城區,土地,學林段61~90地號,93.55,其他,,,1050518,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5493172,58719,,0.0,0,土地使用分區為道路用地。,RPVOMLMJOHLFFAF28CA
土城區,房地(土地+建物),新北市土城區清水路91~120號,15.21,商,,,1050520,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030110,133.61,3,2,2,有,無,16680000,124841,,0.0,0,,RPRPMLMJOHLFFAF97CA
板橋區,房地(土地+建物),新北市板橋區文化路一段361~390號,4.19,住,,,1050514,土地1建物1車位0,八層,四十三層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990715,81.4,2,1,1,有,有,17000000,208845,,0.0,0,,RPTPMLMJOHLFFAF18CA
板橋區,車位,新北市板橋區長江路一段361~390號,0.5,住,,,1050426,土地0建物0車位1,,,其他,,,,34.91,0,0,0,有,有,1550000,,坡道平面,34.91,1550000,,RPXPMLMJOHLFFAF58CA
土城區,房地(土地+建物),新北市土城區明德路二段121~150號,11.6,住,,,1050507,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830614,83.72,3,2,1,有,有,9380000,112040,,0.0,0,含增建或未登記建物。,RPWQMLMJOHLFFAF58CA
土城區,房地(土地+建物),新北市土城區中央路三段281巷23弄1~30號,39.51,住,,,1050410,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701223,107.06,2,2,1,有,無,6400000,59780,,0.0,0,含增建或未登記建物。,RPORMLMJOHLFFAF87CA
板橋區,房地(土地+建物),新北市板橋區中山路一段158巷1~30號,25.0,其他,,,1050407,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0701204,93.58,3,2,1,有,無,15800000,168839,,0.0,0,含增建或未登記建物。,RPPRMLMJOHLFFAF97CA
土城區,房地(土地+建物),新北市土城區立德路91~120號,4.79,其他,,,1050502,土地2建物1車位0,三層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871123,71.6,2,2,1,有,有,8600000,120112,,0.0,0,,RPOPMLNJOHLFFAF77CA
土城區,房地(土地+建物),新北市土城區中央路一段143巷1~30號,27.34,住,,,1050416,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721124,89.28,4,2,2,有,無,8600000,96326,,0.0,0,含增建或未登記建物。,RPXNMLOJOHLFFAF58CA
板橋區,房地(土地+建物)+車位,新北市板橋區民生路三段1~30號,5.66,住,,,1050514,土地1建物1車位1,十七層,三十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0890818,132.48000000000002,3,2,2,有,有,23500000,193668,坡道機械,19.4,1600000,,RPPOMLOJOHLFFAF87CA
板橋區,土地,府中段1651~1680地號,61.24,其他,,,1050520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17523294,286141,,0.0,0,,RPPNMLPJOHLFFAF87CA
板橋區,房地(土地+建物),新北市板橋區金門街211~240號,76.75,住,,,1050523,土地1建物4車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,283.0,8,4,4,有,無,24000000,84806,,0.0,0,增值稅由權利人負擔,RPWOMLRJOHLFFAF88CA
土城區,房地(土地+建物),新北市土城區中央路四段125巷1~30號,18.54,商,,,1050428,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040722,92.6,2,1,1,有,無,8600000,92873,,0.0,0,,RPRPMLRJOHLFFAF48CA
板橋區,房地(土地+建物),新北市板橋區光武街151~180號,18.2,住,,,1050501,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,77.55,2,1,1,有,無,7800000,100580,,0.0,0,含增建或未登記建物。,RPRNMLSJOHLFFAF38CA
板橋區,房地(土地+建物),新北市板橋區廣和街61~90號,14.41,住,,,1050516,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820226,108.99000000000001,3,2,2,有,有,12800000,117442,,0.0,0,,RPOPMLSJOHLFFAF28CA
