鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
五股區,建物,新北市五股區成泰路一段189巷4弄1~30號,0.0,住,,,1050427,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680706,96.53,2,1,1,有,無,無,18000,186,,0.0,0,,RPSPMLLJOHLFFBF28CC
林口區,房地(土地+建物)+車位,新北市林口區四維路31~60號,40.96,商,,,1050520,土地1建物1車位2,二層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990430,377.84000000000003,0,0,0,無,有,無,60000,159,坡道平面,73.86,0,,RPORMLLJOHLFFBF08CC
林口區,房地(土地+建物),新北市林口區民權路151~180號,60.69,住,,,1050601,土地1建物1車位0,見其他登記事項,2,店面(店鋪),見其他登記事項,鋼筋混凝土造,1010828,220.44,0,0,0,無,有,無,35000,159,,0.0,0,,RPWRMLLJOHLFFBF88CC
板橋區,建物,新北市板橋區文化路二段451~480號,0.0,商,,,1050531,土地0建物1車位0,八層,12,辦公商業大樓,住商用,鋼筋混凝土造,,252.02,0,0,0,無,有,有,90000,357,,0.0,0,,RPSPMLLJOHLFFAF18CC
淡水區,房地(土地+建物),新北市淡水區學府路1~30號,17.32,住,,,1050526,土地1建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0700106,52.11,0,0,1,有,無,無,20000,384,,0.0,0,,RPUPMLLJOHLFFEF78CC
淡水區,建物,新北市淡水區中山北路一段241~270號,0.0,住,,,1050529,土地0建物1車位0,二十三層,31,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0880811,51.0,1,1,1,有,有,有,8500,167,,0.0,0,,RPSQMLLJOHLFFEF68CC
淡水區,房地(土地+建物),新北市淡水區大義街1~30號,22.51,住,,,1050521,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860425,101.24,5,2,3,有,有,有,17000,168,,0.0,0,,RPRRMLLJOHLFFEF68CC
淡水區,房地(土地+建物),新北市淡水區中山路151~180號,16.52,住,,,1050527,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730915,58.6,3,1,1,有,無,有,6000,102,,0.0,0,,RPURMLLJOHLFFEF98CC
永和區,建物,新北市永和區秀朗路一段211~240號,0.0,住,,,1050510,土地0建物1車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,0740404,112.18,0,0,0,無,無,有,50000,446,,0.0,0,,RPVNMLLJOHLFFHF98CC
中和區,房地(土地+建物)+車位,新北市中和區橋和路61~90號,235.2,工,,,1050430,土地1建物1車位1,三層,10,廠辦,工業用,鋼筋混凝土造,0840224,343.05999999999995,0,0,0,無,無,無,55000,160,坡道機械,0.0,0,,RPXNMLLJOHLFFHF56CC
中和區,房地(土地+建物),新北市中和區中山路二段391~420號,134.2,工,,,1050527,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0550621,217.68,0,0,0,無,無,有,55000,253,,0.0,0,,RPVOMLLJOHLFFHF09CC
三峽區,房地(土地+建物)+車位,新北市三峽區學成路271~300號,17.72,住,,,1050530,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960212,129.11,2,1,1,有,有,無,18000,139,坡道平面,26.11,0,,RPVPMLLJOHLFFIF66CC
樹林區,房地(土地+建物),新北市樹林區保安街二段45巷21弄1~30號,20.93,住,,,1050531,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,83.95,3,2,2,有,無,有,15000,179,,0.0,0,,RPQNMLMJOHLFFIF68CC
三峽區,房地(土地+建物),新北市三峽區文化路61~90號,146.88,商,,,1050525,土地1建物1車位0,一層,4,店面(店鋪),住商用,加強磚造,,129.56,0,0,0,無,無,無,70000,540,,0.0,0,,RPQOMLMJOHLFFIF78CC
中和區,房地(土地+建物)+車位,新北市中和區中正路721~750號,36.68,工,,,1050520,土地1建物1車位3,六層,18,廠辦,工商用,鋼筋混凝土造,0880227,452.15,11,0,0,有,有,無,90000,199,坡道平面,99.21,0,,RPVPMLMJOHLFFHF66CC
永和區,建物,新北市永和區信義路121~150號,0.0,住,,,1050515,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680112,104.16,0,0,0,無,無,無,42000,403,,0.0,0,,RPSQMLMJOHLFFHF09CC
中和區,建物,新北市中和區捷運路31~60號,0.0,其他,,,1050516,土地0建物1車位0,四層,19,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1000415,138.65,3,2,2,有,有,無,30000,216,,0.0,0,,RPXRMLMJOHLFFHF07CC
永和區,建物,新北市永和區福和路331~360號,0.0,商,,,1050504,土地0建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1010718,217.16,3,2,2,有,有,無,37000,170,,0.0,0,,RPOSMLMJOHLFFHF88CC
永和區,建物,新北市永和區永貞路391~420號,0.0,商,,,1050504,土地0建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880507,156.26999999999998,0,0,0,無,有,無,30000,192,,0.0,0,,RPPSMLMJOHLFFHF98CC
永和區,車位,新北市永和區保生路24至31~60號,0.0,,,,1050601,土地0建物0車位1,,0,其他,停車空間,鋼筋混凝土造,0850322,40.35,0,0,0,有,有,無,4166,,坡道平面,40.35,4166,,RPQSMLMJOHLFFHF09CC
中和區,房地(土地+建物),新北市中和區捷運路31~60號,18.11,其他,,,1050511,土地1建物1車位0,四層,19,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1000415,100.36,2,2,1,有,有,有,29500,294,,0.0,0,租金含管理費。,RPRSMLMJOHLFFHF56CC
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路二段1~30號,29.69,住,,,1050601,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960430,161.47,3,2,1,有,有,有,34000,211,坡道平面,36.15,0,,RPSNMLMJOHLFFEF48CC
林口區,房地(土地+建物)+車位,新北市林口區南勢街211~240號,31.57,住,,,1050530,土地1建物1車位1,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971111,137.48,2,2,1,有,有,無,16500,120,坡道平面,35.08,0,,RPTOMLMJOHLFFBF38CC
蘆洲區,建物,新北市蘆洲區光華路150巷31~60號,0.0,住,,,1050401,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0971118,84.03,0,0,0,無,無,無,37462,446,,0.0,0,,RPXOMLMJOHLFFGF86EC
蘆洲區,建物,新北市蘆洲區光明路121~150號,0.0,住,,,1050518,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0970130,216.24,0,0,0,無,有,無,35000,162,,0.0,0,本租金包含二代健保.租賃稅.社區大樓管理費,RPUOMLNJOHLFFGF66EC
中和區,建物,新北市中和區中山路二段571~600號,0.0,住,,,1050506,土地0建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840523,109.41,1,2,2,有,無,無,22500,206,,0.0,0,,RPUOMLNJOHLFFHF76EC
板橋區,房地(土地+建物),新北市板橋區新生街1~30號,13.2,住,,,1050513,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0860127,68.24,0,0,0,無,無,無,28000,410,,0.0,0,,RPVOMLNJOHLFFAF68DC
