編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPSPMLLJOHLFFBF28CC,德音段,.00,都市：住
RPORMLLJOHLFFBF08CC,力行段,40.96,都市：商
RPWRMLLJOHLFFBF88CC,力行段,60.69,都市：住
RPSPMLLJOHLFFAF18CC,江子翠段第三崁小段,.00,都市：商
RPUPMLLJOHLFFEF78CC,海鷗段,17.32,都市：住
RPSQMLLJOHLFFEF68CC,新興段,.00,都市：住
RPRRMLLJOHLFFEF68CC,大義段,22.51,都市：住
RPURMLLJOHLFFEF98CC,紅毛城段,16.52,都市：住
RPVNMLLJOHLFFHF98CC,永利段,.00,都市：住
RPVNMLLJOHLFFHF98CC,永利段,.00,都市：住
RPXNMLLJOHLFFHF56CC,中原段,235.20,都市：工
RPVOMLLJOHLFFHF09CC,板南段,134.20,都市：工
RPVPMLLJOHLFFIF66CC,大學段一小段,17.72,都市：住
RPQNMLMJOHLFFIF68CC,武林段,20.93,都市：住
RPQOMLMJOHLFFIF78CC,文化段,146.88,都市：商
RPVPMLMJOHLFFHF66CC,健康段,36.68,都市：工
RPSQMLMJOHLFFHF09CC,仁愛段,.00,都市：住
RPXRMLMJOHLFFHF07CC,捷運段,.00,都市：其他
RPOSMLMJOHLFFHF88CC,永安段,.00,都市：商
RPPSMLMJOHLFFHF98CC,保平段,.00,都市：商
RPRSMLMJOHLFFHF56CC,捷運段,18.11,都市：其他
RPSNMLMJOHLFFEF48CC,海天段,29.69,都市：住
RPTOMLMJOHLFFBF38CC,建林段,31.57,都市：住
RPXOMLMJOHLFFGF86EC,光明段,.00,都市：住
RPUOMLNJOHLFFGF66EC,正義段,.00,都市：住
RPUOMLNJOHLFFHF76EC,民樂段,.00,都市：住
RPVOMLNJOHLFFAF68DC,大庭段,13.20,都市：住
RPTOMLNJOHLFFBF48CC,頭興段,253.94,都市：工
RPUNMLNJOHLFFEF78CC,公司田段,26.45,都市：住
RPUPMLNJOHLFFEF98CC,公司田段,14.31,都市：住
RPTOMLNJOHLFFCF58CC,中正段,6.14,都市：住
RPVNMLNJOHLFFHF56CC,及人段,24.45,都市：住
RPVOMLNJOHLFFHF66CC,健康段,.00,都市：工
RPVOMLNJOHLFFHF66CC,健康段,.00,都市：工
RPWTMLNJOHLFFHF27CC,東南段,.00,都市：住
RPVNMLNJOHLFFDF78CC,智興段,.00,都市：商
RPOOMLNJOHLFFDF18CC,厚德段,.00,都市：住
RPOPMLNJOHLFFGF58CC,正民段,.00,都市：住
RPWNMLOJOHLFFGF66CC,集賢段,24.10,都市：住
