編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPSOMLMJOHLFFAG08CA,思村段,101.73,都市：住
RPWOMLMJOHLFFAG48CA,隘城段,3663.33,都市：工
RPSNMLNJOHLFFAG08CA,義成二段,76.84,都市：農
RPQNMLOJOHLFFAG97CA,羅莊段,7.64,都市：住
RPUNMLRJOHLFFAG68CA,隆昌段,119.92,都市：住
RPXNMLOKOHLFFAG78CA,寶員段,203.94,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLMJOHLFFBG48CA,新生段,19.77,都市：住
RPUNMLNJOHLFFBG38CA,民生段,1665.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLQJOHLFFBG38CA,公園段,15.38,都市：其他
RPRNMLNKOHLFFBG18CA,金六結段金結小段,8.20,都市：住
RPRNMLNKOHLFFBG18CA,金六結段金結小段,.46,都市：住
RPXNMLOKOHLFFBG88CA,北津段,543.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLPKOHLFFBG78CA,宜興段,74.94,都市：住
RPVNMLPKOHLFFBG78CA,宜興段,18.00,都市：住
RPTNMLRKOHLFFBG78CA,金六結段七結小段,101.00,都市：住
RPTNMLRKOHLFFBG78CA,金六結段七結小段,27.00,都市：住
RPSNMLLLOHLFFBG18CA,公園段,15.64,都市：其他
RPVNMLMJOHLFFBG48DA,開蘭一段,75.40,都市：住
RPTOMLLJOHLFFAG28EA,維揚段,19.86,都市：住
RPPOMLNJOHLFFAG08EA,蘇新段,41.26,都市：住
RPOOMLMJOHLFFAG87EA,鹿埔新段,76.73,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTNMLQJOHLFFBG78EA,大里段,118.64,都市：住
RPTOMLMJOHLFFAG38EA,鹿安一段,31.28,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLPKOHLFFAG28EA,東安段,26.00,都市：住
RPSNMLLLOHLFFAG28EA,大埔段,77.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOOMLOJOHLFFBG18EA,忠義段,5.23,都市：農
RPOOMLOJOHLFFBG18EA,忠義段,5.81,都市：農
