鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
桃園區,房地(土地+建物),桃園市桃園區中平路77巷1~30號,13.32,住,,,1050426,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820821,74.8,2,1,1,有,有,3000000,40107,,0.0,0,,RPRNMLMJOHLFFAH97CA
龜山區,房地(土地+建物),桃園市龜山區茶專路220巷1~30號,53.08,,山坡地保育區,丙種建築用地,1050423,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0720218,70.81,3,2,2,有,無,1750000,24714,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPPMLMJOHLFFAH97CA
桃園區,土地,延壽段781~810地號,230.98,住,,,1050516,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27948000,120997,,0.0,0,,RPSRMLMJOHLFFAH48CA
龜山區,房地(土地+建物),桃園市龜山區萬壽路二段1021~1050號,89.0,商,,,1050512,土地1建物1車位0,全,一層,透天厝,商業用,土造,,58.0,0,0,0,無,無,10760000,185517,,0.0,0,,RPOUMLMJOHLFFAH38CA
桃園區,房地(土地+建物)+車位,桃園市桃園區同德七街61~90號,15.94,住,,,1050505,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831130,98.00999999999999,2,2,1,有,無,7200000,73462,坡道平面,0.0,0,,RPOVMLMJOHLFFAH48CA
桃園區,房地(土地+建物),桃園市桃園區大業路二段61~90號,24.02,住,,,1050324,土地1建物1車位0,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900709,165.71,3,2,2,有,無,8500000,51294,,0.0,0,,RPXOMLNJOHLFFAH78CA
龜山區,土地,福源段301~330地號,1409.16,,山坡地保育區,丙種建築用地,1050513,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21313000,15125,,0.0,0,,RPWPNLOJOHLFFAH98CA
桃園區,房地(土地+建物)+車位,桃園市桃園區同德十二街361~390號,41.05,住,,,1050425,土地1建物1車位2,十層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030327,289.09000000000003,3,2,2,有,有,24550000,92011,坡道平面,58.14,3300000,,RPOPMLRJOHLFFAH38CA
桃園區,房地(土地+建物)+車位,桃園市桃園區國強一街1~30號,32.94,住,,,1050505,土地1建物2車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041023,235.89,4,2,2,有,有,15200000,72626,坡道平面,47.93,1550000,,RPROMLRJOHLFFAH58CA
桃園區,房地(土地+建物)+車位,桃園市桃園區紹興街28巷1~30號,31.85,住,,,1050515,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811230,172.39,3,2,2,有,有,8600000,49887,坡道平面,32.93,0,,RPVVMLRJOHLFFAH07CA
桃園區,房地(土地+建物),桃園市桃園區同德六街151~180號,23.36,住,,,1050419,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891018,124.31,3,2,2,有,有,9600000,77226,,0.0,0,,RPWNMLSJOHLFFAH09CA
