編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPXNMLMJOHLFFFH56CB,豐田段,46.40,都市：住
RPOOMLMJOHLFFFH38CB,豐田段,46.40,都市：住
RPPOMLMJOHLFFFH48CB,豐田段,39.11,都市：住
RPQQMLNJOHLFFAH48DB,桃園段武陵小段,21.75,都市：商
RPRQMLNJOHLFFAH58DB,桃園段武陵小段,21.75,都市：商
RPSQMLNJOHLFFAH68DB,桃園段武陵小段,21.20,都市：商
RPTQMLNJOHLFFAH78DB,桃園段武陵小段,21.75,都市：商
RPUQMLNJOHLFFAH88DB,桃園段武陵小段,21.20,都市：商
RPVQMLNJOHLFFAH98DB,桃園段武陵小段,21.20,都市：商
RPWQMLNJOHLFFAH09DB,桃園段武陵小段,21.75,都市：商
RPXQMLNJOHLFFAH56DB,桃園段武陵小段,11.96,都市：商
RPORMLNJOHLFFAH38DB,桃園段武陵小段,11.96,都市：商
RPPRMLNJOHLFFAH48DB,桃園段武陵小段,11.96,都市：商
RPQRMLNJOHLFFAH58DB,桃園段武陵小段,20.12,都市：商
RPRRMLNJOHLFFAH68DB,桃園段武陵小段,19.57,都市：商
RPTRMLNJOHLFFAH88DB,桃園段武陵小段,19.57,都市：商
RPURMLNJOHLFFAH98DB,桃園段武陵小段,19.57,都市：商
RPVRMLNJOHLFFAH09DB,桃園段武陵小段,19.57,都市：商
RPOSMLNJOHLFFAH48DB,桃園段武陵小段,15.77,都市：商
RPPSMLNJOHLFFAH58DB,桃園段武陵小段,15.77,都市：商
RPRSMLNJOHLFFAH78DB,桃園段武陵小段,15.77,都市：商
RPSSMLNJOHLFFAH88DB,桃園段武陵小段,15.77,都市：商
RPUSMLNJOHLFFAH09DB,桃園段武陵小段,15.77,都市：商
RPWSMLNJOHLFFAH66DB,桃園段武陵小段,15.77,都市：商
RPXSMLNJOHLFFAH76DB,桃園段武陵小段,15.77,都市：商
RPPTMLNJOHLFFAH68DB,桃園段武陵小段,11.96,都市：商
RPQTMLNJOHLFFAH78DB,桃園段武陵小段,11.96,都市：商
RPRTMLNJOHLFFAH88DB,桃園段武陵小段,11.96,都市：商
RPSTMLNJOHLFFAH98DB,桃園段武陵小段,11.96,都市：商
RPTTMLNJOHLFFAH09DB,桃園段武陵小段,11.96,都市：商
RPUTMLNJOHLFFAH56DB,桃園段武陵小段,22.29,都市：商
RPVTMLNJOHLFFAH66DB,桃園段武陵小段,22.29,都市：商
RPWTMLNJOHLFFAH76DB,桃園段武陵小段,22.29,都市：商
RPXTMLNJOHLFFAH86DB,桃園段武陵小段,22.29,都市：商
RPOUMLNJOHLFFAH68DB,桃園段武陵小段,22.29,都市：商
RPQUMLNJOHLFFAH88DB,桃園段武陵小段,21.75,都市：商
RPRUMLNJOHLFFAH98DB,桃園段武陵小段,22.29,都市：商
RPSUMLNJOHLFFAH09DB,桃園段武陵小段,21.75,都市：商
RPUUMLNJOHLFFAH66DB,桃園段武陵小段,22.29,都市：商
RPVUMLNJOHLFFAH76DB,桃園段武陵小段,19.57,都市：商
RPWUMLNJOHLFFAH86DB,桃園段武陵小段,19.57,都市：商
RPXUMLNJOHLFFAH96DB,桃園段武陵小段,19.57,都市：商
RPOVMLNJOHLFFAH78DB,桃園段武陵小段,19.57,都市：商
RPPVMLNJOHLFFAH88DB,桃園段武陵小段,11.96,都市：商
RPRVMLNJOHLFFAH09DB,桃園段武陵小段,11.96,都市：商
