編號,車位類別,車位價格,車位面積平方公尺
RPXNMLMJOHLFFFH56CB,坡道平面,1300000,37.66
RPXNMLMJOHLFFFH56CB,坡道平面,1300000,37.66
RPOOMLMJOHLFFFH38CB,坡道平面,1300000,37.66
RPOOMLMJOHLFFFH38CB,坡道平面,1300000,37.66
RPOOMLMJOHLFFFH38CB,坡道平面,1300000,37.66
RPPOMLMJOHLFFFH48CB,坡道平面,1150000,32.49
RPPOMLMJOHLFFFH48CB,坡道平面,1150000,32.49
RPQQMLNJOHLFFAH48DB,坡道平面,1700000,33.73
RPQQMLNJOHLFFAH48DB,坡道平面,1700000,33.73
RPRQMLNJOHLFFAH58DB,坡道平面,1700000,33.73
RPRQMLNJOHLFFAH58DB,坡道平面,1600000,33.73
RPSQMLNJOHLFFAH68DB,坡道平面,1700000,33.73
RPTQMLNJOHLFFAH78DB,坡道平面,1700000,33.73
RPTQMLNJOHLFFAH78DB,坡道平面,1800000,33.73
RPUQMLNJOHLFFAH88DB,坡道平面,1800000,33.73
RPVQMLNJOHLFFAH98DB,坡道平面,1800000,33.73
RPWQMLNJOHLFFAH09DB,坡道平面,1900000,33.73
RPWQMLNJOHLFFAH09DB,坡道平面,1900000,33.73
RPXQMLNJOHLFFAH56DB,坡道平面,1600000,33.73
RPORMLNJOHLFFAH38DB,坡道平面,1600000,33.73
RPPRMLNJOHLFFAH48DB,坡道平面,1600000,33.73
RPQRMLNJOHLFFAH58DB,坡道平面,1700000,33.73
RPQRMLNJOHLFFAH58DB,坡道平面,1800000,33.73
RPRRMLNJOHLFFAH68DB,坡道平面,1800000,33.73
RPTRMLNJOHLFFAH88DB,坡道平面,1800000,33.73
RPURMLNJOHLFFAH98DB,坡道平面,1700000,33.73
RPVRMLNJOHLFFAH09DB,坡道平面,1600000,33.73
RPOSMLNJOHLFFAH48DB,坡道平面,1800000,33.73
RPPSMLNJOHLFFAH58DB,坡道平面,1600000,33.73
RPRSMLNJOHLFFAH78DB,坡道平面,1600000,33.73
RPSSMLNJOHLFFAH88DB,坡道平面,1800000,33.73
RPUSMLNJOHLFFAH09DB,坡道平面,1800000,33.73
RPWSMLNJOHLFFAH66DB,坡道平面,1600000,33.73
RPXSMLNJOHLFFAH76DB,坡道平面,1700000,33.73
RPPTMLNJOHLFFAH68DB,坡道平面,1600000,33.73
RPQTMLNJOHLFFAH78DB,坡道平面,1600000,33.73
RPRTMLNJOHLFFAH88DB,坡道平面,1700000,33.73
RPSTMLNJOHLFFAH98DB,坡道平面,1600000,33.73
RPTTMLNJOHLFFAH09DB,坡道平面,1600000,33.73
RPUTMLNJOHLFFAH56DB,坡道平面,1600000,33.73
RPUTMLNJOHLFFAH56DB,坡道平面,1700000,33.73
RPVTMLNJOHLFFAH66DB,坡道平面,1800000,33.73
RPVTMLNJOHLFFAH66DB,坡道平面,1800000,33.73
RPWTMLNJOHLFFAH76DB,坡道平面,1800000,33.73
RPWTMLNJOHLFFAH76DB,坡道平面,1800000,33.73
RPXTMLNJOHLFFAH86DB,坡道平面,1800000,33.73
RPXTMLNJOHLFFAH86DB,坡道平面,1800000,33.73
RPOUMLNJOHLFFAH68DB,坡道平面,1800000,33.73
RPOUMLNJOHLFFAH68DB,坡道平面,1800000,33.73
RPQUMLNJOHLFFAH88DB,坡道平面,1700000,33.73
RPRUMLNJOHLFFAH98DB,坡道平面,1800000,33.73
RPRUMLNJOHLFFAH98DB,坡道平面,1800000,33.73
RPSUMLNJOHLFFAH09DB,坡道平面,1800000,33.73
RPUUMLNJOHLFFAH66DB,坡道平面,1800000,33.73
RPUUMLNJOHLFFAH66DB,坡道平面,1800000,33.73
RPVUMLNJOHLFFAH76DB,坡道平面,1800000,33.73
RPWUMLNJOHLFFAH86DB,坡道平面,1800000,33.73
RPXUMLNJOHLFFAH96DB,坡道平面,1600000,33.73
RPOVMLNJOHLFFAH78DB,坡道平面,1800000,33.73
RPPVMLNJOHLFFAH88DB,坡道平面,1500000,33.73
RPRVMLNJOHLFFAH09DB,坡道平面,1700000,33.73
RPSVMLNJOHLFFAH56DB,坡道平面,1600000,33.73
RPTVMLNJOHLFFAH66DB,坡道平面,1600000,33.73
RPUVMLNJOHLFFAH76DB,坡道平面,1600000,33.73
RPWVMLNJOHLFFAH96DB,坡道平面,1700000,33.73
RPOWMLNJOHLFFAH88DB,坡道平面,1600000,33.73
RPQWMLNJOHLFFAH09DB,坡道平面,1500000,33.73
RPRWMLNJOHLFFAH56DB,坡道平面,1700000,33.73
RPSWMLNJOHLFFAH66DB,坡道平面,1600000,33.73
RPUWMLNJOHLFFAH86DB,坡道平面,1600000,33.73
RPUWMLNJOHLFFAH86DB,坡道平面,1600000,33.73
RPVWMLNJOHLFFAH96DB,坡道平面,1700000,33.73
RPWWMLNJOHLFFAH07DB,坡道平面,1700000,33.73
RPWWMLNJOHLFFAH07DB,坡道平面,1800000,33.73
RPXWMLNJOHLFFAH17DB,坡道平面,1700000,33.73
RPONNLNJOHLFFAH08DB,坡道平面,1700000,33.73
RPPNNLNJOHLFFAH18DB,坡道平面,1800000,33.73
RPQNNLNJOHLFFAH28DB,坡道平面,1700000,33.73
RPRNNLNJOHLFFAH38DB,坡道平面,1800000,33.73
RPRNNLNJOHLFFAH38DB,坡道平面,1800000,33.73
RPSNNLNJOHLFFAH48DB,坡道平面,1600000,33.73
RPUNNLNJOHLFFAH68DB,坡道平面,1600000,33.73
RPVNNLNJOHLFFAH78DB,坡道平面,1600000,33.73
RPOONLNJOHLFFAH18DB,坡道平面,1800000,33.73
RPPONLNJOHLFFAH28DB,坡道平面,1600000,33.73
RPQONLNJOHLFFAH38DB,坡道平面,1700000,33.73
RPSONLNJOHLFFAH58DB,坡道平面,1600000,33.73
RPUONLNJOHLFFAH78DB,坡道平面,1800000,33.73
RPVONLNJOHLFFAH88DB,坡道平面,1800000,33.73
RPXONLNJOHLFFAH09DB,坡道平面,1700000,33.73
RPOPNLNJOHLFFAH28DB,坡道平面,1700000,33.73
RPPPNLNJOHLFFAH38DB,坡道平面,1600000,33.73
RPQPNLNJOHLFFAH48DB,坡道平面,1700000,33.73
RPRPNLNJOHLFFAH58DB,坡道平面,1700000,33.73
RPSPNLNJOHLFFAH68DB,坡道平面,1500000,33.73
RPUPNLNJOHLFFAH88DB,坡道平面,1700000,33.73
RPVPNLNJOHLFFAH98DB,坡道平面,1700000,33.73
RPWPNLNJOHLFFAH09DB,坡道平面,1700000,33.73
RPXPNLNJOHLFFAH56DB,坡道平面,1600000,33.73
RPPQNLNJOHLFFAH48DB,坡道平面,1600000,33.73
RPQQNLNJOHLFFAH58DB,坡道平面,1600000,33.73
RPRQNLNJOHLFFAH68DB,坡道平面,1500000,33.73
RPUNMLNJOHLFFEH88CB,坡道平面,1300000,31.67
RPVNMLNJOHLFFEH98CB,坡道平面,1300000,31.67
RPWNMLNJOHLFFEH09CB,坡道平面,1300000,31.67
RPXNMLNJOHLFFEH56CB,坡道平面,1300000,31.67
RPOOMLNJOHLFFEH38CB,坡道平面,1200000,29.65
RPPOMLNJOHLFFEH48CB,坡道平面,1300000,31.67
RPRNMLOJOHLFFEH68CB,坡道平面,1300000,31.67
RPSNMLOJOHLFFEH78CB,坡道平面,1200000,29.65
RPTNMLOJOHLFFEH88CB,坡道平面,1300000,31.67
RPUNMLOJOHLFFEH98CB,坡道平面,1200000,29.65
RPVNMLOJOHLFFEH09CB,坡道平面,1300000,31.67
RPWNMLOJOHLFFEH56CB,坡道平面,1300000,31.67
RPOOMLOJOHLFFEH48CB,坡道平面,1300000,31.67
RPPOMLOJOHLFFEH58CB,坡道平面,1300000,31.67
RPROMLOJOHLFFEH78CB,坡道平面,1200000,29.65
RPTOMLOJOHLFFEH98CB,坡道平面,1300000,31.67
RPUOMLOJOHLFFEH09CB,坡道平面,1300000,31.67
RPVOMLOJOHLFFEH56CB,坡道平面,1300000,31.67
RPOPMLOJOHLFFEH58CB,坡道平面,1300000,31.67
RPQPMLOJOHLFFEH78CB,坡道平面,1300000,31.67
RPRPMLOJOHLFFEH88CB,坡道平面,1300000,29.65
RPSPMLOJOHLFFEH98CB,坡道平面,1400000,31.67
RPSPMLOJOHLFFEH98CB,坡道平面,1400000,31.67
RPTPMLOJOHLFFEH09CB,坡道平面,1300000,31.67
RPUPMLOJOHLFFEH56CB,坡道平面,1200000,29.65
RPWPMLOJOHLFFEH76CB,坡道平面,1300000,31.67
RPSOMLSJOHLFFBH98CB,坡道平面,1300000,32.42
RPTOMLSJOHLFFBH09CB,坡道平面,1350000,34.54
