鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
龜山區,房地(土地+建物),桃園市龜山區文青二路1~30號,5.54,住,,,1050528,土地1建物1車位0,一層,21,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040709,75.93,0,0,0,無,有,無,29744,392,,0.0,0,,RPSPMLLJOHLFFAH38CC
桃園區,建物,桃園市桃園區春日路1141~1170號,0.0,住,,,1050522,土地0建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930719,130.91,4,2,2,有,有,無,15000,115,,0.0,0,,RPVPMLLJOHLFFAH68CC
桃園區,建物,桃園市桃園區中平路91~120號,0.0,商,,,1050519,土地0建物1車位0,地下一層,22,店面(店鋪),見其他登記事項,鋼骨鋼筋混凝土造,0820430,788.96,0,0,0,無,有,無,70000,89,,0.0,0,,RPRQMLLJOHLFFAH38CC
龜山區,房地(土地+建物)+車位,桃園市龜山區興華五街1~30號,890.96,住,,,1050104,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0841204,135.34,4,2,3,有,無,有,19000,140,其他,0.0,0,,RPRRMLLJOHLFFAH48CC
中壢區,建物,桃園市中壢區慈惠三街31~60號,0.0,商,,,1050522,土地0建物1車位0,二十層,21,套房(1房1廳1衛),住家用,鋼筋混凝土造,0901026,38.97,1,1,1,有,有,無,8500,218,,0.0,0,,RPQPMLLJOHLFFBH28CC
中壢區,建物,桃園市中壢區環中東路二段312巷1~30號,3.48,住,,,1050511,土地0建物1車位0,五層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880528,22.91,1,0,1,有,無,有,6000,262,,0.0,0,,RPXPMLLJOHLFFBH98CC
楊梅區,建物,桃園市楊梅區金山街301~330號,0.0,住,,,1050519,土地0建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040525,127.62,3,2,2,有,有,有,12000,94,坡道平面,34.25,0,,RPXNMLLJOHLFFDH98CC
八德區,建物,桃園市八德區介壽路二段364巷58弄15衡1~30號,0.0,,鄉村區,乙種建築用地,1050520,土地0建物0車位0,全,2,透天厝,住家用,加強磚造,0680616,16.36,0,0,0,無,有,有,6500,397,,0.0,0,,RPXNMLLJOHLFFFH56CC
龜山區,房地(土地+建物),桃園市龜山區明德路241~270號,10.94,住,,,1050506,土地1建物1車位0,三層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0920129,36.66,1,1,1,有,無,有,5250,143,,0.0,0,,RPOQMLLJOHLFFAH18DC
八德區,房地(土地+建物),桃園市八德區銀和街91~120號,12.37,住,,,1050509,土地1建物1車位0,一層,18,店面(店鋪),住商用,鋼骨鋼筋混凝土造,0870729,99.83,0,0,0,無,有,無,24000,240,,0.0,0,,RPSOMLLJOHLFFFH88DC
平鎮區,房地(土地+建物)+車位,桃園市平鎮區莊隆街1~30號,35.71,住,,,1050523,土地1建物2車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031002,221.36,4,2,2,有,有,有,24974,113,坡道平面,33.93,0,,RPVOMLLJOHLFFGH66DC
八德區,房地(土地+建物)+車位,桃園市八德區建國路133巷6弄1~30號,21.8,住,,,1050412,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871102,127.14,3,2,2,有,無,有,12000,94,坡道機械,20.42,0,,RPQOMLLJOHLFFFH78EC
八德區,房地(土地+建物)+車位,桃園市八德區金和路61~90號,23.29,住,,,1041210,土地1建物1車位1,見其他登記事項,15,店面(店鋪),住商用,鋼筋混凝土造,0960815,172.93,0,2,2,有,無,有,26000,150,坡道平面,27.93,0,,RPROMLLJOHLFFFH88EC
平鎮區,建物,桃園市平鎮區復旦路二段241巷1弄22衡1~30號,0.0,住,,,1050526,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0651006,112.2,3,2,2,有,無,無,11000,98,,0.0,0,,RPXNMLMJOHLFFGH76CC
大園區,房地(土地+建物)+車位,桃園市大園區大豐一街61~90號,12.46,住,,,1050529,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040825,80.50999999999999,1,1,1,有,無,有,13000,161,坡道機械,16.55,0,,RPVPMLMJOHLFFEH66DC
楊梅區,房地(土地+建物),桃園市楊梅區金山街121~150號,98.0,住,,,1050510,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0801230,236.99,6,2,4,有,無,有,28000,118,,0.0,0,,RPQOMLMJOHLFFDH58DC
大園區,房地(土地+建物),桃園市大園區致遠一路61~90號,140.38,住,,,1050601,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,1010905,66.14,5,2,3,有,無,有,10000,151,,0.0,0,,RPQNMLMJOHLFFEH48CC
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區忠孝西路182巷1~30號,6991.26,住,,,1050320,土地1建物1車位1,十五層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900618,113.74,3,2,2,有,無,有,45863,403,坡道平面,0.0,0,,RPUNMLMJOHLFFEH88CC
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區忠孝西路61~90號,981.75,住,,,1050510,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010528,128.35,3,2,2,有,有,有,43894,342,坡道平面,0.0,0,,RPVNMLMJOHLFFEH98CC
桃園區,建物,桃園市桃園區國鼎一街1~30號,0.0,住,,,1050530,土地0建物1車位1,十一層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840118,157.67,4,2,2,有,有,無,15000,95,坡道平面,0.0,0,,RPXQMLMJOHLFFAH09CC
龜山區,建物,桃園市龜山區萬壽路二段1141~1170號,0.0,商,,,1050527,土地0建物1車位0,五層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0701231,31.36,1,1,1,有,有,有,8300,265,,0.0,0,,RPORMLMJOHLFFAH28CC
桃園區,房地(土地+建物)+車位,桃園市桃園區中正路871~900號,2912.0,住,,,1050410,土地1建物1車位2,二十七層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020128,129.02,3,2,2,有,有,有,49965,387,坡道平面,0.0,0,,RPRSMLMJOHLFFAH68CC
桃園區,房地(土地+建物),桃園市桃園區中寧街12巷1~30號,50.4,住,,,1050530,土地3建物2車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701214,165.06,0,0,0,無,無,無,48000,291,,0.0,0,,RPXSMLMJOHLFFAH66CC
龜山區,建物,桃園市龜山區興業街1~30號,0.0,,工業區,丁種建築用地,1050509,土地0建物1車位0,一層,2,工廠,見其他登記事項,鋼筋混凝土造,0800402,1743.57,0,0,0,無,無,無,250000,,,0.0,0,,RPWNNLNJOHLFFAH88CC
中壢區,房地(土地+建物),桃園市中壢區中豐北路一段721~750號,103.34,農,,,1050527,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0950525,248.36,5,2,3,有,無,無,25000,101,,0.0,0,,RPQNMLNJOHLFFBH28CC
