鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
竹北市,房地(土地+建物)+車位,新竹縣竹北市臺元街31~60號,10.27,商,,,1050412,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970627,108.78,2,2,1,有,有,5770000,53043,坡道平面,0.0,0,,RPTOMLNJOHLFFBJ68CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市十興三街61~90號,19.38,住,,,1050514,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030114,141.26,2,2,1,有,有,7770000,55005,坡道平面,34.84,0,,RPUOMLNJOHLFFBJ78CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市光明十一路1巷50弄1~30號,16.07,商,,,1050518,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041204,136.0,2,2,1,有,有,7950000,58456,坡道平面,34.05,0,,RPVOMLNJOHLFFBJ88CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市三民路151~180號,34.08,住,,,1050509,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040917,254.47,4,2,2,有,有,17780000,79364,坡道平面,63.2,2600000,,RPOPMLNJOHLFFBJ28CA
新埔鎮,房地(土地+建物),新竹縣新埔鎮文山路?頭山段891巷6弄1~30號,80.23,,鄉村區,乙種建築用地,1050426,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690118,115.2,4,2,3,有,無,7200000,62500,,0.0,0,,RPOOMLOJOHLFFBJ28CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市環北路一段286巷31~60號,91.33,,特定農業區,甲種建築用地,1050415,土地4建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,0910425,149.05,4,2,3,有,有,8600000,57699,坡道平面,0.0,0,,RPQOMLOJOHLFFBJ48CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市華興三街1~30號,26.19,住,,,1050505,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040809,176.35,2,2,2,有,有,9550000,54154,坡道平面,26.0,0,,RPQNMLRJOHLFFBJ68CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利七街二段121~150號,45.02,住,,,1050429,土地1建物1車位2,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960921,278.61,4,2,2,有,有,13500000,48455,坡道平面,0.0,0,,RPRPMLLJOHLFFBJ38CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市福興一路31~60號,20.23,商,,,1050506,土地1建物1車位1,十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030728,202.76999999999998,4,2,2,有,有,14380000,77154,坡道平面,33.24,1300000,,RPQOMLMJOHLFFBJ28CA
竹北市,房地(土地+建物),新竹縣竹北市六家五路二段193巷31~60號,62.27,住,,,1050508,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0960126,191.46,4,2,3,有,有,13500000,70511,,0.0,0,,RPQOMLQJOHLFFBJ68CA
