編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLLJOHLFFAK38CA,36,90.27,住商用,加強磚造,68年12月28日,三層,一層 二層 三層
RPPOMLOKOHLFFBK58CA,,123.98,住家用,加強磚造,,,一層 二層
RPPNMLQKOHLFFBK68CA,23,94.35,住家用,鋼筋混凝土造,82年10月26日,,七層
RPPNMLQKOHLFFBK68CA,23,9.33,見其他登記事項,鋼筋混凝土造,82年10月26日,,
RPPNMLQKOHLFFBK68CA,23,10.97,見其他登記事項,鋼筋混凝土造,82年10月26日,,
RPVNMLRKOHLFFBK76CA,17,223.46,住家用,鋼筋混凝土造,88年6月25日,三層,一層 二層 三層 屋頂突出物 騎樓
RPOOMLRKOHLFFBK78CA,4,212.15,見其他登記事項,鋼筋混凝土造,100年12月1日,三層,一層 二層 三層
RPPNMLLLOHLFFBK28CA,23,7061.52,見其他登記事項,見其他登記事項,82年4月23日,,一層 二層 三層 屋頂突出物 電梯樓梯間 夾層 地下層
RPRNMLLLOHLFFBK48CA,,95.56,住家用,鋼筋混凝土造,104年11月24日,八層,六層
RPRNMLLLOHLFFBK48CA,,50.57,見其他登記事項,鋼筋混凝土造,104年11月24日,八層,
RPPNMLMJOHLFFDK38CA,22,87.66,商業用,鋼筋混凝土造,82年11月17日,七層,一層 騎樓
RPPNMLMJOHLFFDK38CA,22,25.61,見其他登記事項,鋼筋混凝土造,82年11月17日,七層,
RPSNMLMJOHLFFDK68CA,,268.95,住家用,鋼筋混凝土造,104年12月4日,四層,一層 二層 三層 四層 騎樓
RPPNMLNJOHLFFDK48CA,1,87.25,見其他登記事項,鋼筋混凝土造,104年10月6日,五層,四層
RPPNMLNJOHLFFDK48CA,1,34.90,見其他登記事項,鋼筋混凝土造,104年10月6日,五層,
RPQOMLOJOHLFFDK78CA,13,100.47,見其他登記事項,鋼筋混凝土造,92年9月24日,三層,一層 二層 三層 屋頂突出物
RPSNMLRJOHLFFDK56CA,1,87.25,見其他登記事項,鋼筋混凝土造,104年10月6日,五層,三層
RPSNMLRJOHLFFDK56CA,1,34.90,見其他登記事項,鋼筋混凝土造,104年10月6日,五層,
RPSNMLRLOHLFFDK76CA,,74.47,住家用,鋼筋混凝土造,104年12月29日,五層,三層
RPSNMLRLOHLFFDK76CA,,38.07,共有部分,鋼筋混凝土造,104年12月29日,五層,
RPTNMLRLOHLFFDK86CA,,74.47,住家用,鋼筋混凝土造,104年12月29日,五層,五層
RPTNMLRLOHLFFDK86CA,,38.07,共有部分,鋼筋混凝土造,104年12月29日,五層,
RPSOMLTLOHLFFDK07CA,,220.16,見其他登記事項,鋼筋混凝土造,104年12月11日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPSNMLNJOHLFFFK98CA,19,74.70,住家用,鋼筋混凝土造,86年1月29日,八層,四層
RPSNMLNJOHLFFFK98CA,19,13.19,共有部分,鋼筋混凝土造,86年1月29日,九層,
RPSNMLNJOHLFFFK98CA,19,15.21,見其他登記事項,鋼筋混凝土造,86年1月29日,,
RPPOMLLJOHLFFFK58CA,28,216.03,住家用,鋼筋混凝土造,77年7月23日,三層,一層 二層 三層 地下層
RPPNMLPKOHLFFAK58DA,21,226.67,見其他登記事項,鋼筋混凝土造,83年11月24日,三層,一層 二層 三層 屋頂突出物 地下層
RPSNMLSLOHLFFDK86CA,,197.63,住家用,鋼筋混凝土造,104年12月11日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPXNMLKMOHLFFDK66CA,,90.10,住家用,鋼筋混凝土造,105年1月15日,九層,八層
RPXNMLKMOHLFFDK66CA,,55.93,共有部分,鋼筋混凝土造,105年1月15日,九層,
