編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLNKOHLFFBM68CA,24,202.06,住商用,鋼筋混凝土造,81年1月8日,三層,一層 二層 三層 騎樓
RPQNMLMJOHLFFCM58CA,15,124.44,住商用,鋼筋混凝土造,90年4月10日,三層,一層 二層 三層 屋頂突出物
RPTNMLMJOHLFFCM88CA,15,149.13,見其他登記事項,鋼筋混凝土造,90年6月1日,三層,一層 二層 三層 屋頂突出物 騎樓
RPQNMLNJOHLFFCM68CA,22,212.32,住家用,鋼筋混凝土造,82年11月15日,四層,一層 二層 三層 四層
RPWNMLKLOHLFFCM56CA,21,173.20,見其他登記事項,鋼筋混凝土造,84年9月7日,九層,七層 八層
RPWNMLKLOHLFFCM56CA,21,84.42,見其他登記事項,鋼筋混凝土造,84年9月7日,九層,
RPXNMLKLOHLFFCM66CA,21,173.20,見其他登記事項,鋼筋混凝土造,84年9月7日,九層,七層 八層
RPXNMLKLOHLFFCM66CA,21,84.42,見其他登記事項,鋼筋混凝土造,84年9月7日,九層,
RPUNMLSLOHLFFCM17CA,20,176.77,住商用,鋼筋混凝土造,85年9月18日,四層,一層 二層 三層 四層
RPVNMLLJOHLFFCM09DA,36,193.23,住商用,鋼筋混凝土造,68年11月30日,二層,一層 二層 騎樓
RPTNMLOJOHLFFEM66CA,19,268.80,農舍,鋼筋混凝土造,85年12月27日,三層,一層 二層 三層
RPSNMLKLOHLFFCM78CA,21,110.91,見其他登記事項,鋼筋混凝土造,84年9月7日,九層,六層
RPSNMLKLOHLFFCM78CA,21,53.93,見其他登記事項,鋼筋混凝土造,84年9月7日,九層,
RPVNMLKLOHLFFCM09CA,21,154.62,見其他登記事項,鋼筋混凝土造,84年9月7日,九層,六層
RPVNMLKLOHLFFCM09CA,21,68.38,見其他登記事項,鋼筋混凝土造,84年9月7日,九層,
RPVNMLNLOHLFFBM66CA,1,254.90,見其他登記事項,鋼筋混凝土造,104年8月14日,三層,一層 二層 三層 見其他登記事項
RPRNMLQJOHLFFCM09CA,37,81.68,住家用,鋼筋混凝土加強磚造,68年6月26日,二層,一層 二層
RPRNMLQKOHLFFAM98CA,38,63.00,住家用,鋼筋混凝土加強磚造,67年11月6日,一層,一層
RPWNMLMJOHLFFAM98CA,1,314.38,住家用,鋼筋混凝土造,104年4月30日,二層,一層 二層
RPWNMLMJOHLFFAM98CA,1,2.23,住家用,鋼筋混凝土造,104年4月30日,一層,一層
RPRNMLQJOHLFFAM88CA,22,176.58,住家用,鋼筋混凝土造,82年12月8日,三層,一層 二層 三層 屋頂突出物 地下層
RPRNMLQJOHLFFAM88CA,22,7.90,見其他登記事項,鋼筋混凝土造,82年12月8日,十層,
RPTNMLOJOHLFFBM98CA,25,12.18,見其他登記事項,鋼筋混凝土造,80年9月20日,十一層,地下層
RPTNMLOJOHLFFBM98CA,25,89.34,住家用,鋼筋混凝土造,80年9月20日,十一層,六層
RPTNMLOJOHLFFBM98CA,25,13.68,見其他登記事項,鋼筋混凝土造,80年9月20日,十一層,
RPTNMLOJOHLFFBM98CA,25,9.42,見其他登記事項,鋼筋混凝土造,80年9月20日,十一層,
RPTNMLOJOHLFFBM98CA,25,10.19,見其他登記事項,鋼筋混凝土造,80年9月20日,十一層,
RPSNMLQJOHLFFCM56CA,36,278.79,住商用,鋼筋混凝土造,69年1月15日,三層,一層 二層 三層 騎樓
RPPNMLSLOHLFFAM09CA,38,296.30,住家用,鋼筋混凝土加強磚造,67年10月16日,三層,一層 二層 三層 騎樓
RPPNMLSLOHLFFAM09CA,38,166.05,住商用,鋼筋混凝土加強磚造,67年10月16日,三層,一層 二層 三層 騎樓
