鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新竹市,土地,東山段一小段211~240地號,31.56,其他,,,1050520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,526504,16683,,0.0,0,,RPXPMLLJOHLFFAO76CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿慈雲路121~150號,14.86,商,,,1050509,土地1建物1車位1,二十四層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031208,185.18,3,2,2,有,有,14650000,86867,坡道平面,29.76,1150000,,RPXPMLMJOHLFFAO86CA
新竹市,房地(土地+建物),新竹市新竹巿中山路481~510號,3.67,住,,,1050512,土地1建物1車位0,五層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850326,25.98,1,1,1,有,有,1300000,50038,,0.0,0,,RPTQMLMJOHLFFAO56CA
新竹市,房地(土地+建物),新竹市新竹巿建中路31~60號,29.72,其他,,,1050430,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0870410,144.91,3,2,2,有,有,8980000,61965,,0.0,0,,RPRRMLNJOHLFFAO56CA
新竹市,房地(土地+建物),新竹市新竹巿竹光路184巷33弄1~30號,78.0,住,,,1050501,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0770722,156.7,6,2,4,有,無,10580000,67518,,0.0,0,,RPTRMLNJOHLFFAO76CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿光復路一段89巷121~150號,9.28,住,,,1050502,土地3建物1車位1,十四層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880121,95.63,1,2,1,有,有,6250000,65356,坡道平面,0.0,0,,RPWRMLNJOHLFFAO07CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿牛埔路121~150號,11.66,住,,,1050328,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970131,104.06,2,1,1,有,有,4500000,43244,坡道平面,32.71,0,,RPXOMLNJOHLFFAO86CA
新竹市,房地(土地+建物),新竹市新竹巿東南街210巷1弄1~30號,86.96,住,,,1050425,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,114.54,9,3,3,有,無,13180000,115069,,0.0,0,,RPOOMLPJOHLFFAO78CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿四維路83巷1~30號,26.8,住,,,1050418,土地2建物1車位1,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720801,88.57000000000001,2,2,1,有,有,3020000,34097,坡道平面,0.0,0,,RPVPMLQJOHLFFAO07CA
新竹市,房地(土地+建物),新竹市新竹巿惠民街1~30號,74.5,住,,,1041130,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,,170.76,4,3,3,有,無,12000000,70274,,0.0,0,,RPWPMLQJOHLFFAO17CA
新竹市,房地(土地+建物),新竹市新竹巿經國路二段60巷1~30號,23.33,其他,,,1050505,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691127,97.71,3,2,1,有,無,4000000,40937,,0.0,0,,RPXRMLQJOHLFFAO47CA
新竹市,房地(土地+建物),新竹市新竹巿建中路31~60號,26.21,其他,,,1050405,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0870410,130.64999999999998,3,2,2,有,有,7450000,57023,,0.0,0,,RPORMLQJOHLFFAO56CA
新竹市,房地(土地+建物),新竹市新竹巿西大路709巷1弄1~30號,54.0,住,,,1050510,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0600720,90.0,3,2,3,有,無,7550000,83889,,0.0,0,含增建或未登記建物。,RPRRMLQJOHLFFAO86CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿關新路19巷31~60號,16.09,其他,,,1050423,土地3建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971022,145.8,3,2,2,有,有,10560000,72428,坡道平面,0.0,0,,RPXPMLRJOHLFFAO37CA
