編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPXPMLLJOHLFFAO76CA,東山段一小段,31.56,都市：其他
RPXPMLMJOHLFFAO86CA,國道段,14.86,都市：商
RPTQMLMJOHLFFAO56CA,成德段,3.67,都市：住
RPRRMLNJOHLFFAO56CA,東明段,29.72,都市：其他
RPTRMLNJOHLFFAO76CA,崙子段,78.00,都市：住
RPWRMLNJOHLFFAO07CA,東橋段,.48,都市：住
RPWRMLNJOHLFFAO07CA,東橋段,7.55,都市：住
RPWRMLNJOHLFFAO07CA,東橋段,1.24,都市：住
RPXOMLNJOHLFFAO86CA,和平段,11.66,都市：住
RPOOMLPJOHLFFAO78CA,建華段,86.96,都市：住
RPVPMLQJOHLFFAO07CA,中雅段,.56,都市：住
RPVPMLQJOHLFFAO07CA,聚吉段,26.24,都市：住
RPWPMLQJOHLFFAO17CA,科園段龍山小段,74.50,都市：住
RPXRMLQJOHLFFAO47CA,北門段,23.33,都市：其他
RPORMLQJOHLFFAO56CA,東明段,26.21,都市：其他
RPRRMLQJOHLFFAO86CA,崙子段,54.00,都市：住
RPXPMLRJOHLFFAO37CA,長春段,15.66,都市：其他
RPXPMLRJOHLFFAO37CA,長春段,.35,都市：住
RPXPMLRJOHLFFAO37CA,長春段,.08,都市：住
RPROMLSJOHLFFAO76CA,光復段,24.00,都市：住
RPRNMLTJOHLFFAO76CA,香中段,1.18,都市：住
RPRNMLTJOHLFFAO76CA,香中段,23.08,都市：住
RPPPMLNKOHLFFAO88CA,聚吉段,34.70,都市：住
RPTPMLNKOHLFFAO66CA,成德段,29.60,都市：住
RPTPMLNKOHLFFAO66CA,成德段,1.55,都市：其他
RPXPMLNKOHLFFAO07CA,長春段,20.00,都市：其他
RPWQMLKLOHLFFAO86CA,東山段一小段,35.72,都市：住
RPQNMLRLOHLFFAO66CA,光復段,35.30,都市：住
RPRPMLQJOHLFFAO76DA,新興段,47.67,都市：其他
RPPQMLQJOHLFFAO76EA,信義段,1.00,都市：商
RPQQMLQJOHLFFAO86EA,信義段,1.00,都市：商
