鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
新竹市,房地(土地+建物),新竹市新竹巿牛埔路481~510號,179.0,住,,,1050517,土地1建物1車位0,全,3,透天厝,,加強磚造,,180.9,0,0,0,無,無,無,20000,111,,0.0,0,,RPRNMLLJOHLFFAO78CC
新竹市,建物,新竹市新竹巿東門街34巷31~60號,0.0,商,,,1050525,土地0建物1車位0,二十二層,25,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011015,188.89999999999998,4,2,2,有,有,有,43572,231,,0.0,0,,RPWPMLMJOHLFFAO96CC
新竹市,建物,新竹市新竹巿東華路1~30號,0.0,住,,,1050509,土地0建物1車位1,七層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,164.60000000000002,3,2,2,有,有,無,21000,128,坡道平面,37.43,0,,RPRQMLMJOHLFFAO56CC
新竹市,建物,新竹市新竹巿中央路田心二巷1~30號,0.0,住,,,1050513,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,92.09,4,2,2,有,無,有,13200,143,,0.0,0,,RPPNMLNJOHLFFAO78CC
新竹市,建物,新竹市新竹巿中華路三段121~150號,0.0,商,,,1050513,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821210,80.05000000000001,2,2,1,有,有,有,12000,150,,0.0,0,租金包含管理費,RPPPMLOJOHLFFAO09CC
新竹市,建物,新竹市新竹巿振興一街31~60號,0.0,住,,,1050511,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,69.81,2,2,1,有,無,有,12000,172,,0.0,0,,RPQNMLPJOHLFFAO09CC
新竹市,建物,新竹市新竹巿勝利路245巷1~30號,0.0,商,,,1050524,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690502,72.84,3,2,1,有,無,有,11000,151,,0.0,0,,RPRNMLPJOHLFFAO56CC
新竹市,建物,新竹市新竹巿南大路271~300號,0.0,商,,,1050521,土地0建物1車位0,三層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840227,79.45,1,1,1,有,有,有,10000,126,,0.0,0,管理費700(租客另外支付),RPSNMLPJOHLFFAO66CC
新竹市,建物,新竹市新竹巿華北路61~90號,0.0,住,,,1050519,土地0建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830505,114.39,3,2,2,有,有,無,11000,96,,0.0,0,租金含管理費,RPTNMLPJOHLFFAO76CC
新竹市,建物,新竹市新竹巿中正路482巷31~60號,0.0,住,,,1050517,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,110.06,3,2,2,有,無,有,14000,127,,0.0,0,,RPUNMLPJOHLFFAO86CC
新竹市,建物,新竹市新竹巿北新街121~150號,0.0,住,,,1050511,土地0建物1車位0,八層,10,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0980319,51.36,2,1,1,有,有,有,16000,312,,0.0,0,租金包含管理費.第四台.網路,RPVNMLPJOHLFFAO96CC
新竹市,建物,新竹市新竹巿西大路721~750號,0.0,住,,,1050508,土地0建物1車位0,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.91,3,2,2,有,無,有,12000,104,,0.0,0,,RPXPMLQJOHLFFAO47CC
新竹市,建物,新竹市新竹巿勝利路228巷1~30號,0.0,商,,,1050509,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840815,69.2,2,1,1,有,無,無,9500,137,,0.0,0,,RPOQMLQJOHLFFAO66CC
新竹市,建物,新竹市新竹巿新竹市水田街50巷1~30號,0.0,住,,,1050302,土地0建物1車位0,一層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0801230,22.61,1,0,1,有,無,有,8000,354,,0.0,0,,RPSQMLQJOHLFFAO07CC
新竹市,建物,新竹市新竹巿慈雲路121~150號,0.0,商,,,1050522,土地0建物1車位1,五層,28,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031208,156.43,2,2,2,有,有,有,25000,160,坡道平面,0.0,0,租金含管,RPQRMLQJOHLFFAO96CC
新竹市,建物,新竹市新竹巿新莊街121~150號,0.0,住,,,1050521,土地0建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840830,100.53,3,2,2,有,有,有,14000,139,坡道機械,0.0,0,,RPVPMLRJOHLFFAO37CC
新竹市,房地(土地+建物),新竹市新竹巿關東路271~300號,6.46,商,,,1050608,土地1建物1車位0,一層,24,店面(店鋪),見其他登記事項,鋼筋混凝土造,1021115,85.41,0,0,1,有,有,無,38500,451,,0.0,0,,RPXPMLSJOHLFFAO67CC
新竹市,建物,新竹市新竹巿香北路181~210號,0.0,住,,,1050513,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,0861210,136.65,3,2,2,有,有,有,12000,88,,0.0,0,,RPRPMLMKOHLFFAO56CC
新竹市,建物,新竹市新竹巿西門街121~150號,0.0,商,,,1050514,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750424,91.0,3,2,2,有,無,有,18000,198,,0.0,0,,RPTPMLMKOHLFFAO76CC
新竹市,建物,新竹市新竹巿武陵路86巷1~30號,0.0,住,,,1050520,土地0建物1車位1,八層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0930215,154.34,3,2,2,有,有,無,16000,104,坡道平面,0.0,0,租金含管理費1500,RPXPMLMKOHLFFAO17CC
新竹市,建物,新竹市新竹巿建美路58巷2弄1~30號,0.0,住,,,1050520,土地0建物1車位0,三層,3,公寓(5樓含以下無電梯),國民住宅,加強磚造,0690508,65.5,3,2,1,有,無,有,12000,183,,0.0,0,,RPPQMLMKOHLFFAO09CC
新竹市,建物,新竹市新竹巿中正路61~90號,0.0,商,,,1050518,土地0建物1車位0,全,3,透天厝,商業用,磚造,,259.05,0,0,0,無,無,無,120000,463,,0.0,0,,RPRPMLNKOHLFFAO66CC
新竹市,房地(土地+建物),新竹市新竹巿中華路二段181~210號,16.0,商,,,1050608,土地1建物1車位0,十六層,18,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020615,235.93,3,2,2,有,有,有,50000,212,,0.0,0,,RPOPMLOKOHLFFAO09CC
新竹市,建物,新竹市新竹巿東門街34巷1~30號,0.0,住,,,1050531,土地0建物1車位0,三層,20,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011015,180.18,3,2,2,有,有,有,36327,202,,0.0,0,,RPOQMLOKOHLFFAO56CC
新竹市,房地(土地+建物)+車位,新竹市新竹巿東門街34巷31~60號,9.07,住,,,1050601,土地1建物1車位1,七層,25,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011015,145.87,3,1,2,有,無,有,60000,411,坡道平面,27.41,0,,RPVOMLPKOHLFFAO17CC
