編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLLJOHLFFAO78CC,,180.90,,加強磚造,,二層,
RPWPMLMJOHLFFAO96CC,4,133.85,見其他登記事項,鋼筋混凝土造,101年10月15日,二十五層,
RPWPMLMJOHLFFAO96CC,4,27.53,共有部分,鋼筋混凝土造,101年10月15日,二十五層,
RPWPMLMJOHLFFAO96CC,4,27.52,共有部分,鋼筋混凝土造,101年10月15日,二十五層,
RPRQMLMJOHLFFAO56CC,2,85.92,見其他登記事項,鋼筋混凝土造,103年8月29日,十五層,
RPRQMLMJOHLFFAO56CC,2,25.09,共有部分,鋼筋混凝土造,103年8月29日,十五層,
RPRQMLMJOHLFFAO56CC,2,53.59,共有部分,鋼筋混凝土造,103年8月29日,十五層,
RPPNMLNJOHLFFAO78CC,,92.09,住家用,鋼筋混凝土造,,三層,
RPPPMLOJOHLFFAO09CC,22,65.37,住家用,鋼筋混凝土造,82年12月10日,十二層,
RPPPMLOJOHLFFAO09CC,22,14.68,共有部分,鋼筋混凝土造,82年12月10日,十二層,
RPQNMLPJOHLFFAO09CC,,56.95,住家用,鋼筋混凝土造,,五層,
RPQNMLPJOHLFFAO09CC,,12.86,共有部分,鋼筋混凝土造,,五層,
RPRNMLPJOHLFFAO56CC,36,72.84,住家用,鋼筋混凝土造,69年5月2日,四層,
RPSNMLPJOHLFFAO66CC,21,52.97,住家用,鋼筋混凝土造,84年2月27日,十層,
RPSNMLPJOHLFFAO66CC,21,24.12,共有部分,鋼筋混凝土造,84年2月27日,十層,
RPSNMLPJOHLFFAO66CC,21,2.36,見其他登記事項,鋼筋混凝土造,84年2月27日,十層,
RPTNMLPJOHLFFAO76CC,22,81.64,住家用,鋼筋混凝土造,83年5月5日,八層,
RPTNMLPJOHLFFAO76CC,22,32.75,共有部分,鋼筋混凝土造,83年5月5日,八層,
RPUNMLPJOHLFFAO86CC,,93.58,住家用,鋼筋混凝土造,,五層,
RPUNMLPJOHLFFAO86CC,,16.48,共有部分,鋼筋混凝土造,,五層,
RPVNMLPJOHLFFAO96CC,7,32.56,辦公室,鋼筋混凝土造,98年3月19日,十層,
RPVNMLPJOHLFFAO96CC,7,14.76,見其他登記事項,鋼筋混凝土造,98年3月19日,十層,
RPVNMLPJOHLFFAO96CC,7,4.04,見其他登記事項,鋼筋混凝土造,98年3月19日,十層,
RPXPMLQJOHLFFAO47CC,,93.74,住家用,鋼筋混凝土造,,八層,
RPXPMLQJOHLFFAO47CC,,16.39,共有部分,鋼筋混凝土造,,八層,
RPXPMLQJOHLFFAO47CC,,4.78,共有部分,鋼筋混凝土造,,八層,
RPOQMLQJOHLFFAO66CC,21,57.30,住家用,鋼筋混凝土造,84年8月15日,五層,
RPOQMLQJOHLFFAO66CC,21,11.90,共有部分,鋼筋混凝土造,84年8月15日,五層,
RPSQMLQJOHLFFAO07CC,24,22.61,住家用,鋼筋混凝土造,80年12月30日,五層,
RPQRMLQJOHLFFAO96CC,1,105.85,見其他登記事項,鋼筋混凝土造,103年12月8日,二十八層,
RPQRMLQJOHLFFAO96CC,1,27.00,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPQRMLQJOHLFFAO96CC,1,23.58,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPVPMLRJOHLFFAO37CC,21,72.28,住家用,鋼筋混凝土造,84年8月30日,七層,
RPVPMLRJOHLFFAO37CC,21,20.43,共有部分,鋼筋混凝土造,84年8月30日,七層,
RPVPMLRJOHLFFAO37CC,21,7.82,共有部分,鋼筋混凝土造,84年8月30日,七層,
RPXPMLSJOHLFFAO67CC,3,85.41,見其他登記事項,鋼筋混凝土造,102年11月15日,二十四層,
