編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWNMLNJOHLFFAP76CA,24,130.91,住家用,鋼筋混凝土加強磚造,81年10月7日,三層,一層 二層 三層
RPXNMLNJOHLFFAP86CA,49,90.56,住家用,磚造,56年9月19日,一層,一層
RPTNMLNJOHLFFAP09CA,24,158.70,住家用,鋼筋混凝土造,81年5月20日,三層,一層 二層 三層
RPRNMLQJOHLFFAP56CA,,195.84,見其他登記事項,鋼筋混凝土造,104年12月30日,三層,一層 二層 三層 屋頂突出物
RPWNMLOKOHLFFAP96CA,2,170.35,見其他登記事項,鋼筋混凝土造,103年7月22日,一層,一層 屋頂突出物
RPPNMLLLOHLFFAP68CA,24,149.81,住商用,鋼筋混凝土造,81年9月30日,八層,一層 二層 騎樓
RPPNMLLLOHLFFAP68CA,24,27.01,共同部份,鋼筋混凝土造,81年9月30日,八層,
RPTNMLNLOHLFFAP66CA,37,106.15,見其他登記事項,加強磚造,68年6月15日,二層,一層 二層 屋頂突出物 夾層
RPPNMLRJOHLFFBP56CA,37,78.05,住商用,加強磚造,68年5月24日,二層,一層 二層 騎樓 電梯樓梯間
RPSNMLNJOHLFFCP56CA,20,49.57,住家用,鋼筋混凝土造,84年12月20日,八層,七層
RPSNMLNJOHLFFCP56CA,20,21.76,共有部份,鋼筋混凝土造,84年12月20日,八層,
RPSNMLNJOHLFFCP56CA,20,.40,共有部份,鋼筋混凝土造,84年12月20日,,
RPSNMLNJOHLFFCP56CA,20,9.65,共有部份,鋼筋混凝土造,84年12月20日,,
RPWNMLNJOHLFFDP07CA,29,210.15,住商用,鋼筋混凝土造,75年12月5日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPQNMLOJOHLFFDP56CA,2,223.62,住家用,鋼筋混凝土造,103年10月27日,三層,一層 二層 三層
RPSNMLRJOHLFFEP17CA,38,99.84,住家用,加強磚造,66年11月25日,二層,一層 二層
RPTNMLMJOHLFFAP09DA,,362.68,見其他登記事項,鋼筋混凝土造,104年8月14日,四層,一層 二層 三層 四層
RPRNMLMJOHLFFEP66DA,,200.40,住家用,鋼筋混凝土造,105年2月4日,三層,一層 二層 三層 屋頂突出物
RPPNMLOJOHLFFCP56EA,21,140.96,住商用,鋼筋混凝土造,84年4月7日,三層,一層 二層 三層 電梯樓梯間
RPPNMLLJPHLFFFP09CA,15,88.31,住家用,鋼筋混凝土造,90年4月9日,九層,四層
RPPNMLLJPHLFFFP09CA,15,44.51,見其他登記事項,鋼筋混凝土造,90年4月9日,九層,
RPPNMLLJPHLFFFP09CA,15,3.25,見其他登記事項,鋼筋混凝土造,90年4月9日,九層,
RPPNMLLJPHLFFFP09CA,15,11.89,見其他登記事項,鋼筋混凝土造,90年4月9日,九層,
RPUNMLOKOHLFFDP07CA,9,26.48,見其他登記事項,鋼筋混凝土造,96年2月5日,十三層,七層
RPUNMLOKOHLFFDP07CA,9,11.81,見其他登記事項,鋼筋混凝土造,96年2月5日,十三層,
RPUNMLOKOHLFFDP07CA,9,3.73,見其他登記事項,鋼筋混凝土造,96年2月5日,十三層,
RPQNMLSJOHLFFCP86CA,1,175.62,見其他登記事項,鋼筋混凝土造,104年11月10日,三層,一層 二層 三層 見其他登記事項
RPSNMLOJOHLFFBP56CA,21,99.10,住家用,鋼筋混凝土造,84年3月16日,十二層,二層
RPSNMLOJOHLFFBP56CA,21,26.80,共用部份,鋼筋混凝土造,84年3月16日,,
RPPNMLQJOHLFFBP09CA,9,204.20,住家用,鋼筋混凝土造,96年3月30日,三層,一層 二層 三層
RPTNMLKLOHLFFAP98CA,24,141.06,住家用,鋼筋混凝土加強磚造,81年10月7日,三層,一層 二層 三層
RPUNMLNJOHLFFAP56CA,9,236.30,住商用,鋼筋混凝土造,96年1月5日,四層,一層 二層 三層 四層
RPTNMLOJOHLFFAP56CA,25,136.62,住家用,鋼筋混凝土造,80年10月17日,十層,二層
RPTNMLOJOHLFFAP56CA,25,22.10,共有部份,鋼筋混凝土造,80年10月17日,十層,
RPTNMLOJOHLFFAP56CA,25,32.44,共有部份,鋼筋混凝土造,80年10月17日,十層,
RPVNMLOJOHLFFAP76CA,2,56.51,住家用,鋼筋混凝土造,103年9月4日,四層,一層
RPVNMLOJOHLFFAP76CA,2,5.50,見其他登記事項,鋼筋混凝土造,103年9月4日,四層,
RPWNMLOJOHLFFAP86CA,22,92.93,住家用,鋼筋混凝土造,83年3月25日,七層,二層
RPWNMLOJOHLFFAP86CA,22,13.47,共同部份,鋼筋混凝土造,83年3月25日,七層,
RPWNMLOJOHLFFAP86CA,22,13.09,共同部份,鋼筋混凝土造,83年3月25日,七層,
RPPNMLPJOHLFFAP88CA,17,53.41,住家用,鋼筋混凝土造,88年2月2日,十層,九層
RPPNMLPJOHLFFAP88CA,17,4.03,共有部份,鋼筋混凝土造,88年2月2日,十層,
RPPNMLPJOHLFFAP88CA,17,12.45,共有部份,鋼筋混凝土造,88年2月2日,十層,
RPPNMLPJOHLFFAP88CA,17,9.96,共有部份,鋼筋混凝土造,88年2月2日,十層,
RPQNMLPJOHLFFAP98CA,16,157.90,住家用,鋼筋混凝土造,89年1月31日,三層,一層 二層 三層 電梯樓梯間
RPUNMLQJOHLFFEP27CA,17,95.89,見其他登記事項,鋼筋混凝土造,88年6月3日,十層,七層
RPUNMLQJOHLFFEP27CA,17,.25,見其他登記事項,鋼筋混凝土造,88年6月3日,一層,
RPUNMLQJOHLFFEP27CA,17,15.84,見其他登記事項,,88年6月3日,十層,
RPUNMLQJOHLFFEP27CA,17,48.67,見其他登記事項,鋼筋混凝土造,88年6月3日,10,
RPQNMLQJOHLFFEP86CA,33,150.86,住商用,鋼筋混凝土造,72年8月29日,四層,一層 二層 三層 四層 電梯樓梯間
RPWNMLTLOHLFFAP67DA,23,192.00,住家用,鋼筋混凝土造,82年10月12日,三層,一層 二層 三層 電梯樓梯間 見其他登記事項
RPXNMLTLOHLFFAP77DA,23,192.00,住家用,鋼筋混凝土造,82年10月12日,三層,一層 二層 三層 電梯樓梯間 見其他登記事項
RPSNMLRJOHLFFCP07DA,35,126.48,住家用,加強磚造,70年6月6日,二層,一層 二層
RPPOMLNJOHLFFEP66DA,36,95.22,住家用,加強磚造,68年11月14日,二層,一層 二層
RPUNMLSJOHLFFCP47EA,22,178.43,住家用,鋼筋混凝土造,83年8月13日,四層,一層 二層 三層 四層 電梯樓梯間
RPQNMLSJOHLFFBP96EA,27,177.83,見其他登記事項,見其他登記事項,78年9月2日,一層,一層
RPTNMLOKOHLFFDP96CA,18,232.01,住家用,鋼筋混凝土造,87年10月14日,四層,一層 二層 三層 四層 地下層
RPTNMLOKOHLFFDP96CA,18,30.13,共有部份,鋼筋混凝土造,87年10月14日,一層,
RPOOMLRJOHLFFDP76CA,19,67.89,住家用,鋼筋混凝土造,86年10月3日,九層,七層
RPOOMLRJOHLFFDP76CA,19,19.47,共有部份,鋼筋混凝土造,86年10月13日,九層,
RPOOMLRJOHLFFDP76CA,19,7.80,共有部份,鋼筋混凝土造,86年10月3日,九層,
RPPNMLSJOHLFFDP86CA,22,236.77,住商用,鋼筋混凝土造,83年4月7日,三層,一層 二層 三層 電梯樓梯間
RPQNMLSJOHLFFDP96CA,22,181.24,住家用,鋼筋混凝土造,83年3月1日,八層,五層
RPQNMLSJOHLFFDP96CA,22,49.64,共有部份,鋼筋混凝土造,83年3月1日,八層,
RPPNMLMKOHLFFDP98CA,22,176.77,住商用,鋼筋混凝土造,83年7月23日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPPPMLSJOHLFFAP76CA,30,565.26,見其他登記事項,鋼筋混凝土加強磚造,75年10月2日,二層,一層 二層 電梯樓梯間 地下層
RPPPMLSJOHLFFAP76CA,30,1260.77,工業用,鋼筋混凝土加強磚造,75年10月2日,二層,一層 二層
RPSOMLTJOHLFFAP07CA,28,101.90,住家用,加強磚造,76年11月1日,二層,一層 二層
RPVNMLQJOHLFFAP96CA,35,102.32,住家用,加強磚造,70年10月29日,二層,一層 二層 騎樓 電梯樓梯間
RPUNMLRJOHLFFAP96CA,1,174.71,住家用,鋼筋混凝土造,104年6月5日,四層,一層 二層 三層 四層
RPVNMLRJOHLFFAP07CA,1,174.82,住家用,鋼筋混凝土造,104年6月5日,四層,一層 二層 三層 四層
RPOOMLTJOHLFFAP66CA,39,119.24,住商用,加強磚造,66年4月30日,二層,一層 二層 騎樓
RPSNMLSJOHLFFAP86CA,34,76.90,住家用,加強磚造,71年8月2日,二層,一層 二層
RPVNMLOJPHLFFAP86CA,46,69.53,住商用,加強磚造,59年3月1日,二層,一層 二層 騎樓
RPWNMLRJOHLFFDP47CA,11,184.62,住家用,鋼筋混凝土造,94年5月3日,三層,一層 二層 三層
RPPNMLQJOHLFFCP56CA,14,517.11,見其他登記事項,見其他登記事項,91年5月20日,一層,見其他登記事項
RPPNMLQJOHLFFCP56CA,27,271.69,農舍,加強磚造,78年1月16日,二層,一層 二層 電梯樓梯間
RPUNMLSJOHLFFCP27CA,1,218.96,見其他登記事項,鋼筋混凝土造,104年5月4日,三層,一層 二層 三層 見其他登記事項
RPTNMLLJPHLFFDP66CA,22,15.15,住家用,鋼筋混凝土造,83年6月14日,九層,八層
RPTNMLLJPHLFFDP66CA,22,5.81,共有部份,鋼筋混凝土造,83年6月14日,九層,
RPPNMLMJPHLFFDP98CA,21,49.13,住家用,鋼筋混凝土造,84年4月6日,十二層,十一層
