編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWNMLLJOHLFFBQ76CA,10,19.19,住家用,鋼筋混凝土造,95年8月28日,八層,三層
RPWNMLLJOHLFFBQ76CA,10,19.19,住家用,鋼筋混凝土造,95年8月28日,八層,三層
RPWNMLLJOHLFFBQ76CA,10,4.83,共有部份,鋼筋混凝土造,95年8月28日,,
RPWNMLLJOHLFFBQ76CA,10,19.19,住家用,鋼筋混凝土造,95年8月28日,八層,三層
RPWNMLLJOHLFFBQ76CA,10,7.44,共有部份,鋼筋混凝土造,95年8月28日,,
RPWNMLLJOHLFFBQ76CA,10,4.83,共有部份,鋼筋混凝土造,95年8月28日,,
RPWNMLLJOHLFFBQ76CA,10,7.44,共有部份,鋼筋混凝土造,95年8月28日,,
RPWNMLLJOHLFFBQ76CA,10,7.44,共有部份,鋼筋混凝土造,95年8月28日,,
RPWNMLLJOHLFFBQ76CA,10,4.83,共有部份,鋼筋混凝土造,95年8月28日,,
RPXNMLLJOHLFFBQ86CA,10,19.19,住家用,鋼筋混凝土造,95年8月28日,八層,三層
RPXNMLLJOHLFFBQ86CA,10,4.83,共有部份,鋼筋混凝土造,95年8月28日,,
RPXNMLLJOHLFFBQ86CA,10,7.44,共有部份,鋼筋混凝土造,95年8月28日,,
RPRNMLMJOHLFFBQ98CA,20,146.99,農舍,鋼筋混凝土加強磚造,85年3月20日,二層,一層 二層
RPUNMLSKOHLFFCQ47CA,16,167.04,住家用,鋼筋混凝土造,89年7月11日,三層,一層 二層 三層 電梯樓梯間
RPPNMLOKOHLFFEQ76CA,,207.59,見其他登記事項,鋼筋混凝土造,105年1月4日,三層,一層 二層 三層 見其他登記事項
RPQNMLOKOHLFFEQ86CA,,190.07,見其他登記事項,鋼筋混凝土造,105年1月4日,三層,一層 二層 三層 見其他登記事項
RPPNMLMJOHLFFCQ09EA,25,170.24,住商用,鋼筋混凝土造,80年7月2日,三層,一層 二層 三層 騎樓 電梯樓梯間
