編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPOPMLLJOHLFFAU09CA,21,18.02,住家用,鋼筋混凝土造,84年8月19日,十一層,七層
RPOPMLLJOHLFFAU09CA,21,6.23,共有部份,鋼筋混凝土造,84年8月19日,十一層,
RPUNMLMJOHLFFAU96CA,19,101.77,住家用,鋼筋混凝土造,86年7月18日,十二層,七層
RPUNMLMJOHLFFAU96CA,19,25.85,共有部份,鋼筋混凝土造,86年7月18日,十二層,
RPOOMLMJOHLFFAU09CA,23,58.98,住家用,鋼筋混凝土造,82年9月25日,八層,五層
RPOOMLMJOHLFFAU09CA,23,15.26,共有部份,鋼筋混凝土造,82年9月25日,八層,
RPVOMLMJOHLFFAU17CA,20,23.01,住家用,鋼筋混凝土造,85年11月4日,六層,三層
RPVOMLMJOHLFFAU17CA,20,9.93,共有部份,鋼筋混凝土造,85年11月4日,六層,
RPXNMLRJOHLFFAU77CA,22,106.64,住家用,鋼筋混凝土造,83年4月12日,七層,五層
RPXNMLRJOHLFFAU77CA,22,30.15,共有部份,鋼筋混凝土造,83年4月23日,七層,
RPQOMLSJOHLFFAU27CA,17,102.98,住家用,鋼筋混凝土造,88年5月20日,五層,二層 三層
RPQOMLSJOHLFFAU27CA,17,13.40,停車空間,鋼筋混凝土造,88年5月20日,五層,
RPQOMLSJOHLFFAU27CA,17,22.58,共有部份,鋼筋混凝土造,88年5月20日,五層,
RPTNMLSKOHLFFAU57CA,41,64.80,住家用,鋼筋混凝土加強磚造,64年6月12日,一層,一層
RPWNMLSKOHLFFAU87CA,11,182.45,住家用,鋼筋混凝土造,94年2月25日,三層,一層 二層 三層
RPPOMLLLOHLFFAU66CA,,241.02,住家用,鋼筋混凝土造,105年2月26日,三層,一層 二層 三層 屋頂突出物
RPOQMLRLOHLFFAU37CA,10,250.69,住家用,鋼筋混凝土造,94年12月27日,四層,一層 二層 三層 四層
RPUNMLKMOHLFFAU07CA,38,111.14,住商用,鋼筋混凝土加強磚造,67年1月7日,二層,一層 二層 騎樓
RPPNMLRJPHLFFBU17CA,23,105.30,住商用,鋼筋混凝土造,82年10月29日,二層,一層 二層 屋頂突出物 騎樓
RPRNMLQJOHLFFAU27EA,30,21.35,住家用,鋼筋混凝土造,75年7月12日,五層,五層
RPRNMLQJOHLFFAU27EA,30,4.63,共有部份,鋼筋混凝土造,75年7月12日,五層,
RPWOMLOJPHLFFAU57CA,30,71.43,住家用,鋼筋混凝土加強磚造,75年7月1日,一層,一層
RPTOMLNLOHLFFAU27CA,19,30.74,住家用,鋼筋混凝土造,85年12月13日,五層,二層
RPTOMLNLOHLFFAU27CA,19,4.90,共有部份,鋼筋混凝土造,85年12月13日,五層,
RPOPMLRLOHLFFAU27CA,21,157.22,住商用,鋼筋混凝土造,84年7月28日,三層,二層 三層 四層 騎樓 一層
RPUNMLSKOHLFFAU67CA,21,83.71,住家用,鋼筋混凝土造,84年6月30日,十層,六層
RPUNMLSKOHLFFAU67CA,21,21.99,共有部份,鋼筋混凝土造,84年6月30日,十層,
RPWNMLOKOHLFFAU47CA,,87.24,住家用,木造,,二層,一層 二層
RPPNMLNKOHLFFAU66CA,31,94.60,住家用,鋼筋混凝土造,74年1月7日,二層,一層 二層
RPOOMLRJOHLFFAU96CA,31,111.46,住家用,鋼筋混凝土加強磚造,74年3月21日,二層,一層 二層
RPUNMLOJOHLFFAU17CA,,196.83,住家用,鋼筋混凝土造,105年2月4日,四層,一層 二層 三層 四層
RPPOMLOJOHLFFAU76CA,22,165.47,住商用,鋼筋混凝土造,82年12月23日,三層,一層 二層 三層 屋頂突出物 騎樓
RPSNMLNJOHLFFAU86CA,38,117.17,住商用,鋼筋混凝土加強磚造,67年10月17日,二層,一層 二層 騎樓
RPTNMLNJOHLFFAU96CA,31,228.75,住商用,鋼筋混凝土造,73年12月11日,三層,一層 二層 三層 防空避難室 屋頂突出物 騎樓
RPUNMLNJOHLFFAU07CA,23,103.95,住家用,鋼筋混凝土造,82年10月15日,六層,四層
RPUNMLNJOHLFFAU07CA,23,39.36,共有部份,鋼筋混凝土造,82年10月15日,六層,
RPPNMLOJOHLFFAU66CA,20,42.69,住家用,鋼筋混凝土造,85年3月1日,六層,四層
RPPNMLOJOHLFFAU66CA,20,5.34,共有部份,鋼筋混凝土造,85年3月1日,六層,
RPPNMLOJOHLFFAU66CA,20,7.50,共有部份,鋼筋混凝土造,85年3月1日,六層,
RPWNMLQJOHLFFAU57CA,22,28.44,住家用,鋼筋混凝土造,83年11月15日,十二層,七層
RPWNMLQJOHLFFAU57CA,22,9.02,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPWNMLQJOHLFFAU57CA,22,4.77,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPXNMLQJOHLFFAU67CA,30,23.02,住家用,鋼筋混凝土造,75年7月12日,五層,五層
RPXNMLQJOHLFFAU67CA,30,5.30,共有部份,鋼筋混凝土造,75年7月12日,五層,
RPROMLRJOHLFFAU27CA,,337.00,農舍,鋼筋混凝土造,105年3月16日,三層,一層 二層 三層 屋頂突出物
RPWNMLSLOHLFFAU97CA,36,98.30,住商用,鋼筋混凝土加強磚造,69年3月31日,二層,一層 二層 騎樓
RPVNMLMLOHLFFAU27CA,1,491.80,住家用,鋼筋混凝土造,104年11月5日,四層,一層 二層 三層 四層 屋頂突出物
RPVNMLMLOHLFFAU27CA,1,429.51,住家用,鋼筋混凝土造,104年11月5日,四層,一層 二層 三層 四層
RPVNMLMLOHLFFAU27CA,1,427.55,住家用,鋼筋混凝土造,104年11月5日,四層,一層 二層 三層 四層
RPVNMLMLOHLFFAU27CA,1,493.62,住家用,鋼筋混凝土造,104年11月5日,四層,一層 二層 三層 四層 屋頂突出物
RPOOMLNLOHLFFAU76CA,,231.62,農舍,鋼筋混凝土造,105年3月25日,三層,一層 二層 三層 屋頂突出物
RPROMLNLOHLFFAU07CA,13,85.76,住家用,鋼筋混凝土造,92年9月8日,六層,六層
RPROMLNLOHLFFAU07CA,13,41.06,共有部份,鋼筋混凝土造,92年9月8日,六層,
