編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPOPMLLJOHLFFAU09CA,自強段,5.63,都市：住
RPUNMLMJOHLFFAU96CA,民享段,12.60,都市：商
RPWNMLMJOHLFFAU17CA,仁愛段,248.29,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLMJOHLFFAU17CA,仁愛段,12296.08,非都市：特定農業區 ; 非都市編定：農牧用地
RPOOMLMJOHLFFAU09CA,樹人段,8.74,都市：商
RPVOMLMJOHLFFAU17CA,富國段,3.16,都市：住
RPVOMLMJOHLFFAU17CA,富國段,4.73,都市：住
RPXNMLRJOHLFFAU77CA,富國段,22.56,都市：住
RPQOMLSJOHLFFAU27CA,路內段,32.27,都市：住
RPQOMLSJOHLFFAU27CA,路內段,4.00,都市：住
RPQOMLSJOHLFFAU27CA,路內段,4.09,都市：住
RPQOMLSJOHLFFAU27CA,路內段,9.05,都市：住
RPTNMLSKOHLFFAU57CA,永安段,172.88,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLSKOHLFFAU87CA,福興段,89.00,都市：住
RPPOMLLLOHLFFAU66CA,光華段二小段,117.34,非都市：工業區 ; 非都市編定：丁種建築用地
RPOQMLRLOHLFFAU37CA,碧雲段,102.00,都市：商
RPUPMLSLOHLFFAU97CA,下崇德段,401.35,都市：其他
RPUNMLKMOHLFFAU07CA,宜寧段,82.00,都市：住
RPQNMLMJOHLFFCU76CA,瑞美段,27.00,都市：農
RPQNMLMJOHLFFCU76CA,瑞美段,172.00,都市：住
RPQNMLMJOHLFFCU76CA,瑞美段,221.00,都市：住
RPQNMLMJOHLFFCU76CA,瑞美段,3.33,都市：農
RPQNMLMJOHLFFCU76CA,瑞美段,2.00,都市：農
RPQNMLMJOHLFFCU76CA,瑞美段,145.00,都市：住
RPPNMLRJPHLFFBU17CA,大安段,83.00,都市：住
RPPNMLRJPHLFFBU17CA,大平段,3.00,都市：其他
RPRNMLQJOHLFFAU27EA,富國段,4.29,都市：商
RPQNMLNJOHLFFBU96EA,阿托莫段,1602.78,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLNJOHLFFBU07EA,悅付南段,286.91,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLOKOHLFFCU96CA,瑞良段,97.00,都市：住
RPPNMLNJOHLFFCU76CA,興南段,5869.62,非都市：特定農業區 ; 非都市編定：農牧用地
RPTOMLKMOHLFFAU07CA,光華段二小段,254.35,非都市：工業區 ; 非都市編定：丁種建築用地
RPWOMLOJPHLFFAU57CA,上崇德段,176.22,都市：住
RPWOMLOJPHLFFAU57CA,上崇德段,15.05,都市：住
RPSNMLNJOHLFFBU96CA,鳳信段,2511.11,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLSLOHLFFAU77CA,帛士林段,1251.33,非都市：一般農業區 ; 非都市編定：農牧用地
RPTOMLNLOHLFFAU27CA,慶豐段,9.04,都市：住
RPUNMLSKOHLFFAU67CA,樹人段,9.63,都市：商
RPWNMLOKOHLFFAU47CA,主商段,87.00,都市：住
RPWNMLOKOHLFFAU47CA,主商段,2.00,都市：住
RPPNMLNKOHLFFAU66CA,樹林段,97.33,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPOOMLRJOHLFFAU96CA,碧雲段,151.00,都市：住
RPUNMLOJOHLFFAU17CA,嘉南段,89.00,都市：住
RPPOMLOJOHLFFAU76CA,嘉北段,71.00,都市：住
RPSNMLNJOHLFFAU86CA,福祥段,90.00,都市：住
RPTNMLNJOHLFFAU96CA,裕民段,110.00,都市：住
RPUNMLNJOHLFFAU07CA,吉興段,28.64,都市：住
RPPNMLOJOHLFFAU66CA,裕民段,15.63,都市：住
RPWNMLQJOHLFFAU57CA,富國段,4.01,都市：住
RPXNMLQJOHLFFAU67CA,富國段,4.92,都市：商
RPROMLRJOHLFFAU27CA,南埔段,1112.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPOMLSKOHLFFAU27CA,慈惠段,193.15,都市：住
RPPNMLRKOHLFFAU07CA,白雲段,180.38,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLSLOHLFFAU97CA,富國段,95.00,都市：住
RPOOMLNLOHLFFAU76CA,順安段,731.75,非都市：一般農業區 ; 非都市編定：農牧用地
RPROMLNLOHLFFAU07CA,仁義段,40.78,都市：住
RPRNMLNJOHLFFCU96CA,舞鶴東段,1879.10,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLOJOHLFFCU96CA,玉昌段,127.97,都市：住
RPQNMLOJOHLFFCU96CA,玉昌段,1.07,都市：其他
