編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXNMLQKOHLFFAW97CA,,41.29,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,七層
RPXNMLQKOHLFFAW97CA,,57.20,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,
RPQOMLQKOHLFFAW37CA,,83.43,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,二層
RPQOMLQKOHLFFAW37CA,,48.24,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,
RPPNMLOKOHLFFAW96CA,27,127.40,住商用,鋼筋混凝土造,78年6月30日,三層,一層 二層 三層
RPPNMLLLOHLFFAW76CA,,74.27,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,三層
RPPNMLLLOHLFFAW76CA,,5.92,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPPNMLLLOHLFFAW76CA,,8.24,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPPNMLLLOHLFFAW76CA,,7.68,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPQNMLLLOHLFFAW86CA,,76.80,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,六層
RPQNMLLLOHLFFAW86CA,,6.31,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPQNMLLLOHLFFAW86CA,,8.48,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPQNMLLLOHLFFAW86CA,,31.66,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPRNMLPKOHLFFAW27CA,,72.48,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,三層
RPRNMLPKOHLFFAW27CA,,9.72,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPRNMLPKOHLFFAW27CA,,5.78,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPRNMLPKOHLFFAW27CA,,8.02,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPRNMLPKOHLFFAW27CA,,7.53,見其他登記事項,鋼筋混凝土造,104年12月1日,十層,
RPQNMLMLOHLFFAW96CA,32,120.00,住商用,鋼筋混凝土造,73年2月15日,三層,一層 二層 三層
RPQNMLPKOHLFFAW27DA,65,83.62,住家用,見其他登記事項,40年6月6日,一層,一層
RPUNMLPJPHLFFAW57CA,,69.38,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,四層
RPUNMLPJPHLFFAW57CA,,40.89,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,
RPVNMLPJPHLFFAW67CA,,41.29,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,四層
RPVNMLPJPHLFFAW67CA,,57.14,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,
SPRNMLQKOHLFFAW47CA,,104.52,見其他登記事項,鋼筋混凝土造,105年2月5日,三層,二層
SPRNMLQKOHLFFAW47CA,,356.53,見其他登記事項,鋼筋混凝土造,105年2月5日,三層,
SPRNMLQKOHLFFAW47CA,,5.69,見其他登記事項,鋼筋混凝土造,105年2月5日,三層,
SPRNMLQKOHLFFAW47CA,,13.77,見其他登記事項,鋼筋混凝土造,105年2月5日,三層,
RPSNMLRKOHLFFAW57CA,,90.31,見其他登記事項,鋼筋混凝土造,105年4月1日,三層,二層
RPSNMLRKOHLFFAW57CA,,10.19,見其他登記事項,鋼筋混凝土造,105年4月1日,三層,
RPTNMLRKOHLFFAW67CA,,83.44,見其他登記事項,鋼筋混凝土造,105年4月1日,三層,二層
RPTNMLRKOHLFFAW67CA,,6.40,見其他登記事項,鋼筋混凝土造,105年4月1日,三層,
RPPNMLQKOHLFFAW27DA,,171.33,住家用,鋼筋混凝土造,104年12月10日,三層,一層 二層 三層
RPUOMLQKOHLFFAW87DA,,46.53,見其他登記事項,鋼筋混凝土造,105年2月4日,三層,一層
RPUOMLQKOHLFFAW87DA,,5.39,見其他登記事項,鋼筋混凝土造,105年2月4日,三層,
