編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVNMLQKOHLFFAA18CA,7,52.28,住家用,鋼筋混凝土造,98年3月17日,九層,三層
RPVNMLQKOHLFFAA18CA,7,13.31,共有部分,鋼筋混凝土造,98年3月17日,九層,
RPVNMLQKOHLFFAA18CA,7,17.11,共有部分,鋼筋混凝土造,98年3月17日,九層,
RPWNMLQKOHLFFAA28CA,16,118.39,住家用,鋼筋混凝土造,89年10月25日,十層,九層
RPWNMLQKOHLFFAA28CA,16,10.50,共有部分,鋼筋混凝土造,89年10月25日,十一層,
RPWNMLQKOHLFFAA28CA,16,3.77,共有部分,鋼筋混凝土造,89年10月25日,十層,
RPWNMLQKOHLFFAA28CA,16,20.67,共有部分,鋼筋混凝土造,89年10月25日,十層,
RPWNMLQKOHLFFAA28CA,16,26.33,共有部分,鋼筋混凝土造,89年10月25日,十一層,
RPPOMLRKOHLFFAA77CA,3,94.83,住家用,鋼筋混凝土造,102年1月3日,十一層,十一層
RPPOMLRKOHLFFAA77CA,3,13.37,見其他登記事項,鋼筋混凝土造,102年1月3日,十一層,
RPPOMLRKOHLFFAA77CA,3,42.65,見其他登記事項,鋼筋混凝土造,102年1月3日,十一層,
RPPOMLRKOHLFFAA77CA,3,23.16,見其他登記事項,鋼筋混凝土造,102年1月3日,十一層,
RPQOMLRKOHLFFAA87CA,17,114.23,住家用,鋼筋混凝土造,88年8月5日,十二層,十一層
RPQOMLRKOHLFFAA87CA,17,31.43,共有部分,鋼筋混凝土造,88年8月5日,十二層,
RPQOMLRKOHLFFAA87CA,17,40.24,共有部分,鋼筋混凝土造,88年8月5日,十二層,
RPROMLRKOHLFFAA97CA,6,53.22,住家用,鋼筋混凝土造,99年7月30日,五層,二層
RPROMLRKOHLFFAA97CA,6,14.77,見其他登記事項,鋼筋混凝土造,99年7月30日,五層,
RPROMLRKOHLFFAA97CA,6,16.13,見其他登記事項,鋼筋混凝土造,99年7月30日,五層,
RPROMLRKOHLFFAA97CA,6,.74,住家用,鋼筋混凝土造,99年7月30日,五層,二層
