編號,車位類別,車位價格,車位面積平方公尺
RPWNMLQKOHLFFAA28CA,坡道機械,0,
RPPOMLRKOHLFFAA77CA,坡道平面,0,42.65
RPQOMLRKOHLFFAA87CA,坡道平面,0,35.59
RPROMLRKOHLFFAA97CA,坡道平面,0,42.89
RPPOMLRLOHLFFAA87CA,升降機械,0,35.09
RPXNMLOJPHLFFAA18CA,坡道機械,0,14.73
RPOOMLLKPHLFFAA17CA,坡道機械,0,15.05
RPUOMLMKPHLFFAA87CA,坡道平面,1680000,35.33
RPVOMLMKPHLFFAA97CA,坡道平面,1950000,41.66
RPXOMLRKOHLFFCA78CA,塔式車位,0,
RPPPMLRKOHLFFCA08CA,坡道平面,0,
RPPPMLRKOHLFFCA08CA,坡道平面,0,
RPRPMLRKOHLFFCA28CA,坡道平面,0,
RPXQMLRKOHLFFCA98CA,坡道平面,0,
RPVPMLKLOHLFFCA08CA,坡道平面,0,
RPXOMLQKOHLFFCA68CA,塔式車位,0,13.07
RPQPMLMLOHLFFCA77CA,坡道平面,0,
RPVQMLOJPHLFFCA48CA,坡道平面,1880000,29.00
RPVQMLOJPHLFFCA48CA,坡道平面,1880000,29.00
RPTNMLPJPHLFFCA08CA,坡道平面,2300000,29.77
RPTNMLPJPHLFFCA08CA,坡道平面,2300000,29.77
RPPPMLPJPHLFFCA87CA,坡道平面,0,
RPVOMLLKPHLFFCA08CA,坡道機械,2000000,7.32
RPRPMLLKPHLFFCA77CA,升降機械,2000000,7.32
RPQQMLLKPHLFFCA77CA,升降機械,2070000,7.32
RPRQMLLKPHLFFCA87CA,升降機械,2000000,7.32
RPOQMLPKPHLFFCA97CA,升降機械,2050000,7.32
RPPQMLPKPHLFFCA08CA,升降機械,0,7.32
RPQNMLMLOHLFFDA67CA,坡道平面,0,45.51
RPQNMLMLOHLFFDA67CA,坡道平面,0,45.51
RPQNMLMLOHLFFDA67CA,坡道平面,0,45.51
RPRNMLMLOHLFFDA77CA,坡道平面,2000000,37.63
RPXNMLNLOHLFFDA48CA,塔式車位,0,11.51
RPOOMLNLOHLFFDA67CA,塔式車位,0,11.51
RPOPMLPKPHLFFDA97CA,坡道平面,0,47.51
RPOPMLPKPHLFFDA97CA,坡道機械,0,47.51
RPPNMLKLOHLFFEA47CA,坡道平面,0,32.44
RPRNMLKLOHLFFEA67CA,坡道平面,0,29.42
RPRNMLKLOHLFFEA67CA,坡道平面,0,29.42
RPWNMLPJPHLFFEA58CA,坡道平面,0,
RPXNMLPJPHLFFEA68CA,坡道平面,0,
RPOOMLPJPHLFFEA87CA,坡道平面,0,
RPPOMLPJPHLFFEA97CA,坡道平面,0,
RPROMLPJPHLFFEA18CA,坡道平面,0,
RPSOMLPJPHLFFEA28CA,坡道平面,0,
RPTOMLPJPHLFFEA38CA,坡道平面,0,
RPUOMLPJPHLFFEA48CA,坡道平面,0,
RPVOMLPJPHLFFEA58CA,坡道平面,0,
RPXOMLPJPHLFFEA78CA,坡道平面,0,
RPPPMLPJPHLFFEA08CA,坡道平面,0,
RPQPMLPJPHLFFEA18CA,坡道平面,0,
RPRPMLPJPHLFFEA28CA,坡道平面,0,
RPSPMLPJPHLFFEA38CA,坡道平面,0,
RPTPMLPJPHLFFEA48CA,坡道平面,0,
RPUPMLPJPHLFFEA58CA,坡道平面,0,
