編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLQKOHLFFCA38CC,17,58.26,商業用,鋼筋混凝土造,88年5月24日,十一層,
RPTNMLQKOHLFFCA38CC,17,20.12,共有部分,鋼筋混凝土造,88年5月24日,十一層,
RPXNMLQKOHLFFCA78CC,3,91.85,見其他登記事項,鋼筋混凝土造,102年5月6日,十四層,
RPXNMLQKOHLFFCA78CC,3,38.79,見其他登記事項,鋼筋混凝土造,102年5月6日,十四層,
RPOOMLQKOHLFFCA97CC,28,111.07,住家用,鋼筋混凝土造,76年12月17日,十二層,
RPOOMLQKOHLFFCA97CC,28,18.66,共有部分,鋼筋混凝土造,76年12月17日,十二層,
RPPOMLQKOHLFFCA08CC,7,104.79,住家用,鋼骨鋼筋混凝土造,98年9月1日,十七層,
RPPOMLQKOHLFFCA08CC,7,27.79,共有部分,鋼骨鋼筋混凝土造,98年9月1日,十七層,
RPPOMLQKOHLFFCA08CC,7,16.48,共有部分,鋼骨鋼筋混凝土造,98年9月1日,十七層,
RPQOMLQKOHLFFCA18CC,10,161.48,住家用,鋼筋混凝土造,95年5月16日,十四層,
RPQOMLQKOHLFFCA18CC,10,52.88,共有部分,鋼筋混凝土造,95年5月16日,十四層,
RPQOMLQKOHLFFCA18CC,10,38.55,共有部分,鋼筋混凝土造,95年5月16日,十四層,
RPSOMLQKOHLFFCA38CC,,304.79,商業用,鋼筋混凝土造,,九層,
RPUOMLQKOHLFFCA58CC,21,84.70,商業用,鋼筋混凝土造,84年5月13日,八層,
RPWOMLQKOHLFFCA78CC,4,34.16,見其他登記事項,鋼筋混凝土造,101年11月12日,十四層,
RPWOMLQKOHLFFCA78CC,4,18.61,見其他登記事項,鋼筋混凝土造,101年11月12日,十四層,
RPTPMLQKOHLFFCA58CC,1,298.86,住家用,見其他登記事項,103年12月29日,四十二層,
RPTPMLQKOHLFFCA58CC,1,33.45,住家用,見其他登記事項,103年12月29日,四十二層,
RPTPMLQKOHLFFCA58CC,1,1.43,住家用,見其他登記事項,103年12月29日,四十二層,
RPTPMLQKOHLFFCA58CC,1,17.78,見其他登記事項,見其他登記事項,103年12月29日,四十二層,
RPTPMLQKOHLFFCA58CC,1,107.02,見其他登記事項,見其他登記事項,103年12月29日,四十二層,
RPTPMLQKOHLFFCA58CC,1,14.57,見其他登記事項,見其他登記事項,103年12月29日,四十二層,
