編號,車位類別,車位價格,車位面積平方公尺
RPXNMLQKOHLFFCA78CC,坡道平面,0,
RPTPMLQKOHLFFCA58CC,坡道平面,0,
RPTPMLQKOHLFFCA58CC,坡道平面,0,
RPTPMLQKOHLFFCA58CC,坡道平面,0,
RPQOMLRKOHLFFFA58CC,坡道平面,0,
RPVNMLRKOHLFFEA88CC,坡道平面,5000,
RPTOMLRKOHLFFEA78CC,坡道平面,0,
RPUNMLRKOHLFFDA68CC,坡道平面,0,45.17
RPUNMLRKOHLFFDA68CC,坡道平面,0,45.17
RPTNMLKLOHLFFEA08CC,坡道平面,0,36.91
RPROMLKLOHLFFCA77CC,坡道平面,0,45.66
RPROMLKLOHLFFCA77CC,坡道平面,0,45.66
RPUOMLKLOHLFFCA08CC,坡道平面,0,18.16
RPQPMLKLOHLFFCA77CC,坡道平面,0,
RPQPMLKLOHLFFCA77CC,坡道平面,0,
RPPNMLKLOHLFFBA37CC,升降機械,0,7.35
RPPOMLLLOHLFFCA67CC,坡道平面,0,
RPPOMLLLOHLFFCA67CC,坡道平面,0,
RPPOMLLLOHLFFCA67CC,坡道平面,0,
RPPOMLLLOHLFFCA67CC,坡道平面,0,
RPTOMLLLOHLFFCA08CC,坡道平面,0,
RPOPMLLLOHLFFCA67CC,其他,0,16.16
RPRNMLLLOHLFFEA97CC,坡道平面,0,
RPXNMLMLOHLFFEA68CC,坡道平面,0,49.57
RPQOMLMLOHLFFEA08CC,坡道平面,0,33.69
RPROMLMLOHLFFEA18CC,坡道平面,0,36.79
RPOPMLMLOHLFFEA97CC,一樓平面,0,
RPVQMLMLOHLFFCA68DC,坡道平面,22050,
RPVNMLMLOHLFFCA28CC,坡道平面,0,
RPSOMLMLOHLFFCA08CC,坡道平面,3675,
RPSOMLMLOHLFFCA08CC,坡道平面,3675,
RPSOMLMLOHLFFCA08CC,坡道平面,3675,
RPSOMLMLOHLFFCA08CC,坡道平面,3675,
RPSOMLMLOHLFFCA08CC,坡道平面,3675,
RPPPMLMLOHLFFCA87CC,坡道平面,0,35.48
RPRPMLMLOHLFFCA08CC,坡道平面,0,32.32
RPSPMLMLOHLFFCA18CC,坡道平面,0,15.01
RPVPMLMLOHLFFCA48CC,坡道平面,0,38.73
RPVPMLMLOHLFFCA48CC,坡道平面,0,38.73
RPOQMLMLOHLFFCA87CC,坡道平面,0,36.71
RPOQMLMLOHLFFCA87CC,坡道平面,0,36.71
RPTQMLMLOHLFFCA38CC,坡道機械,0,
RPVNMLMLOHLFFAA08CC,坡道平面,0,46.62
RPOPMLMLOHLFFDA87CC,坡道平面,0,49.18
RPOPMLMLOHLFFDA87CC,坡道平面,0,49.18
RPPNMLNLOHLFFAA57CC,坡道平面,10000,7.14
RPQNMLNLOHLFFAA67CC,坡道平面,0,
RPUPMLNLOHLFFCA48CC,坡道平面,0,30.40
RPXPMLNLOHLFFCA78CC,坡道平面,0,43.91
RPOOMLNLOHLFFEA97CC,坡道平面,0,36.91
RPVOMLNLOHLFFFA78CC,坡道平面,0,
RPRNMLOLOHLFFEA28CC,升降平面,0,
RPRNMLOLOHLFFEA28CC,升降平面,0,
RPQOMLOLOHLFFEA28CC,坡道平面,0,
RPRNMLRLOHLFFFA68CC,坡道平面,0,
RPRNMLRLOHLFFFA68CC,坡道平面,0,
RPRNMLRLOHLFFFA68CC,坡道平面,0,
RPRNMLRLOHLFFFA68CC,坡道平面,0,
RPRNMLRLOHLFFEA58CC,坡道平面,0,
RPROMLRLOHLFFEA78DC,坡道平面,0,37.60
RPQNMLRLOHLFFCA28CC,坡道平面,0,47.11
RPVOMLRLOHLFFCA88CC,坡道平面,0,
RPQOMLRLOHLFFDA48CC,坡道平面,0,
RPXPMLSLOHLFFDA76CC,升降平面,0,49.84
RPVNMLSLOHLFFEA09CC,坡道機械,0,15.29
RPVNMLSLOHLFFEA09CC,坡道機械,0,15.29
RPQNMLTLOHLFFCA48CC,坡道平面,0,37.55
RPQNMLTLOHLFFCA48CC,坡道平面,0,37.55
RPQNMLTLOHLFFCA48CC,坡道平面,0,37.55
RPWNMLTLOHLFFCA09CC,坡道平面,0,
RPTOMLTLOHLFFCA88CC,坡道平面,0,31.40
RPUOMLTLOHLFFCA98CC,坡道平面,0,28.03
RPQPMLTLOHLFFCA68CC,坡道平面,0,
RPVPMLTLOHLFFCA56CC,坡道平面,0,9.37
RPVPMLTLOHLFFCA56CC,坡道平面,0,9.37
RPPOMLTLOHLFFBA38CC,坡道平面,0,37.33
RPROMLTLOHLFFAA48CC,坡道平面,0,
RPOOMLTLOHLFFDA48CC,坡道平面,0,
RPSOMLKMOHLFFCA97CC,坡道平面,0,40.83
RPSOMLKMOHLFFCA97CC,坡道平面,0,40.83
RPSOMLKMOHLFFCA97CC,坡道平面,0,40.83
RPWOMLKMOHLFFCA38CC,坡道機械,0,9.15
