編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLLLOHLFFAB27CA,35,107.76,見其他登記事項,鋼筋混凝土造,70年6月5日,五層,二層
RPRNMLLLOHLFFAB47CA,25,150.53,住家用,鋼筋混凝土造,80年7月25日,十四層,十二層
RPRNMLLLOHLFFAB47CA,25,51.35,住家用,鋼筋混凝土造,80年7月25日,十四層,
RPPNMLKLOHLFFAB17CA,,38.30,住家用,見其他登記事項,,五層,五層 騎樓
RPSPMLMLOHLFFAB87CA,2,89.70,見其他登記事項,鋼筋混凝土造,103年8月21日,十五層,十二層
RPSPMLMLOHLFFAB87CA,2,77.17,見其他登記事項,鋼筋混凝土造,103年8月21日,十五層,
RPSPMLMLOHLFFAB87CA,2,21.04,見其他登記事項,鋼筋混凝土造,103年8月21日,十五層,
RPPNMLNLOHLFFAB47CA,9,66.76,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,七層
RPPNMLNLOHLFFAB47CA,9,14.08,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPPNMLNLOHLFFAB47CA,9,35.27,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPSNMLNLOHLFFAB77CA,22,91.58,住家用,鋼筋混凝土造,83年10月1日,九層,九層
RPSNMLNLOHLFFAB77CA,22,39.42,共有部份,鋼筋混凝土造,83年10月1日,九層,
RPWOMLNLOHLFFAB28CA,23,377.63,商業用,鋼筋混凝土造,82年6月30日,十二層,三層
RPWOMLNLOHLFFAB28CA,23,475.17,見其他登記事項,鋼筋混凝土造,82年6月30日,十二層,
RPQPMLNLOHLFFAB77CA,22,95.83,住家用,鋼筋混凝土造,83年5月31日,十四層,五層
RPQPMLNLOHLFFAB77CA,22,26.61,見其他登記事項,鋼筋混凝土造,83年5月31日,十四層,
RPSPMLNLOHLFFAB97CA,34,21.34,住家用,鋼筋混凝土造,71年9月18日,七層,五層
RPSPMLNLOHLFFAB97CA,34,1.51,共有部份,鋼筋混凝土造,71年9月18日,十二層,
RPSPMLNLOHLFFAB97CA,34,5.97,共有部份,鋼筋混凝土造,71年9月18日,七層,
RPPNMLPLOHLFFAB67CA,30,158.71,住家用,鋼筋混凝土造,75年10月1日,六層,五層
RPPNMLPLOHLFFAB67CA,30,24.39,共有部份,鋼筋混凝土造,75年10月1日,六層,
RPRNMLQLOHLFFAB97CA,21,18.03,住家用,鋼筋混凝土造,83年12月7日,十五層,三層
RPRNMLQLOHLFFAB97CA,21,7.73,共有部份,鋼筋混凝土造,83年12月7日,十五層,
RPWOMLRLOHLFFAB68CA,12,222.99,見其他登記事項,鋼筋混凝土造,93年11月5日,四層,一層 二層 三層 四層 地下一層 見其他登記事項
