鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
西屯區,房地(土地+建物)+車位,臺中市西屯區朝富路121~150號,65.1,住,,,1050525,土地1建物1車位1,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0840414,186.55,4,2,3,有,無,有,46000,247,坡道平面,0.0,0,,RPUNMLQKOHLFFCB58CC
西屯區,房地(土地+建物)+車位,臺中市西屯區朝富路121~150號,65.1,住,,,1050525,土地1建物1車位1,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0840414,186.55,4,2,3,有,無,有,46000,247,坡道平面,0.0,0,,RPVNMLQKOHLFFCB68CC
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北二路211~240號,36.78,其他,,,1050609,土地1建物1車位4,二十五層,36,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1030403,679.3199999999999,0,0,0,無,有,無,158000,233,坡道平面,80.4,0,,RPWNMLQKOHLFFCB78CC
豐原區,土地,成功段61~90地號,118.52,住,,,1050524,土地1建物0車位0,,,其他,,,,0.0,4,0,0,有,無,無,34000,287,,0.0,0,有未辦保存建物一棟,RPTNMLQKOHLFFAL66CC
太平區,房地(土地+建物),臺中市太平區中平九街61~90號,216.0,其他,,,1050615,土地1建物1車位0,全,2,透天厝,見其他登記事項,加強磚造,0670110,147.84,0,0,0,無,無,無,38000,257,,0.0,0,,RPTNMLQKOHLFFHL47DC
南區,房地(土地+建物),臺中市南區福田路151~180號,91.0,住,,,1050526,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0791008,287.68,4,3,4,有,無,無,18000,63,,0.0,0,,RPPOMLRKOHLFFAB18DC
南屯區,土地,永春段1~30地號,414.71,住,,,1050614,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,50000,121,,0.0,0,105年8月16日至106年2月15日為裝修期免租金。106年2月16日至108年8月15日，每月租金50000元整。108年8月16日至111年8月15日，每月租金52500元整。111年8月16日至114年8月15日，每月租金55125元整。114年8月16日至115年8月15日，每月租金57880元整。,RPXOMLRKOHLFFCB09CC
西屯區,房地(土地+建物),臺中市西屯區天水東二街1~30號,33.33,住,,,1050616,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0770205,60.31,1,1,1,有,無,無,3000,50,,0.0,0,,RPXPMLRKOHLFFCB56CC
南屯區,土地,永富段541~570地號,1251.0,住,,,1050615,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,15000,12,,0.0,0,,RPRQMLRKOHLFFCB68CC
西屯區,房地(土地+建物),臺中市西屯區福星路151~180號,9.37,住,,,1050519,土地1建物1車位0,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960929,78.01,2,1,1,有,有,有,20000,256,,0.0,0,租金含管理費。,RPTQMLRKOHLFFCB88CC
