編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLQKOHLFFCB58CC,21,186.55,見其他登記事項,鋼筋混凝土造,84年4月14日,四層,
RPVNMLQKOHLFFCB68CC,21,186.55,見其他登記事項,鋼筋混凝土造,84年4月14日,四層,
RPWNMLQKOHLFFCB78CC,2,420.11,見其他登記事項,鋼骨鋼筋混凝土造,103年4月3日,三十六層,
RPWNMLQKOHLFFCB78CC,2,125.21,見其他登記事項,鋼骨鋼筋混凝土造,103年4月3日,三十六層,
RPWNMLQKOHLFFCB78CC,2,134.00,見其他登記事項,鋼骨鋼筋混凝土造,103年4月3日,三十六層,
RPTNMLQKOHLFFHL47DC,38,93.63,見其他登記事項,加強磚造,67年1月10日,二層,
RPTNMLQKOHLFFHL47DC,38,54.21,見其他登記事項,加強磚造,67年1月10日,二層,
RPPOMLRKOHLFFAB18DC,26,287.68,住商用,鋼筋混凝土造,79年10月8日,四層,
RPXPMLRKOHLFFCB56CC,28,60.31,住家用,鋼筋混凝土造,77年2月5日,三層,
RPTQMLRKOHLFFCB88CC,9,56.78,住家用,鋼筋混凝土造,96年9月29日,十三層,
RPTQMLRKOHLFFCB88CC,9,13.83,見其他登記事項,鋼筋混凝土造,96年9月29日,十三層,
RPTQMLRKOHLFFCB88CC,9,7.40,見其他登記事項,鋼筋混凝土造,96年9月29日,十三層,
RPPNMLSKOHLFFCB28CC,6,46.66,住家用,鋼筋混凝土造,99年2月1日,十一層,
RPPNMLSKOHLFFCB28CC,6,17.18,見其他登記事項,鋼筋混凝土造,99年2月1日,十二層,
RPPNMLSKOHLFFCB28CC,6,6.37,見其他登記事項,鋼筋混凝土造,99年2月1日,十二層,
RPQNMLSKOHLFFCB38CC,7,39.43,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPQNMLSKOHLFFCB38CC,7,3.28,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPQNMLSKOHLFFCB38CC,7,15.81,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPRNMLSKOHLFFCB48CC,22,279.00,住商用,鋼筋混凝土造,83年8月18日,三層,
RPRNMLSKOHLFFCB48CC,22,1230.29,商業用,鋼筋混凝土造,83年8月18日,十五層,
RPQNMLSKOHLFFBB28CC,7,51.90,住家用,鋼筋混凝土造,98年8月5日,十八層,
RPQNMLSKOHLFFBB28CC,7,7.46,共有部份,鋼筋混凝土造,98年8月5日,十八層,
RPQNMLSKOHLFFBB28CC,7,13.49,共有部份,鋼筋混凝土造,98年8月5日,十八層,
RPRNMLSKOHLFFBB38CC,10,48.56,住家用,鋼筋混凝土造,94年12月8日,十八層,
RPRNMLSKOHLFFBB38CC,10,35.47,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPPNMLTKOHLFFBB28CC,8,46.37,住家用,鋼筋混凝土造,97年7月21日,十五層,
RPTOMLKLOHLFFBB97CC,1,99.30,見其它登記事項,鋼筋混凝土造,104年8月26日,二十五層,
RPTOMLKLOHLFFBB97CC,1,25.49,見其它登記事項,鋼筋混凝土造,104年8月26日,二十五層,
RPTOMLKLOHLFFBB97CC,1,53.25,見其它登記事項,鋼筋混凝土造,104年8月26日,二十五層,
RPTPMLKLOHLFFBB08CC,9,178.10,住家用,鋼筋混凝土造,96年9月29日,十二層,
RPVNMLKLOHLFFCB18CC,17,160.72,住家用,鋼筋混凝土造,88年3月3日,十四層,
RPWNMLKLOHLFFCB28CC,4,91.63,住家用,鋼筋混凝土造,101年7月10日,十二層,
