編號,車位類別,車位價格,車位面積平方公尺
RPPNMLSJPHLFFCC18CA,坡道平面,1100000,15.87
RPRNMLSJPHLFFCC38CA,坡道平面,1100000,15.87
RPSNMLSJPHLFFCC48CA,坡道平面,1100000,15.87
RPSNMLSJPHLFFCC48CA,坡道平面,1000000,13.47
RPTNMLSJPHLFFCC58CA,坡道平面,1100000,15.87
RPTNMLSJPHLFFCC58CA,坡道平面,1100000,15.87
RPUNMLSJPHLFFCC68CA,坡道平面,1000000,15.87
RPOOMLSJPHLFFCC18CA,坡道平面,900000,13.47
RPPOMLSJPHLFFCC28CA,坡道平面,900000,13.47
RPSOMLSJPHLFFCC58CA,坡道平面,1000000,13.47
RPTOMLSJPHLFFCC68CA,坡道平面,1100000,15.87
RPTOMLSJPHLFFCC68CA,坡道平面,1200000,15.87
RPXOMLSJPHLFFCC09CA,坡道平面,1050000,13.47
RPOPMLSJPHLFFCC28CA,坡道平面,1000000,15.87
RPPPMLSJPHLFFCC38CA,坡道平面,1050000,13.47
RPQPMLSJPHLFFCC48CA,坡道平面,0,15.87
RPRPMLSJPHLFFCC58CA,坡道平面,1100000,15.87
RPSPMLSJPHLFFCC68CA,坡道平面,1100000,15.87
RPSPMLSJPHLFFCC68CA,坡道平面,1100000,15.87
RPUPMLSJPHLFFCC88CA,坡道平面,1100000,15.87
RPVPMLSJPHLFFCC98CA,坡道平面,1100000,15.87
RPXPMLSJPHLFFCC56CA,坡道平面,1200000,15.87
RPOQMLSJPHLFFCC38CA,坡道平面,1100000,15.87
RPPQMLSJPHLFFCC48CA,坡道平面,0,15.87
RPQQMLSJPHLFFCC58CA,坡道平面,1100000,15.87
RPRQMLSJPHLFFCC68CA,坡道平面,1100000,15.87
RPSQMLSJPHLFFCC78CA,坡道平面,0,15.87
RPUQMLSJPHLFFCC98CA,坡道平面,1000000,13.47
RPUNMLQJPHLFFCC48CA,坡道平面,0,
RPOOMLMKPHLFFCC67CA,坡道平面,1000000,13.47
RPWNMLMKPHLFFCC38CA,坡道平面,1000000,15.87
RPWNMLMKPHLFFCC38CA,坡道平面,1000000,15.87
RPPNMLNKPHLFFCC77CA,坡道平面,0,15.87
RPXNMLMKPHLFFCC48CA,坡道平面,0,15.87
RPQRMLSJPHLFFCC68CA,坡道平面,1050000,13.47
RPSRMLSJPHLFFCC88CA,坡道平面,1100000,15.87
RPTRMLSJPHLFFCC98CA,坡道平面,1000000,15.87
RPURMLSJPHLFFCC09CA,坡道平面,1000000,13.47
RPURMLSJPHLFFCC09CA,坡道平面,1100000,15.87
RPOSMLSJPHLFFCC58CA,坡道平面,1100000,15.87
RPPSMLSJPHLFFCC68CA,坡道平面,1000000,13.47
RPPSMLSJPHLFFCC68CA,坡道平面,1000000,13.47
RPSSMLSJPHLFFCC98CA,坡道平面,1100000,15.87
RPTSMLSJPHLFFCC09CA,坡道平面,1000000,13.47
RPUSMLSJPHLFFCC56CA,坡道平面,1050000,13.47
RPWSMLSJPHLFFCC76CA,坡道平面,1000000,15.87
RPQOMLNLOHLFFCC97CA,坡道機械,0,18.47
RPQNMLOLOHLFFCC97CA,坡道平面,0,
RPXOMLKMOHLFFCC48CA,坡道平面,0,
RPUOMLNLOHLFFCC38CA,坡道平面,0,
RPRNMLQLOHLFFCC28CA,坡道平面,0,
RPSNMLTJPHLFFCC58CA,坡道平面,1100000,15.87
RPSNMLTJPHLFFCC58CA,坡道平面,1100000,15.87
RPUNMLTJPHLFFCC78CA,坡道平面,1200000,15.87
RPWNMLTJPHLFFCC98CA,坡道平面,1100000,15.87
RPWNMLTJPHLFFCC98CA,坡道平面,1100000,15.87
RPXNMLTJPHLFFCC09CA,坡道平面,1000000,15.87
RPOOMLTJPHLFFCC28CA,坡道平面,1100000,15.87
RPOOMLTJPHLFFCC28CA,坡道平面,1100000,15.87
RPQOMLMKPHLFFCC87CA,坡道平面,0,15.87
RPQOMLMKPHLFFCC87CA,坡道平面,0,13.47
