¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¥_°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¥_°Ï¤½¶é«n¸ô331~360¸¹,17.77,¦í,,,1050511,¤g¦a1«Øª«2¨®¦ì1,¤G¤Q¥|¼h¡A¤G¤Q¤­¼h,¤G¤Q¤­¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840104,256.28,4,2,2,¦³,¦³,8350000,32582,©Y¹D¥­­±,0.0,0,,RPVNMLQKOHLFFAD48CA
¤¤¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¤¤¦è°Ï©M¬üµó1~30¸¹,39.0,¦í,,,1050527,¤g¦a2«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0600629,61.56,3,3,2,¦³,µL,3200000,51982,,0.0,0,,RPPNMLRKOHLFFAD97CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w¥­°Ï¼y¥­¸ô181~210¸¹,2.51,°Ó,,,1050603,¤g¦a1«Øª«1¨®¦ì0,¤»¼h,¤Q¤T¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0841024,28.78,1,0,1,¦³,¦³,970000,33704,,0.0,0,,RPXOMLRKOHLFFAD88CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥_°Ï¨|¼w¤@µó271~300¸¹,102.38,¦í,,,1050525,¤g¦a1«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,0930601,247.87,5,4,2,¦³,µL,16000000,64550,,0.0,0,¿Ë¤Í¶¡¤§¥æ©ö¡C,RPRPMLRKOHLFFAD38CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥_°Ï¶}¤¸¸ô511~540¸¹,5.75,°Ó,,,1050429,¤g¦a3«Øª«1¨®¦ì0,¤Q¤»¼h,¤G¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1041105,78.53,2,2,1,¦³,¦³,4100000,52209,,0.0,0,,RPPNMLSKOHLFFAD08CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¦w¥­°Ï¥ÃµØ¸ô¤G¬q901~930¸¹,10.97,°Ó,,,1050509,¤g¦a1«Øª«1¨®¦ì1,¤E¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,0960111,131.22,3,1,2,¦³,¦³,5650000,43057,©Y¹D¥­­±,0.0,0,,RPTNMLSKOHLFFAD48CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¥_°Ï¥_ªù¸ô¤T¬q1~30¸¹,31.81,¦í,,,1050518,¤g¦a1«Øª«1¨®¦ì1,¤K¼h,¤Q¤T¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0911227,142.38,3,2,2,¦³,¦³,4800000,33713,©Y¹D¥­­±,0.0,0,¨®¦ì¶È¨Ï¥ÎÅv,RPUNMLSKOHLFFAD58CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¥_°Ï¤½¶é«n¸ô331~360¸¹,17.77,¦í,,,1050511,¤g¦a1«Øª«1¨®¦ì1,¤G¤Q¥|¼h¡A¤G¤Q¤­¼h,¤G¤Q¤­¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840104,264.09000000000003,4,2,2,¦³,¦³,8350000,31618,©Y¹D¥­­±,0.0,0,,RPUNMLKLOHLFFAD87CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥_°Ï¥_¦w¸ô¤@¬q211~240¸¹,109.43,¦í,,,1050603,¤g¦a1«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0881013,595.82,5,2,4,¦³,µL,20300000,34071,,0.0,0,,RPSNMLNLOHLFFAD97CA
¦w¥­°Ï,¤g¦a,·s«n¬q91~120¦a¸¹,262.0,¦í,,,1050608,¤g¦a3«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,34000000,129771,,0.0,0,,RPTNMLNLOHLFFAD08CA
