編號,車位類別,車位價格,車位面積平方公尺
RPVNMLQKOHLFFAD48CA,坡道平面,0,
RPTNMLSKOHLFFAD48CA,坡道平面,0,
RPUNMLSKOHLFFAD58CA,坡道平面,0,
RPUNMLKLOHLFFAD87CA,坡道平面,0,
RPTNMLMLOHLFFAD97CA,坡道機械,0,
RPROMLSLOHLFFAD48CA,坡道平面,0,
RPQNMLLKPHLFFAD57CA,坡道機械,500000,
RPVNMLRLOHLFFCD88CA,坡道平面,0,
RPVNMLRLOHLFFCD88CA,坡道平面,0,
RPVNMLRLOHLFFCD88CA,坡道平面,0,
RPXNMLSLOHLFFCD56CA,坡道機械,0,
RPSNMLLJPHLFFCD87CA,坡道平面,0,
RPSNMLNLOHLFFHR47CA,坡道機械,0,
RPTNMLOJPHLFFHR57CA,坡道機械,0,
RPQOMLLLOHLFFER96DA,一樓平面,0,
RPQOMLLLOHLFFER96DA,一樓平面,0,
RPUNMLNLOHLFFER47DA,一樓平面,0,
RPUNMLNLOHLFFER47DA,一樓平面,0,
RPUNMLNLOHLFFER47DA,一樓平面,0,
RPQNMLRKOHLFFHR67DA,坡道平面,0,
RPUOMLRLOHLFFHR18CA,坡道平面,0,
RPOOMLRLOHLFFCD28CA,坡道平面,0,
RPROMLOLOHLFFCD28CA,一樓平面,0,
RPWNMLKLOHLFFCD28CA,坡道平面,0,
RPWNMLLKPHLFFAD18CA,坡道平面,0,
RPTOMLSLOHLFFAD68CA,坡道平面,0,
RPROMLRLOHLFFAD38CA,坡道平面,0,
RPROMLRLOHLFFAD38CA,坡道平面,0,
RPXNMLKLOHLFFAD18CA,坡道機械,0,
RPQOMLLLOHLFFAD67CA,升降機械,600000,
RPPNMLMLOHLFFAD57CA,坡道機械,600000,
RPVPMLRJPHLFFAD78CA,坡道平面,0,
RPWOMLSLOHLFFCD56CA,坡道機械,0,
RPWOMLRJPHLFFDR87CA,一樓平面,0,
RPRNMLKMOHLFFFR96CA,坡道平面,0,
RPXNMLMLOHLFFHR87CA,坡道平面,0,
RPUOMLRLOHLFFAD78DA,坡道平面,0,
RPSNMLTLOHLFFHR08CA,坡道機械,0,
RPTNMLNLOHLFFHR57CA,坡道平面,0,
RPOOMLMLOHLFFHR07CA,坡道平面,0,
RPWNMLMLOHLFFHR77CA,坡道平面,0,
RPOOMLSKPHLFFER37CA,坡道平面,0,17.72
RPQNMLTKPHLFFER57CA,坡道平面,0,17.72
RPRNMLTKPHLFFER67CA,坡道平面,0,17.72
RPSOMLRLOHLFFAR27CA,坡道平面,0,
RPVNMLOJPHLFFCD48CA,坡道機械,0,
RPQNMLOLOHLFFCD08CA,坡道機械,0,
RPUNMLMLOHLFFCD28CA,坡道機械,0,
RPVNMLQJPHLFFAD48CA,坡道平面,500000,39.31
RPXNMLQJPHLFFAD68CA,坡道平面,200000,45.61
RPRNMLTLOHLFFAD48CA,坡道平面,1100000,30.14
RPWNMLOLOHLFFAD48CA,坡道平面,0,
RPVNMLOJPHLFFAD28CA,坡道平面,0,
