鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
新市區,房地(土地+建物),臺南市新巿區光華街91~120號,89.69,住,,,1050615,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0950317,199.63,5,1,4,有,無,有,26000,130,,0.0,0,,RPRNMLQKOHLFFER47CC
中西區,土地,五條港段541~570地號,45.3,商,,,1050614,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,23000,508,,0.0,0,,RPQNMLQKOHLFFAD28DC
永康區,建物,臺南市永康區永大路三段361~390號,0.0,其他,,,1050615,土地0建物1車位0,全,2,透天厝,見其他登記事項,鋼筋混凝土造,0981106,113.81,3,1,3,有,無,有,25000,220,,0.0,0,,RPRNMLRKOHLFFHR87CC
東區,房地(土地+建物),臺南市東區裕信路391~420號,0.0,住,,,1050526,土地1建物1車位0,一層,10,店面(店鋪),見其他登記事項,鋼筋混凝土構造,0880312,79.35,2,1,1,有,無,無,19000,239,,0.0,0,,RPXNMLRKOHLFFCD56CC
東區,房地(土地+建物),臺南市東區東安路76巷1~30號,23.8,住,,,1050618,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0730109,88.36,3,2,1,有,無,有,10000,113,,0.0,0,,RPPNMLTKOHLFFCD58CC
北區,建物,臺南市北區公園北路151~180號,0.0,其他,,,1050617,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0951001,94.0,2,2,1,有,無,有,18000,191,,0.0,0,,RPWNMLKLOHLFFAD28CC
北區,房地(土地+建物),臺南市北區開元路511~540號,9.0,商,,,1050620,土地3建物1車位0,五層,24,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1041105,125.04,3,2,2,有,無,無,15000,120,,0.0,0,,RPVNMLKLOHLFFAD28DC
安南區,建物,臺南市安南區安中路一段703巷1~30號,0.0,住,,,1050525,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0700907,103.72,3,2,2,有,無,無,6000,58,,0.0,0,,RPSNMLLLOHLFFBD08CC
安南區,建物,臺南市安南區安和路四段1~30號,0.0,工,,,1050617,土地0建物1車位0,一層,1,倉庫,見其他登記事項,見其他登記事項,0820120,1535.04,0,0,0,無,無,無,110000,,,0.0,0,,RPOOMLLLOHLFFBD77CC
北區,建物,臺南市北區開元路333巷1~30號,0.0,住,,,1050617,土地0建物1車位0,,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0920916,165.91,3,1,2,有,有,無,14600,88,,0.0,0,,RPRNMLLLOHLFFAD87CC
北區,建物,臺南市北區北門路二段241~270號,0.0,住,,,1050525,土地0建物1車位0,一層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0911115,160.99,1,1,1,有,有,有,15000,93,,0.0,0,,RPSNMLLLOHLFFAD97CC
安平區,房地(土地+建物),臺南市安平區平豐路236巷1~30號,635.0,住,,,1050613,土地4建物1車位0,一層,1,店面(店鋪),住家用,加強磚造,0770504,86.78,0,0,0,無,無,無,93000,1072,,0.0,0,,RPOOMLLLOHLFFAD67CC
東區,建物,臺南市東區建東街35巷1~30號,0.0,住,,,1050524,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0571205,71.0,5,2,4,有,無,無,12000,169,,0.0,0,,RPTNMLLLOHLFFCD28CC
東區,房地(土地+建物),臺南市東區崇明路121~150號,11.1,商,,,1050615,土地1建物1車位0,一層,16,店面(店鋪),住商用,鋼筋混凝土構造,0850203,116.23,1,2,2,有,無,有,22000,189,,0.0,0,,RPWNMLLLOHLFFCD58CC
東區,建物,臺南市東區府東街211~240號,0.0,住,,,1050617,土地0建物1車位0,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0830625,188.88,3,2,2,有,有,有,16000,85,,0.0,0,,RPQOMLLLOHLFFCD08CC
東區,房地(土地+建物),臺南市東區東寧路241~270號,83.0,商,,,1050616,土地1建物1車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土構造,0740204,94.08,7,2,5,有,無,無,25000,266,,0.0,0,1~2樓出租,RPROMLLLOHLFFCD18CC
新市區,房地(土地+建物),臺南市新巿區大營121~150號,87.0,,特定農業區,甲種建築用地,1050621,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0860911,56.04,5,3,3,有,無,無,15000,268,,0.0,0,,RPQNMLLLOHLFFER96CC
善化區,房地(土地+建物),臺南市善化區中山路481~510號,133.08,商,,,1050620,土地2建物1車位0,全,3,透天厝,住商用,加強磚造,0660801,294.65,6,3,5,有,無,無,29000,98,,0.0,0,,RPTNMLLLOHLFFER27CC
善化區,房地(土地+建物),臺南市善化區中山路1~30號,75.84,農,,,1050608,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0660210,108.16,3,1,2,有,無,有,12000,111,,0.0,0,,RPSNMLMLOHLFFER27CC
善化區,房地(土地+建物),臺南市善化區大信路1~30號,66.19,其他,,,1050601,土地1建物1車位0,全,3,透天厝,住商用,加強磚造,0630228,158.2,5,1,3,有,無,有,20000,126,,0.0,0,,RPTNMLMLOHLFFER37CC
善化區,土地,善成段1141~1170地號,179.39,住,,,1050620,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,35000,195,,0.0,0,,RPUNMLMLOHLFFER47CC
新市區,土地,潭頂段481~510地號,347.12,,鄉村區,乙種建築用地,1050602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,10000,29,,0.0,0,,RPVNMLMLOHLFFER57CC
北區,建物,臺南市北區北園街8巷1~30號,0.0,商,,,1050621,土地0建物1車位0,十九層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0961227,85.03,2,2,1,有,有,有,15000,176,,0.0,0,,RPVNMLMLOHLFFAD38CC
安南區,土地,安東段91~120地號,0.0,住,,,1050614,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,15000,0,,0.0,0,,RPPNMLMLOHLFFBD87CC
鹽水區,房地(土地+建物),臺南市鹽水區武廟路1~30號,20.07,住,,,1050616,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841026,112.59,3,2,2,有,無,有,7000,62,,0.0,0,,RPVNMLNLOHLFFAR27CC
佳里區,房地(土地+建物),臺南市佳里區佳西路241~270號,103.47,住,,,1050428,土地1建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,1020722,49.22,1,1,1,有,無,無,13500,274,,0.0,0,含水費不含電費,RPWNMLNLOHLFFDR77DC
中西區,建物,臺南市中西區湖美一街92巷1~30號,0.0,,,,1050530,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0750327,204.13,4,2,3,有,無,無,22000,108,,0.0,0,,RPXNMLNLOHLFFAD68CC
安平區,建物,臺南市安平區育平路31~60號,0.0,,,,1050606,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1021125,57.769999999999996,2,1,1,有,有,有,18000,312,,0.0,0,,RPOOMLNLOHLFFAD87CC
永康區,建物,臺南市永康區中山南路631~660號,0.0,住,,,1050623,土地0建物1車位0,全,3,透天厝,住商用,加強磚造,0640531,126.68,2,1,3,有,無,無,15000,118,,0.0,0,1.合約書無填具土地租賃面積.2.由所有權人提供出租資訊.3.租整棟透天,RPUNMLNLOHLFFHR87CC
永康區,建物,臺南市永康區新民街66巷1~30號,0.0,住,,,1050622,土地0建物1車位0,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821230,126.39,3,2,2,有,無,有,11000,87,,0.0,0,,RPUNMLOLOHLFFHR97CC
永康區,建物,臺南市永康區永大路二段1111~1140號,0.0,住,,,1050622,土地0建物1車位0,十九層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830711,96.17999999999999,3,2,2,有,無,有,8500,88,,0.0,0,,RPVNMLOLOHLFFHR08CC
永康區,建物,臺南市永康區安康里中華西街122巷61~90號,0.0,,,,1050607,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711231,96.57,3,2,2,有,無,有,9000,93,,0.0,0,,RPOOMLOLOHLFFHR47CC
安平區,建物,臺南市安平區永華路二段811~840號,0.0,,,,1050612,土地0建物1車位0,四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840530,117.12,3,2,2,有,有,有,15000,128,,0.0,0,,RPOPMLOLOHLFFAD08CC
安南區,建物,臺南市安南區長和路一段361~390號,0.0,住,,,1050622,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0971128,226.74,4,2,4,有,無,有,27000,119,,0.0,0,,RPTNMLOLOHLFFBD48CC
新營區,房地(土地+建物),臺南市新營區南紙街119巷1~30號,19.7,住,,,1050609,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840119,104.83,2,2,2,有,無,有,9000,86,,0.0,0,,RPQNMLRLOHLFFAR17CC
新營區,房地(土地+建物),臺南市新營區新進路二段445巷1~30號,81.57,商,,,1050608,土地3建物1車位0,全,2,透天厝,住商用,加強磚造,0691022,124.65,6,3,3,有,無,無,8000,64,,0.0,0,,RPVNMLRLOHLFFAR67CC
新市區,房地(土地+建物),臺南市新巿區光明街31~60號,67.04,其他,,,1050627,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0820708,189.44,5,1,3,有,無,有,15000,79,,0.0,0,,RPPNMLRLOHLFFER47CC
永康區,建物,臺南市永康區文化路128巷1~30號,0.0,住,,,1050622,土地0建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840109,144.53,3,2,2,有,無,有,18000,125,,0.0,0,1.合約書無填具土地租賃面積.2.由所有權人提供出租資訊3.租金已包含車位,RPSNMLSLOHLFFHR18CC
北區,建物,臺南市北區公園路121~150號,0.0,商,,,1050624,土地0建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700923,108.66000000000001,4,2,2,有,無,有,9000,83,,0.0,0,,RPQOMLSLOHLFFAD58CC
