編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLQKOHLFFER47CC,10,199.63,見其他登記事項,鋼筋混凝土造,95年3月17日,四層,
RPRNMLRKOHLFFHR87CC,7,113.81,見其他登記事項,鋼筋混凝土造,98年11月6日,二層,
RPXNMLRKOHLFFCD56CC,17,79.35,見其他登記事項,鋼筋混凝土構造,88年3月12日,十層,
RPPNMLTKOHLFFCD58CC,32,88.36,住家用,鋼筋混凝土構造,73年1月9日,五層,
RPWNMLKLOHLFFAD28CC,10,65.66,見其他登記事項,見其他登記事項,95年10月1日,十四層,
RPWNMLKLOHLFFAD28CC,10,12.43,共有部分,見其他登記事項,95年10月1日,十四層,
RPWNMLKLOHLFFAD28CC,10,15.91,共有部分,見其他登記事項,95年10月1日,十四層,
RPVNMLKLOHLFFAD28DC,1,125.04,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPSNMLLLOHLFFBD08CC,35,92.30,見其他登記事項,鋼筋混凝土造,70年9月7日,四層,
RPSNMLLLOHLFFBD08CC,35,3.60,共有部分,鋼筋混凝土造,70年9月7日,四層,
RPSNMLLLOHLFFBD08CC,35,7.82,共有部分,鋼筋混凝土造,70年9月7日,四層,
RPOOMLLLOHLFFBD77CC,23,1535.04,見其他登記事項,見其他登記事項,82年1月20日,一層,
RPRNMLLLOHLFFAD87CC,13,165.91,見其他登記事項,鋼筋混凝土造,92年9月16日,十三層,
RPSNMLLLOHLFFAD97CC,14,120.56,見其他登記事項,鋼筋混凝土造,91年11月15日,十一層,
RPSNMLLLOHLFFAD97CC,14,40.43,共有部分,鋼筋混凝土造,91年11月15日,十一層,
RPOOMLLLOHLFFAD67CC,28,86.78,住家用,加強磚造,77年5月4日,一層,
RPTNMLLLOHLFFCD28CC,47,71.00,住家用,加強磚造,57年12月5日,二層,
RPWNMLLLOHLFFCD58CC,20,116.23,住商用,鋼筋混凝土構造,85年2月3日,十六層,
RPQOMLLLOHLFFCD08CC,22,188.88,住家用,鋼筋混凝土構造,83年6月25日,九層,
