鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南五街181~210號,12.6,住,,,1050514,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040409,121.09,2,2,1,有,有,10050000,82996,升降平面,26.27,0,,RPQOMLRKOHLFFAE28CA
前金區,房地(土地+建物),高雄市前金區武強街121~150號,144.0,住,,,1050613,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0970108,441.3,6,2,4,有,無,39560000,89644,,0.0,0,,RPWNMLKMOHLFFAE28CA
鼓山區,房地(土地+建物),高雄市鼓山區大順一路617巷1~30號,14.12,住,,,1050517,土地1建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0901224,108.78999999999999,3,2,2,有,有,5750000,52854,,0.0,0,,RPUOMLOJPHLFFAE38CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路301~330號,20.03,住,,,1050602,土地1建物1車位1,八層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050120,240.47,3,2,2,有,有,16230000,67493,坡道平面,18.77,0,,RPXNMLMKPHLFFAE48CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路301~330號,21.26,住,,,1050602,土地1建物1車位2,二十五層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050120,272.58,3,2,2,有,有,24790000,90946,坡道平面,37.54,0,,RPOOMLMKPHLFFAE67CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路301~330號,19.85,住,,,1050602,土地1建物1車位1,十九層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050120,238.41,3,2,2,有,有,18080000,75836,坡道平面,18.77,0,,RPPOMLMKPHLFFAE77CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路301~330號,19.85,住,,,1050602,土地1建物1車位1,十七層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050120,238.41,3,2,2,有,有,18970000,79569,坡道平面,18.77,0,,RPQOMLMKPHLFFAE87CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路301~330號,21.26,住,,,1050602,土地1建物1車位1,十一層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050120,253.81,3,2,2,有,有,20340000,80139,坡道平面,18.77,0,,RPROMLMKPHLFFAE97CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路301~330號,17.1,住,,,1050602,土地1建物1車位1,四層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050120,207.8,3,2,2,有,有,14980000,72089,坡道平面,18.77,0,,RPSOMLMKPHLFFAE08CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路301~330號,21.26,住,,,1050602,土地1建物1車位1,十六層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050120,253.81,3,2,2,有,有,19100000,75253,坡道平面,18.77,0,,RPTOMLMKPHLFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路301~330號,20.03,住,,,1050602,土地1建物1車位2,二十七層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050120,259.25,3,2,2,有,有,20500000,79074,坡道平面,37.54,0,,RPWOMLMKPHLFFAE48CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路301~330號,20.03,住,,,1050602,土地1建物1車位2,十一層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050120,259.25,3,2,2,有,有,18600000,71745,坡道平面,37.54,0,,RPXOMLMKPHLFFAE58CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍水里美術南五街181~210號,11.47,住,,,1050525,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040409,110.35,2,1,1,有,有,10800000,97870,升降機械,15.52,0,,RPRPMLNKPHLFFAE18CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區輔仁路151~180號,59.77,商,,,1050303,土地1建物1車位1,十層,十七層,辦公商業大樓,,鋼筋混凝土造,0790914,418.12,0,0,0,無,有,11500000,27504,坡道平面,0.0,0,,RPUNMLRKOHLFFBE68CA
苓雅區,房地(土地+建物),高雄市苓雅區和平一路271~300號,9.74,商,,,1050520,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680412,42.8,2,1,1,有,無,1400000,32710,,0.0,0,,RPTOMLKLOHLFFBE08CA
苓雅區,房地(土地+建物),高雄市苓雅區新光路121~150號,12.17,商,,,1050516,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0691125,45.849999999999994,1,1,1,有,有,1680000,36641,,0.0,0,,RPUNMLLLOHLFFBE18CA
新興區,房地(土地+建物),高雄市新興區林森一路241~270號,9.42,商,,,1050601,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050413,98.75,2,2,1,有,有,7100000,71899,,0.0,0,,RPRQMLMLOHLFFBE28CA
苓雅區,房地(土地+建物),高雄市苓雅區漢昌街55巷1~30號,114.0,住,,,1050525,土地1建物1車位0,全,二層,透天厝,,加強磚造,0551220,97.67,3,2,2,有,無,9200000,94195,,0.0,0,,RPUPMLNLOHLFFBE58CA
新興區,房地(土地+建物)+車位,高雄市新興區林森一路241~270號,9.7,商,,,1050510,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050413,113.64000000000001,2,2,1,有,有,8350000,73418,坡道機械,14.89,1100000,,RPWQMLSLOHLFFBE76CA
新興區,房地(土地+建物)+車位,高雄市新興區林森一路241~270號,8.51,商,,,1050510,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050413,108.0,2,1,1,有,有,8800000,83772,坡道機械,14.89,1000000,,RPXQMLSLOHLFFBE86CA
小港區,房地(土地+建物),高雄市小港區高坪二十二路241~270號,160.96,住,,,1050519,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0900828,156.11,5,2,3,有,無,7800000,49965,,0.0,0,,RPTOMLQKOHLFFCE68CA
小港區,房地(土地+建物)+車位,高雄市小港區鳳宮里店中路181~210號,26.91,住,,,1050521,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1041223,194.6,4,2,2,有,有,8200000,42138,坡道平面,0.0,0,,RPRNMLRKOHLFFCE48CA
