編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQOMLRKOHLFFAE28CA,1,63.29,住家用,鋼筋混凝土造,104年4月9日,十五層,十五層
RPQOMLRKOHLFFAE28CA,1,57.80,見其它登記事項,鋼筋混凝土造,104年4月9日,十五層,
RPWNMLKMOHLFFAE28CA,8,441.30,住家用,鋼筋混凝土造,97年1月8日,五層,一層 二層 三層 四層 五層 屋頂突出物 騎樓
RPUOMLOJPHLFFAE38CA,14,78.19,住家用,鋼筋混凝土造,90年12月24日,十三層,五層
RPUOMLOJPHLFFAE38CA,14,30.60,共有部分,鋼筋混凝土造,90年12月24日,十三層,
RPXNMLMKPHLFFAE48CA,,147.34,見其它登記事項,見其它登記事項,105年1月20日,二十九層,八層
RPXNMLMKPHLFFAE48CA,,93.13,見其它登記事項,見其它登記事項,105年1月20日,二十九層,
RPOOMLMKPHLFFAE67CA,,156.26,見其它登記事項,見其它登記事項,105年1月20日,二十九層,二十五層
RPOOMLMKPHLFFAE67CA,,116.32,見其它登記事項,見其它登記事項,105年1月20日,二十九層,
RPPOMLMKPHLFFAE77CA,,146.01,見其它登記事項,見其它登記事項,105年1月20日,二十九層,十九層
RPPOMLMKPHLFFAE77CA,,92.40,見其它登記事項,見其它登記事項,105年1月20日,二十九層,
RPQOMLMKPHLFFAE87CA,,146.01,見其它登記事項,見其它登記事項,105年1月20日,二十九層,十七層
RPQOMLMKPHLFFAE87CA,,92.40,見其它登記事項,見其它登記事項,105年1月20日,二十九層,
RPROMLMKPHLFFAE97CA,,156.26,見其它登記事項,見其它登記事項,105年1月20日,二十九層,十一層
RPROMLMKPHLFFAE97CA,,97.55,見其它登記事項,見其它登記事項,105年1月20日,二十九層,
RPSOMLMKPHLFFAE08CA,,125.71,見其它登記事項,見其它登記事項,105年1月20日,二十九層,四層
RPSOMLMKPHLFFAE08CA,,82.09,見其它登記事項,見其它登記事項,105年1月20日,二十九層,
RPTOMLMKPHLFFAE18CA,,156.26,見其它登記事項,見其它登記事項,105年1月20日,二十九層,十六層
RPTOMLMKPHLFFAE18CA,,97.55,見其它登記事項,見其它登記事項,105年1月20日,二十九層,
RPWOMLMKPHLFFAE48CA,,147.34,見其它登記事項,見其它登記事項,105年1月20日,二十九層,二十七層
RPWOMLMKPHLFFAE48CA,,111.91,見其它登記事項,見其它登記事項,105年1月20日,二十九層,
RPXOMLMKPHLFFAE58CA,,147.34,見其它登記事項,見其它登記事項,105年1月20日,二十九層,十一層
RPXOMLMKPHLFFAE58CA,,111.91,見其它登記事項,見其它登記事項,105年1月20日,二十九層,
RPRPMLNKPHLFFAE18CA,1,63.29,住家用,鋼筋混凝土造,104年4月9日,十五層,七層
