鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
苓雅區,建物,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1050613,土地0建物1車位0,四層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,94.71,2,2,1,有,有,有,9500,100,,0.0,0,,RPRNMLQKOHLFFBE48CC
新興區,建物,高雄市新興區林森一路181~210號,0.0,商,,,1050608,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0841214,168.88,0,0,0,無,無,無,18000,107,,0.0,0,,RPSNMLQKOHLFFBE58CC
苓雅區,房地(土地+建物),高雄市苓雅區五福三路91~120號,15.88,住,,,1050518,土地1建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960813,219.79,4,2,2,有,有,有,38889,177,,0.0,0,續約含租賃稅，二代健保,RPUNMLQKOHLFFBE78CC
鼓山區,建物,高雄市鼓山區濱海二路1~30號,31.0,住,,,1050613,土地0建物1車位0,全,4,透天厝,住商用,加強磚造,0530423,67.28,0,0,0,無,無,有,15000,223,,0.0,0,,RPPNMLQKOHLFFAE18CC
前鎮區,房地(土地+建物),高雄市前鎮區新光路1~30號,8.53,住,,,1050529,土地2建物1車位0,三十二層,39,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0880209,201.41,4,2,2,有,有,有,23000,114,,0.0,0,,RPOOMLQKOHLFFCE38CC
三民區,房地(土地+建物),高雄市三民區黃興路91~120號,34.63,住,,,1050523,土地1建物1車位0,一層,20,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0800225,228.64,2,1,1,有,無,有,26000,114,,0.0,0,,RPVOMLQKOHLFFDE56CC
左營區,房地(土地+建物)+車位,高雄市左營區重愛路61~90號,15.63,住,,,1050601,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840824,147.4,4,2,2,有,有,無,16000,109,坡道機械,0.0,0,,RPPPMLQKOHLFFEE78CC
左營區,土地,福民段31~60地號,395.93,住,,,1050601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,48000,121,,0.0,0,,RPRPMLQKOHLFFEE98CC
三民區,房地(土地+建物),高雄市三民區平等路31~60號,578.0,住,,,1050602,土地2建物2車位0,一層,13,店面(店鋪),住商用,鋼筋混凝土造,0831228,355.3,5,2,2,有,無,無,57000,160,,0.0,0,,RPOOMLQKOHLFFDE58DC
鳥松區,房地(土地+建物),高雄市鳥松區中正路361~390號,85.56,住,,,1050616,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0841124,128.24,5,2,6,有,無,無,25000,195,,0.0,0,,RPUNMLQKOHLFFIE96DC
