編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLQKOHLFFBE48CC,19,94.71,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPSNMLQKOHLFFBE58CC,20,141.96,商業用,鋼筋混凝土造,84年12月14日,十二層,
RPSNMLQKOHLFFBE58CC,20,26.92,見使用執照,鋼筋混凝土造,84年12月14日,十二層,
RPUNMLQKOHLFFBE78CC,9,149.91,住家用,鋼筋混凝土造,96年8月13日,十五層,
RPUNMLQKOHLFFBE78CC,9,69.88,,鋼筋混凝土造,96年8月13日,十五層,
RPPNMLQKOHLFFAE18CC,52,67.28,住商用,加強磚造,53年4月23日,四層,
RPOOMLQKOHLFFCE38CC,17,152.06,住家用,見其它登記事項,88年2月9日,三十九層,
RPOOMLQKOHLFFCE38CC,17,49.35,共有部份,見其它登記事項,88年2月9日,三十九層,
RPVOMLQKOHLFFDE56CC,25,228.64,,鋼筋混凝土造,80年2月25日,二十層,
RPPPMLQKOHLFFEE78CC,21,147.40,住家用,鋼筋混凝土造,84年8月24日,十三層,
RPOOMLQKOHLFFDE58DC,21,184.84,住商用,鋼筋混凝土造,83年12月28日,十三層,
RPOOMLQKOHLFFDE58DC,21,170.46,住商用,鋼筋混凝土造,83年12月28日,十三層,
RPUNMLQKOHLFFIE96DC,21,128.24,住家用,鋼筋混凝土造,84年11月24日,三層,
RPSNMLRKOHLFFGE56CC,2,62.36,見其他登記事項,見其他登記事項,103年6月1日,十四層,
RPUNMLRKOHLFFEE56CC,2,84.03,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPXNMLRKOHLFFEE86CC,2,50.38,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPXNMLRKOHLFFEE86CC,2,5.87,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPXNMLRKOHLFFEE86CC,2,29.12,見其它登記事項,鋼筋混凝土造,103年3月27日,十五層,
RPOOMLRKOHLFFEE68CC,2,108.00,住家用,鋼筋混凝土造,102年12月27日,十四層,
RPPNMLRKOHLFFDE58CC,35,164.93,商業用,鋼筋混凝土造,70年7月12日,五層,
RPUNMLRKOHLFFCE98CC,1,84.84,見其它登記事項,鋼筋混凝土造,104年5月4日,十四層,
RPUNMLRKOHLFFCE98CC,1,10.68,見其它登記事項,鋼筋混凝土造,104年5月4日,十四層,
RPUNMLRKOHLFFCE98CC,1,99.62,見其它登記事項,鋼筋混凝土造,104年5月4日,十四層,
RPUOMLRKOHLFFAE88CC,48,67.96,,加強磚造,57年7月4日,二層,
RPVOMLRKOHLFFAE98CC,32,81.91,,鋼筋混凝土造,72年12月31日,五層,
RPWOMLRKOHLFFAE09CC,93,119.01,商業用,見使用執照,,二層,
RPQNMLRKOHLFFBE48CC,53,118.50,,加強磚造,52年9月4日,二層,
RPXNMLRKOHLFFBE56CC,32,46.01,住商用,鋼筋混凝土造,73年7月26日,五層,
RPTOMLRKOHLFFBE88CC,44,70.84,,加強磚造,61年6月27日,三層,
RPQNMLSKOHLFFBE58CC,25,176.63,,鋼筋混凝土造,79年11月30日,十二層,
RPPNMLSKOHLFFDE68CC,37,264.47,,鋼筋混凝土造,68年11月22日,四層,
RPQNMLTKOHLFFBE68CC,19,166.02,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPUNMLKLOHLFFBE28CC,27,76.07,,鋼筋混凝土造,78年11月9日,十二層,
RPVNMLKLOHLFFBE38CC,40,92.60,,鋼筋混凝土造,65年11月24日,十層,
RPQOMLKLOHLFFBE97CC,40,75.54,,鋼筋混凝土造,65年11月24日,十層,
RPUNMLKLOHLFFCE38CC,23,106.95,住商用,鋼筋混凝土造,82年7月30日,二十四層,
RPUNMLKLOHLFFCE38CC,23,63.47,見使用執照,鋼筋混凝土造,82年7月30日,二十四層,
RPPOMLKLOHLFFDE08CC,58,68.04,住商用,見使用執照,47年9月17日,三層,
RPPPMLKLOHLFFDE18CC,9,45.08,住商用,鋼筋混凝土造,96年6月7日,五層,
