編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPRNMLQKOHLFFBE48CC,意誠段,.00,都市：商
RPSNMLQKOHLFFBE58CC,新興段二小段,.00,都市：商
RPUNMLQKOHLFFBE78CC,成功段,15.88,都市：住
RPPNMLQKOHLFFAE18CC,鼓南段三小段,31.00,都市：住
RPOOMLQKOHLFFCE38CC,獅甲段,2.05,都市：住
RPOOMLQKOHLFFCE38CC,獅甲段,6.48,都市：住
RPVOMLQKOHLFFDE56CC,陽明段四小段,34.63,都市：住
RPPPMLQKOHLFFEE78CC,福民段,15.63,都市：住
RPRPMLQKOHLFFEE98CC,福民段,395.93,都市：住
RPOOMLQKOHLFFDE58DC,大港段,447.00,都市：住
RPOOMLQKOHLFFDE58DC,大港段,131.00,都市：住
RPUNMLQKOHLFFIE96DC,育英段,85.56,都市：住
RPSNMLRKOHLFFGE56CC,新甲段,1111.00,都市：住
RPUNMLRKOHLFFEE56CC,新庄段十三小段,46.98,都市：商
RPXNMLRKOHLFFEE86CC,新庄段十三小段,3.35,都市：商
RPOOMLRKOHLFFEE68CC,新庄段七小段,50.07,都市：住
RPPNMLRKOHLFFDE58CC,建興段,65.00,都市：商
RPPNMLRKOHLFFDE58CC,建興段,158.00,都市：商
RPUNMLRKOHLFFCE98CC,瑞崗段五小段,23.00,都市：住
RPUOMLRKOHLFFAE88CC,青海段,122.59,都市：住
RPVOMLRKOHLFFAE98CC,龍華段一小段,1953.00,都市：住
RPWOMLRKOHLFFAE09CC,大榮段,59.00,都市：商
RPWOMLRKOHLFFAE09CC,大榮段,70.00,都市：商
RPWOMLRKOHLFFAE09CC,大榮段,16.00,都市：其他
RPWOMLRKOHLFFAE09CC,大榮段,3.00,都市：商
RPQNMLRKOHLFFBE48CC,成功段,42.00,都市：商
RPQNMLRKOHLFFBE48CC,成功段,27.00,都市：商
RPXNMLRKOHLFFBE56CC,林德官段二小段,.00,都市：住
RPTOMLRKOHLFFBE88CC,苓洲段,85.00,都市：住
RPQNMLSKOHLFFBE58CC,林德官段一小段,6.26,都市：商
RPQNMLSKOHLFFBE58CC,林德官段一小段,2.44,都市：商
RPPNMLSKOHLFFDE68CC,澄義段,94.35,都市：商
RPPNMLTKOHLFFBE58CC,意誠段,.00,都市：商
RPQNMLTKOHLFFBE68CC,意誠段,.00,都市：商
RPUNMLKLOHLFFBE28CC,過田子段,.00,都市：商
RPVNMLKLOHLFFBE38CC,新興段四小段,.00,都市：商
RPVNMLKLOHLFFBE38CC,新興段四小段,.00,都市：商
RPQOMLKLOHLFFBE97CC,新興段四小段,.00,都市：商
RPQOMLKLOHLFFBE97CC,新興段四小段,.00,都市：商
RPUNMLKLOHLFFCE38CC,獅甲段,.00,都市：住
RPPOMLKLOHLFFDE08CC,大港段六小段,.00,都市：商
RPPPMLKLOHLFFDE18CC,大豐段二小段,108.00,都市：商
RPSOMLKLOHLFFEE48CC,新庄段十三小段,.00,非都市： ; 非都市編定：
RPOQMLKLOHLFFEE28CC,右昌段六小段,57.00,都市：住
RPVTMLKLOHLFFEE66CC,新庄段三小段,92.00,都市：住
RPPUMLKLOHLFFEE78CC,福民段,17.62,都市：住
RPOOMLKLOHLFFGE28CC,竹子腳段,90.00,都市：住
RPUOMLKLOHLFFGE88CC,新甲段,25.00,都市：住
RPQNMLLLOHLFFGE48CC,七老爺段,56.00,都市：住
RPQPMLLLOHLFFGE68CC,竹子腳段,58.00,都市：商
RPUNMLLLOHLFFEE78DC,新庄段七小段,101.00,都市：住
RPTOMLLLOHLFFEE68CC,新福段十小段,22.12,都市：住
RPSOMLLLOHLFFDE48CC,灣中段,14.74,非都市： ; 非都市編定：
RPSOMLLLOHLFFDE48CC,灣中段,17.04,非都市： ; 非都市編定：
RPQNMLLLOHLFFBE97CC,大統段二小段,33.48,都市：商
RPSNMLMLOHLFFAE18CC,龍華段八小段,24.04,都市：其他
RPPOMLMLOHLFFAE97CC,東金段,6.00,都市：商
