¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ïº~¥ÍªF¸ô83«Ñ1~30¸¹,20.09,¦í,,,1050427,¤g¦a1«Øª«1¨®¦ì0,¤@¼h,¤­¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,,66.22,2,1,1,¦³,µL,13380000,202054,,0.0,0,¥­¥x¼W«Ø,RPTOMLQKOHLFFAF58CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«ªO¾ô°Ï¤å¸tµó40«Ñ1~30¸¹,25.53,¦í,,,1050501,¤g¦a2«Øª«1¨®¦ì1,¤»¼h,¤K¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0830802,172.1,3,2,2,¦³,¦³,19780000,114933,©Y¹D¥­­±,40.21,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPPPMLQKOHLFFAF28CA
ªO¾ô°Ï,¤g¦a,¦¿»A¬q1~30¦a¸¹,51.72,°Ó,,,1040930,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,5430600,105000,,0.0,0,¥»µ§«Y­«¹º©è¶O¦a¡AÅv§Q¤H¦@14¤H,RPSOMLRKOHLFFAF58CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ï¥Á¥Í¸ô¤T¬q301~330¸¹,2.44,¦í,,,1050414,¤g¦a1«Øª«1¨®¦ì0,¤T¤Q¤»¼h,¤T¤Q¤C¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿û°©¿ûµ¬²V¾®¤g³y,0950914,72.28999999999999,2,1,1,¦³,¦³,10580000,146355,,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C¤º§t¿W¥ß²£Åv¤½³]¡A¥¼¥]§t¦b´É¼Æ¤º¡C,RPXOMLRKOHLFFAF09CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ï¤jÆ[¸ô¤G¬q7«Ñ1~30¸¹,23.6,¦í,,,1050516,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,¥|¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0661024,68.46,3,2,1,¦³,µL,6100000,89103,,0.0,0,¼W«Ø:³»¼Ó.¥|¼Ó«á¶§¥x¼W«Ø,RPRNMLKLOHLFFAF77CA
¤g«°°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«¤g«°°Ï¤¤¥¡¸ô¤@¬q69«Ñ1~30¸¹,35.07,¦í,,,1050518,¤g¦a3«Øª«1¨®¦ì0,¤G¼h¡A¤T¼h,¤­¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0771128,137.19,5,3,2,¦³,µL,13000000,94759,,0.0,0,¶§¥x¡B«Øª««á¤èªÅ¦a¦³¼W«Ø,RPTNMLKLOHLFFAF97CA
¤g«°°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«¤g«°°Ï¾Ç©²¸ô¤@¬q99«Ñ1~30¸¹,20.41,¦í,,,1050506,¤g¦a1«Øª«1¨®¦ì1,¤C¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840311,166.73000000000002,3,2,1,¦³,¦³,12900000,77371,©Y¹D¥­­±,0.0,0,¥»®×¨®¦ì­±¿nµLªk©îºâ¡C§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPUPMLRKOHLFFAF88CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ïªø¦¿¸ô¤G¬q118«Ñ1~30¸¹,20.4,¦í,,,1050517,¤g¦a1«Øª«1¨®¦ì0,¤G¼h,¤­¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,,87.64,3,2,2,¦³,µL,9000000,102693,,0.0,0,,RPSOMLKLOHLFFAF97CA
¤g«°°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«¤g«°°Ï¾Ç©²¸ô¤@¬q99«Ñ1~30¸¹,23.09,¦í,,,1050516,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,¤­¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0740926,88.91000000000001,3,2,1,¦³,µL,7000000,78731,,0.0,0,,RPSPMLKLOHLFFAF08CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«ªO¾ô°Ï«H¸q¸ô211~240¸¹,24.79,¤u,,,1050410,¤g¦a1«Øª«1¨®¦ì1,¤T¼h,¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0960822,147.03,3,2,2,¦³,¦³,12100000,82296,©Y¹D¥­­±,27.23,0,§t¼W«Ø©Î¥¼µn°O«Øª«,RPTOMLLLOHLFFAF18CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ï´I¤sµó1~30¸¹,17.79,¦í,,,1050520,¤g¦a3«Øª«1¨®¦ì0,¤T¼h,¤C¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1040616,82.86,2,1,1,¦³,µL,11450000,138185,,0.0,0,,RPTNMLMLOHLFFAF18CA
¤g«°°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô¥|¬q61~90¸¹,15.81,¦í,,,1050324,¤g¦a1«Øª«1¨®¦ì1,¤Q¤­¼h,¤Q¤K¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0870422,171.25,4,2,2,¦³,¦³,16500000,96350,©Y¹D¾÷±ñ,12.87,0,,RPTPMLOLOHLFFAF58CA
¤g«°°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«¤g«°°Ï©ú¼w¸ô¤G¬q31~60¸¹,6.45,¦í,,,1050428,¤g¦a3«Øª«1¨®¦ì0,¤Q¤G¼h,¤G¤Q¤@¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,0870221,75.95,2,2,1,¦³,¦³,9350000,123107,,0.0,0,,RPURMLOLOHLFFAF88CA
¤g«°°Ï,¤g¦a,ªO°|¬q661~690¦a¸¹,25.77,¨ä¥L,,,1050606,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1865232,72380,,0.0,0,1.Åv§Q¤H¦@¥|¤H2.¶R½æ»ùª÷§C©ó¬F©²¤½§i²{­È,RPUPMLTLOHLFFAF56CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ï¤T¥Á¸ô¤G¬q181~210¸¹,26.69,¦í,,,1050517,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,¤­¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0750429,96.66,3,2,2,¦³,µL,9100000,94144,,0.0,0,,RPOOMLKMOHLFFAF67CA
¤g«°°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«¤g«°°Ï¥ß¼w¸ô91~120¸¹,2.78,¨ä¥L,,,1050508,¤g¦a2«Øª«1¨®¦ì0,¤­¼h,¤Q¤E¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0871123,41.33,1,1,1,¦³,¦³,4300000,104041,,0.0,0,,RPSQMLKMOHLFFAF28CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ï¤¤¤s¸ô¤G¬q412«Ñ21§Ë1~30¸¹,5.51,¦í,,,1050518,¤g¦a1«Øª«1¨®¦ì0,¤T¼h,¤­¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0860906,21.68,1,0,1,¦³,µL,2380000,109779,,0.0,0,,RPTPMLPJPHLFFAF58CA
·s²ø°Ï,¤g¦a,Ã£®õ¬q931~960¦a¸¹,76.89,¨ä¥L,,,1050601,¤g¦a4«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,6510000,84666,,0.0,0,,RPXPMLQKOHLFFBF56CA
¤­ªÑ°Ï,¨®¦ì,·s¥_¥«¤­ªÑ°Ï¦è¶³¸ô121~150¸¹,0.0,,,,1050531,¤g¦a0«Øª«0¨®¦ì1,,,¨ä¥L,,,,29.88,0,0,0,¦³,¦³,1200000,,©Y¹D¥­­±,29.87,1200000,,RPQNMLRKOHLFFBF38CA
·s²ø°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«·s²ø°Ï¤¤µØ¸ô¤G¬q210«Ñ1~30¸¹,7.03,¦í,,,1050507,¤g¦a1«Øª«1¨®¦ì0,¤Q¼h,¤Q¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0810113,51.16,1,1,1,¦³,¦³,4900000,95778,,0.0,0,,RPSOMLRKOHLFFBF68CA
ªL¤f°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«ªL¤f°ÏªF´ò¸ô91~120¸¹,62.97,¦í,,,1050523,¤g¦a1«Øª«1¨®¦ì1,¤T¼h¡A¥|¼h,¤C¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0960530,175.63,4,2,2,¦³,¦³,11380000,64795,©Y¹D¥­­±,0.0,0,,RPSQMLRKOHLFFBF88CA
·s²ø°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«·s²ø°Ï·s¥_¤j¹D¤C¬q631~660¸¹,3.01,¨ä¥L,,,1050606,¤g¦a1«Øª«1¨®¦ì0,¤E¼h,¤Q¥|¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0850306,35.29,1,1,1,¦³,¦³,2800000,79343,,0.0,0,,RPQQMLKLOHLFFBF08CA
®õ¤s°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«®õ¤s°Ï¤¯¼w¸ô31~60¸¹,18.21,¦í,,,1050530,¤g¦a1«Øª«1¨®¦ì0,¤@¼h¡AÃM¼Ó,¤Q¼h,©±­±(©±¾Q),°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,0911219,101.74000000000001,0,0,0,µL,¦³,18000000,176922,,0.0,0,,RPUQMLLLOHLFFBF58CA
ªL¤f°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«ªL¤f°Ï¤å¤Æ¤T¸ô¤@¬q361~390¸¹,23.7,°Ó,,,1050423,¤g¦a2«Øª«1¨®¦ì1,¤Q¤­¼h,¤Q¤E¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0950825,211.34999999999997,3,2,2,¦³,¦³,16600000,78543,©Y¹D¥­­±,34.38,0,,RPUOMLMLOHLFFBF48CA
¤­ªÑ°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«¤­ªÑ°Ï±s¦¨¸ô31~60¸¹,30.52,¦í,,,1050516,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,¤­¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0790111,106.8,3,2,1,¦³,µL,5400000,50562,,0.0,0,,RPQWMLMLOHLFFBF88CA
