編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTOMLQKOHLFFAF58CA,,66.22,住商用,鋼筋混凝土造,,五層,一層
RPPPMLQKOHLFFAF28CA,22,117.70,住家用,鋼筋混凝土造,83年8月2日,八層,六層
RPPPMLQKOHLFFAF28CA,22,40.21,共有部份,鋼筋混凝土造,83年8月2日,八層,
RPPPMLQKOHLFFAF28CA,22,14.19,共有部份,鋼筋混凝土造,83年8月2日,八層,
RPXOMLRKOHLFFAF09CA,10,51.79,住家用,鋼骨鋼筋混凝土造,95年9月14日,三十七層,三十六層
RPXOMLRKOHLFFAF09CA,10,10.31,共有部份,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPXOMLRKOHLFFAF09CA,10,1.94,共有部份,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPXOMLRKOHLFFAF09CA,10,3.26,共有部份,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPXOMLRKOHLFFAF09CA,10,2.68,見其他登記事項,鋼骨鋼筋混凝土造,95年9月14日,三十七層,二層 三層 地下一層 地下二層
RPXOMLRKOHLFFAF09CA,10,2.29,共有部份,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPXOMLRKOHLFFAF09CA,10,.01,共有部份,鋼骨鋼筋混凝土造,95年9月14日,三十七層,
RPRNMLKLOHLFFAF77CA,39,68.46,住家用,鋼筋混凝土造,66年10月24日,四層,四層
RPTNMLKLOHLFFAF97CA,27,137.19,住家用,鋼筋混凝土造,77年11月28日,五層,二層 三層
RPUPMLRKOHLFFAF88CA,21,99.83,住家用,鋼筋混凝土造,84年3月11日,十四層,七層
RPUPMLRKOHLFFAF88CA,21,2.50,住家用,鋼筋混凝土造,84年3月11日,十四層,
RPUPMLRKOHLFFAF88CA,21,22.01,共有部份,鋼筋混凝土造,84年3月11日,十四層,
RPUPMLRKOHLFFAF88CA,21,42.39,共有部份,鋼筋混凝土造,84年3月11日,十四層,
RPSOMLKLOHLFFAF97CA,,87.64,住家用,鋼筋混凝土造,,五層,二層
RPSPMLKLOHLFFAF08CA,31,80.29,住家用,鋼筋混凝土造,74年9月26日,五層,四層
RPSPMLKLOHLFFAF08CA,31,8.62,共有部份,鋼筋混凝土造,74年9月26日,五層,
RPTOMLLLOHLFFAF18CA,9,.09,見其他登記事項,鋼筋混凝土造,96年8月22日,十二層,一層
RPTOMLLLOHLFFAF18CA,9,27.14,共有部份,鋼筋混凝土造,96年8月22日,十二層,
RPTOMLLLOHLFFAF18CA,9,87.98,見其他登記事項,鋼筋混凝土造,96年8月22日,十二層,三層
RPTOMLLLOHLFFAF18CA,9,31.82,共有部份,鋼筋混凝土造,96年8月22日,十二層,
RPTNMLMLOHLFFAF18CA,1,55.13,見其他登記事項,鋼筋混凝土造,104年6月16日,七層,三層
RPTNMLMLOHLFFAF18CA,1,27.73,見其他登記事項,鋼筋混凝土造,104年6月16日,七層,
RPTPMLOLOHLFFAF58CA,18,124.22,住家用,鋼筋混凝土造,87年4月22日,十八層,十五層
RPTPMLOLOHLFFAF58CA,18,26.65,共有部份,鋼筋混凝土造,87年4月22日,十八層,
RPTPMLOLOHLFFAF58CA,18,20.38,見其他登記事項,鋼筋混凝土造,87年4月22日,十八層,
RPURMLOLOHLFFAF88CA,18,54.47,住家用,見其他登記事項,87年2月21日,二十一層,十二層
RPURMLOLOHLFFAF88CA,18,13.35,見其他登記事項,見其他登記事項,87年2月21日,二十一層,
RPURMLOLOHLFFAF88CA,18,8.13,共有部份,見其他登記事項,87年2月21日,二十一層,
RPOOMLKMOHLFFAF67CA,30,88.92,住家用,鋼筋混凝土造,75年4月29日,五層,四層
RPOOMLKMOHLFFAF67CA,30,7.74,共有部份,鋼筋混凝土造,75年4月29日,五層,
RPSQMLKMOHLFFAF28CA,17,31.58,住家用,鋼筋混凝土造,87年11月23日,十九層,五層
RPSQMLKMOHLFFAF28CA,17,.65,見其他登記事項,鋼筋混凝土造,87年11月23日,二十層,
RPSQMLKMOHLFFAF28CA,17,1.08,見其他登記事項,鋼筋混凝土造,87年11月23日,二十層,
RPSQMLKMOHLFFAF28CA,17,8.02,見其他登記事項,鋼筋混凝土造,87年11月23日,二十層,
RPTPMLPJPHLFFAF58CA,19,14.61,住家用,鋼筋混凝土造,86年9月6日,五層,三層
RPTPMLPJPHLFFAF58CA,19,4.97,見其他登記事項,鋼筋混凝土造,86年9月6日,五層,
RPTPMLPJPHLFFAF58CA,19,2.10,見其他登記事項,鋼筋混凝土造,86年9月6日,五層,
RPQNMLRKOHLFFBF38CA,17,29.88,共有部分,鋼筋混凝土造,88年5月29日,九層,
RPSOMLRKOHLFFBF68CA,24,39.33,住家用,鋼筋混凝土造,81年1月13日,十層,十層
RPSOMLRKOHLFFBF68CA,24,11.83,共有部分,鋼筋混凝土造,81年1月13日,十層,
RPSQMLRKOHLFFBF88CA,9,111.38,住家用,鋼筋混凝土造,96年5月30日,七層,三層 四層
RPSQMLRKOHLFFBF88CA,9,18.18,共有部分,鋼筋混凝土造,96年5月30日,七層,
RPSQMLRKOHLFFBF88CA,9,46.07,共有部分,鋼筋混凝土造,96年5月30日,七層,
RPQQMLKLOHLFFBF08CA,20,25.43,住家用,鋼筋混凝土造,85年3月6日,十四層,九層
RPQQMLKLOHLFFBF08CA,20,9.86,共有部分,鋼筋混凝土造,85年3月6日,十四層,
RPUQMLLLOHLFFBF58CA,13,75.81,商業用,鋼筋混凝土造,91年12月19日,十層,一層 騎樓
RPUQMLLLOHLFFBF58CA,13,25.93,共有部分,鋼筋混凝土造,91年12月19日,十層,
RPUOMLMLOHLFFBF48CA,10,123.35,住家用,鋼筋混凝土造,95年8月25日,十九層,十五層
RPUOMLMLOHLFFBF48CA,10,10.31,共有部分,見其他登記事項,95年8月25日,十九層,
