鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
林口區,房地(土地+建物)+車位,力行段721~750地號,28.4,商,,,1011213,土地1建物1車位2,二層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,256.08,3,2,2,有,無,23280000,90827,坡道平面,35.0,3200000,,RPTTMLKLOHLFFBF88DB
林口區,房地(土地+建物)+車位,力行段721~750地號,23.24,商,,,1011210,土地1建物1車位1,三層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,239.0,4,2,2,有,無,19280000,80045,坡道平面,17.5,1550000,,RPUTMLKLOHLFFBF98DB
林口區,房地(土地+建物)+車位,力行段721~750地號,23.74,商,,,1011004,土地1建物1車位1,四層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,240.67,4,2,2,有,無,19020000,78646,坡道平面,19.17,1600000,,RPVTMLKLOHLFFBF09DB
林口區,房地(土地+建物)+車位,力行段721~750地號,23.74,商,,,1010916,土地1建物1車位1,五層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,240.67,3,2,2,有,無,18800000,77652,坡道平面,19.17,1600000,,RPWTMLKLOHLFFBF56DB
林口區,房地(土地+建物)+車位,力行段721~750地號,23.74,商,,,1010901,土地1建物1車位1,八層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,240.67,4,2,2,有,無,19600000,81038,坡道平面,19.17,1650000,,RPXTMLKLOHLFFBF66DB
林口區,房地(土地+建物)+車位,力行段721~750地號,28.94,商,,,1010825,土地1建物1車位2,九層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,258.17,3,2,2,有,無,21200000,81038,坡道平面,36.67,3250000,,RPOUMLKLOHLFFBF48DB
林口區,房地(土地+建物)+車位,力行段721~750地號,28.94,商,,,1011116,土地1建物1車位2,十一層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,259.84,3,2,2,有,無,20500000,78555,坡道平面,38.34,3100000,,RPPUMLKLOHLFFBF58DB
林口區,房地(土地+建物)+車位,力行段721~750地號,28.45,商,,,1010417,土地1建物1車位2,十二層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,256.5,3,2,2,有,無,22500000,87133,坡道平面,35.0,3200000,,RPQUMLKLOHLFFBF68DB
林口區,房地(土地+建物)+車位,力行段721~750地號,29.44,商,,,1020115,土地1建物1車位2,十五層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,259.84,3,2,2,有,無,21580000,82528,坡道平面,38.34,3300000,,RPRUMLKLOHLFFBF78DB
林口區,房地(土地+建物)+車位,力行段721~750地號,28.45,商,,,1020624,土地1建物1車位2,十六層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,256.5,4,2,2,有,無,22400000,87585,坡道平面,35.0,3000000,,RPSUMLKLOHLFFBF88DB
林口區,房地(土地+建物)+車位,力行段721~750地號,28.94,商,,,1020605,土地1建物1車位2,十七層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,258.17,4,2,2,有,無,21600000,83296,坡道平面,36.67,3150000,,RPTUMLKLOHLFFBF98DB
林口區,房地(土地+建物)+車位,力行段721~750地號,29.44,商,,,1020727,土地1建物1車位2,十八層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,259.84,1,2,2,有,無,22570000,87901,坡道平面,38.34,3100000,,RPRNMLLLOHLFFBF18DB
林口區,房地(土地+建物)+車位,力行段721~750地號,23.74,商,,,1010916,土地1建物1車位1,二十層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,240.67,4,2,2,有,無,20880000,87043,坡道平面,19.17,1600000,,RPTNMLLLOHLFFBF38DB
林口區,房地(土地+建物)+車位,力行段721~750地號,23.79,商,,,1030119,土地1建物1車位1,三層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,241.08,4,2,2,有,無,21580000,90262,坡道平面,19.17,1550000,,RPPRMLLLOHLFFBF38DB
林口區,房地(土地+建物)+車位,力行段721~750地號,23.79,商,,,1030215,土地1建物1車位1,四層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,241.08,4,2,2,有,無,21680000,90712,坡道平面,19.17,1550000,,RPRRMLLLOHLFFBF58DB
林口區,房地(土地+建物)+車位,力行段721~750地號,28.49,商,,,1020715,土地1建物1車位2,二層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,256.91,3,2,2,有,無,21280000,81474,坡道平面,35.0,3200000,,RPSRMLLLOHLFFBF68DB
