編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPTTMLKLOHLFFBF88DB,力行段,28.40,都市：商
RPUTMLKLOHLFFBF98DB,力行段,23.24,都市：商
RPVTMLKLOHLFFBF09DB,力行段,23.74,都市：商
RPWTMLKLOHLFFBF56DB,力行段,23.74,都市：商
RPXTMLKLOHLFFBF66DB,力行段,23.74,都市：商
RPOUMLKLOHLFFBF48DB,力行段,28.94,都市：商
RPPUMLKLOHLFFBF58DB,力行段,28.94,都市：商
RPQUMLKLOHLFFBF68DB,力行段,28.45,都市：商
RPRUMLKLOHLFFBF78DB,力行段,29.44,都市：商
RPSUMLKLOHLFFBF88DB,力行段,28.45,都市：商
RPTUMLKLOHLFFBF98DB,力行段,28.94,都市：商
RPRNMLLLOHLFFBF18DB,力行段,29.44,都市：商
RPTNMLLLOHLFFBF38DB,力行段,23.74,都市：商
RPPRMLLLOHLFFBF38DB,力行段,23.79,都市：商
RPRRMLLLOHLFFBF58DB,力行段,23.79,都市：商
RPSRMLLLOHLFFBF68DB,力行段,28.49,都市：商
RPRNMLLLOHLFFAF18EB,光環段,.66,都市：住
RPRNMLLLOHLFFAF18EB,光環段,.27,都市：住
RPRNMLLLOHLFFAF18EB,光環段,1.13,都市：住
RPRNMLLLOHLFFAF18EB,光環段,2.84,都市：住
RPRNMLLLOHLFFAF18EB,光環段,.60,都市：住
RPRNMLLLOHLFFAF18EB,光環段,.31,都市：住
RPRNMLLLOHLFFAF18EB,光環段,.28,都市：住
RPRNMLLLOHLFFAF18EB,光環段,1.13,都市：住
RPRNMLLLOHLFFAF18EB,光環段,3.75,都市：住
RPRNMLLLOHLFFAF18EB,光環段,2.98,都市：住
RPRNMLLLOHLFFAF18EB,光環段,.64,都市：住
RPRNMLLLOHLFFAF18EB,光環段,.51,都市：住
RPTNMLLLOHLFFAF38EB,光環段,.66,都市：住
RPTNMLLLOHLFFAF38EB,光環段,.27,都市：住
RPTNMLLLOHLFFAF38EB,光環段,1.13,都市：住
RPTNMLLLOHLFFAF38EB,光環段,2.85,都市：住
RPTNMLLLOHLFFAF38EB,光環段,.60,都市：住
RPTNMLLLOHLFFAF38EB,光環段,.32,都市：住
RPTNMLLLOHLFFAF38EB,光環段,.28,都市：住
RPTNMLLLOHLFFAF38EB,光環段,1.13,都市：住
RPTNMLLLOHLFFAF38EB,光環段,3.76,都市：住
RPTNMLLLOHLFFAF38EB,光環段,2.99,都市：住
RPTNMLLLOHLFFAF38EB,光環段,.64,都市：住
RPTNMLLLOHLFFAF38EB,光環段,.52,都市：住
RPRQMLMLOHLFFIF56CB,長泰段,23.19,都市：住
RPSQMLMLOHLFFIF66CB,長泰段,23.34,都市：住
RPTQMLMLOHLFFIF76CB,長泰段,21.86,都市：住
RPUQMLMLOHLFFIF86CB,長泰段,23.19,都市：住
RPVQMLMLOHLFFIF96CB,長泰段,23.34,都市：住
RPWNMLMLOHLFFBF78DB,力行段,28.49,都市：商
RPXNMLMLOHLFFBF88DB,力行段,23.29,都市：商
RPPOMLMLOHLFFBF18DB,力行段,23.79,都市：商
RPROMLMLOHLFFBF38DB,力行段,28.49,都市：商
RPSOMLMLOHLFFBF48DB,力行段,28.49,都市：商
RPWOMLMLOHLFFBF88DB,力行段,23.79,都市：商
RPOPMLMLOHLFFBF18DB,力行段,23.79,都市：商
RPTPMLMLOHLFFBF68DB,力行段,29.49,都市：商
RPWPMLMLOHLFFBF98DB,力行段,23.79,都市：商
RPPQMLMLOHLFFBF38DB,力行段,23.29,都市：商
RPQQMLMLOHLFFBF48DB,力行段,28.99,都市：商
RPRQMLMLOHLFFBF58DB,力行段,23.29,都市：商
RPTQMLMLOHLFFBF78DB,力行段,23.29,都市：商
RPVQMLMLOHLFFBF98DB,力行段,23.74,都市：商
RPWQMLMLOHLFFBF09DB,力行段,21.19,都市：商
RPXQMLMLOHLFFBF56DB,力行段,15.04,都市：商
RPORMLMLOHLFFBF38DB,力行段,12.96,都市：商
RPPRMLMLOHLFFBF48DB,力行段,12.82,都市：商
RPQRMLMLOHLFFBF58DB,力行段,22.25,都市：商
RPRRMLMLOHLFFBF68DB,力行段,15.98,都市：商
RPSRMLMLOHLFFBF78DB,力行段,14.54,都市：商
RPTRMLMLOHLFFBF88DB,力行段,12.96,都市：商
RPURMLMLOHLFFBF98DB,力行段,13.31,都市：商
RPVRMLMLOHLFFBF09DB,力行段,33.48,都市：商
RPWRMLMLOHLFFBF56DB,力行段,32.49,都市：商
RPXRMLMLOHLFFBF66DB,力行段,32.99,都市：商
RPOSMLMLOHLFFBF48DB,力行段,32.49,都市：商
RPPSMLMLOHLFFBF58DB,力行段,32.99,都市：商
RPQSMLMLOHLFFBF68DB,力行段,32.49,都市：商
RPRSMLMLOHLFFBF78DB,力行段,32.99,都市：商
RPSSMLMLOHLFFBF88DB,力行段,32.49,都市：商
RPTSMLMLOHLFFBF98DB,力行段,32.49,都市：商
RPUSMLMLOHLFFBF09DB,力行段,33.48,都市：商
RPWSMLMLOHLFFBF66DB,力行段,33.39,都市：商
RPRTMLMLOHLFFBF88DB,力行段,33.48,都市：商
RPSTMLMLOHLFFBF98DB,力行段,32.99,都市：商
RPTTMLMLOHLFFBF09DB,力行段,32.49,都市：商
RPUTMLMLOHLFFBF56DB,力行段,33.48,都市：商
RPVTMLMLOHLFFBF66DB,力行段,32.49,都市：商
RPWTMLMLOHLFFBF76DB,力行段,38.68,都市：商
RPOUMLMLOHLFFBF68DB,力行段,32.99,都市：商
RPPUMLMLOHLFFBF78DB,力行段,32.99,都市：商
