編號,車位類別,車位價格,車位面積平方公尺
RPTTMLKLOHLFFBF88DB,坡道平面,1600000,17.50
RPTTMLKLOHLFFBF88DB,坡道平面,1600000,17.50
RPUTMLKLOHLFFBF98DB,坡道平面,1550000,17.50
RPVTMLKLOHLFFBF09DB,坡道平面,1600000,19.17
RPWTMLKLOHLFFBF56DB,坡道平面,1600000,19.17
RPXTMLKLOHLFFBF66DB,坡道平面,1650000,19.17
RPOUMLKLOHLFFBF48DB,坡道平面,1600000,17.50
RPOUMLKLOHLFFBF48DB,坡道平面,1650000,19.17
RPPUMLKLOHLFFBF58DB,坡道平面,1550000,19.17
RPPUMLKLOHLFFBF58DB,坡道平面,1550000,19.17
RPQUMLKLOHLFFBF68DB,坡道平面,1600000,17.50
RPQUMLKLOHLFFBF68DB,坡道平面,1600000,17.50
RPRUMLKLOHLFFBF78DB,坡道平面,1650000,19.17
RPRUMLKLOHLFFBF78DB,坡道平面,1650000,19.17
RPSUMLKLOHLFFBF88DB,坡道平面,1500000,17.50
RPSUMLKLOHLFFBF88DB,坡道平面,1500000,17.50
RPTUMLKLOHLFFBF98DB,坡道平面,1600000,19.17
RPTUMLKLOHLFFBF98DB,坡道平面,1550000,17.50
RPRNMLLLOHLFFBF18DB,坡道平面,1550000,19.17
RPRNMLLLOHLFFBF18DB,坡道平面,1550000,19.17
RPTNMLLLOHLFFBF38DB,坡道平面,1600000,19.17
RPPRMLLLOHLFFBF38DB,坡道平面,1550000,19.17
RPRRMLLLOHLFFBF58DB,坡道平面,1550000,19.17
RPSRMLLLOHLFFBF68DB,坡道平面,1600000,17.50
RPSRMLLLOHLFFBF68DB,坡道平面,1600000,17.50
RPRNMLLLOHLFFAF18EB,坡道平面,1750000,29.50
RPTNMLLLOHLFFAF38EB,坡道平面,1950000,29.50
RPRQMLMLOHLFFIF56CB,坡道平面,0,37.53
RPSQMLMLOHLFFIF66CB,坡道平面,0,35.49
RPTQMLMLOHLFFIF76CB,坡道平面,0,37.53
RPUQMLMLOHLFFIF86CB,坡道平面,0,37.53
RPVQMLMLOHLFFIF96CB,坡道平面,0,37.53
