鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
新莊區,建物,新北市新莊區西盛街153巷1~30號,0.0,住,,,1050614,土地0建物1車位0,五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811022,68.23,2,1,1,有,有,有,16000,235,,0.0,0,,RPTOMLQKOHLFFBF88CC
汐止區,房地(土地+建物)+車位,新北市汐止區汐萬路一段181~210號,2991.48,住,,,1050605,土地1建物0車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040605,178.78,3,2,2,有,有,有,24000,134,坡道平面,32.98,0,,RPROMLQKOHLFFDF88CC
汐止區,房地(土地+建物)+車位,新北市汐止區新臺五路一段61~90號,0.0,工,,,1050530,土地1建物1車位5,十五層,21,辦公商業大樓,工商用,鋼造,0830330,863.67,0,0,0,無,有,無,130000,151,坡道平面,157.5,0,,RPTOMLQKOHLFFDF09CC
汐止區,房地(土地+建物),新北市汐止區福德一路342巷3弄1~30號,0.0,工,,,1050614,土地1建物1車位0,見其他登記事項,4,廠辦,工商用,鋼筋混凝土造,0760511,297.75,0,0,0,無,無,無,80000,269,,0.0,0,,RPUOMLQKOHLFFDF56CC
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路一段121~150號,32.36,住,,,1050606,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011101,143.08,3,2,2,有,有,無,19000,133,坡道平面,33.3,0,,RPTPMLQKOHLFFEF66CC
樹林區,建物,新北市樹林區學勤路631~660號,0.0,住,,,1050528,土地0建物1車位1,二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000317,211.64,5,2,3,有,有,無,26000,123,坡道平面,27.81,0,,RPWNMLQKOHLFFIF17CC
新店區,建物,新北市新店區溪園路391~420號,18.93,住,,,1050524,土地0建物1車位0,一層,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,0911121,125.68,0,0,0,無,有,無,50000,398,,0.0,0,,RPQNMLRKOHLFFCF68CC
淡水區,建物,新北市淡水區中正東路一段3巷14弄1~30號,0.0,,,,1050614,土地0建物1車位0,十一層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961121,72.39,1,1,1,有,有,有,14000,193,,0.0,0,,RPPPMLRKOHLFFEF09DC
永和區,建物,新北市永和區中和路501巷1~30號,49.16,住,,,1050608,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0811107,199.7,4,2,2,有,無,有,30000,150,,0.0,0,,RPRNMLRKOHLFFHF66CC
永和區,建物,新北市永和區中正路601~630號,3.03,商,,,1050614,土地0建物1車位0,四層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850113,32.89,1,1,1,有,有,有,10000,304,,0.0,0,,RPTNMLRKOHLFFHF86CC
