編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTOMLQKOHLFFBF88CC,24,58.07,住家用,鋼筋混凝土造,81年10月22日,十六層,
RPTOMLQKOHLFFBF88CC,24,10.16,共有部分,鋼筋混凝土造,81年10月22日,十六層,
RPROMLQKOHLFFDF88CC,1,98.85,住家用,鋼筋混凝土造,104年6月5日,十五層,
RPROMLQKOHLFFDF88CC,1,30.16,見其他登記事項,鋼筋混凝土造,104年6月5日,十五層,
RPROMLQKOHLFFDF88CC,1,16.79,見其他登記事項,鋼筋混凝土造,104年6月5日,十五層,
RPROMLQKOHLFFDF88CC,1,32.98,見其他登記事項,鋼筋混凝土造,104年6月5日,十五層,
RPTOMLQKOHLFFDF09CC,22,863.67,工商用,鋼造,83年3月30日,二十層,
RPUOMLQKOHLFFDF56CC,29,297.75,工商用,鋼筋混凝土造,76年5月11日,二層,
RPTPMLQKOHLFFEF66CC,4,143.08,住家用,鋼筋混凝土造,101年11月1日,十四層,
RPWNMLQKOHLFFIF17CC,5,132.23,見其他登記事項,鋼筋混凝土造,100年3月17日,十五層,
RPWNMLQKOHLFFIF17CC,5,24.85,見其他登記事項,鋼筋混凝土造,100年3月17日,十五層,
RPWNMLQKOHLFFIF17CC,5,54.56,見其他登記事項,鋼筋混凝土造,100年3月17日,十五層,
RPQNMLRKOHLFFCF68CC,14,101.95,見其他登記事項,鋼筋混凝土造,91年11月21日,十四層,
RPQNMLRKOHLFFCF68CC,14,23.73,共有部分,鋼筋混凝土造,91年11月21日,十四層,
RPPPMLRKOHLFFEF09DC,9,72.39,住家用,鋼筋混凝土造,96年11月21日,二十四層,
RPRNMLRKOHLFFHF66CC,24,141.19,住家用,鋼筋混凝土造,81年11月7日,五層,
RPRNMLRKOHLFFHF66CC,24,58.51,共有部分,鋼筋混凝土造,81年11月7日,五層,
RPTNMLRKOHLFFHF86CC,20,28.20,住家用,鋼筋混凝土造,85年1月13日,十二層,
RPTNMLRKOHLFFHF86CC,20,4.69,共有部分,鋼筋混凝土造,85年1月13日,十二層,
RPVNMLRKOHLFFHF07CC,41,70.62,住家用,加強磚造,64年6月18日,四層,
RPPOMLRKOHLFFHF56CC,15,108.18,見其他登記事項,鋼筋混凝土造,90年8月8日,十四層,
RPPOMLRKOHLFFHF56CC,15,26.40,共有部分,鋼筋混凝土造,90年8月8日,十四層,
RPXPMLRKOHLFFHF47CC,25,113.79,住家用,鋼筋混凝土造,80年6月7日,十二層,
RPXPMLRKOHLFFHF47CC,25,43.33,共有部分,鋼筋混凝土造,80年6月7日,十二層,
RPXPMLRKOHLFFHF47CC,25,14.13,共有部分,鋼筋混凝土造,80年6月7日,十二層,
RPPOMLRKOHLFFDF98EC,19,99.48,住家用,鋼骨鋼筋混凝土造,85年12月30日,三十六層,
