編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPTOMLQKOHLFFBF88CC,光榮段,.00,都市：住
RPROMLQKOHLFFDF88CC,江北段,2991.48,都市：住
RPTOMLQKOHLFFDF09CC,同新段,.00,都市：工
RPUOMLQKOHLFFDF56CC,福德段,.00,都市：工
RPTPMLQKOHLFFEF66CC,公司田段,32.36,都市：住
RPWNMLQKOHLFFIF17CC,大學段二小段,.00,都市：住
RPQNMLRKOHLFFCF68CC,中央段,18.93,都市：住
RPPPMLRKOHLFFEF09DC,海鷗段,.00,非都市： ; 非都市編定：
RPRNMLRKOHLFFHF66CC,雙和段,49.16,都市：住
RPTNMLRKOHLFFHF86CC,大新段,3.03,都市：商
RPVNMLRKOHLFFHF07CC,東南段,34.23,都市：住
RPPOMLRKOHLFFHF56CC,安樂段,2.74,都市：住
RPPOMLRKOHLFFHF56CC,安樂段,11.10,都市：商
RPXPMLRKOHLFFHF47CC,福祥段,.07,都市：商
RPPOMLRKOHLFFDF98EC,水源段,3904.89,都市：住
RPXUMLRKOHLFFEF67CC,公司田段,29.99,都市：住
RPTNMLRKOHLFFDF09CC,智興段,.00,都市：商
RPTNMLRKOHLFFDF09CC,智興段,.00,都市：住
RPQOMLRKOHLFFDF88CC,智興段,.00,都市：商
RPWNMLRKOHLFFBF56CC,鴻福段,271.91,都市：工
RPWNMLRKOHLFFBF56CC,鴻福段,271.91,都市：工
RPPSMLRKOHLFFBF98CC,安泰段,149.59,都市：工
RPPNMLSKOHLFFDF78CC,智興段,.00,都市：商
RPTPMLKLOHLFFDF68CC,同新段,28.35,都市：工
RPWPMLKLOHLFFDF98CC,同新段,119.00,都市：工
RPRNMLKLOHLFFBF08CC,佳林段,19.71,都市：住
RPRNMLKLOHLFFBF08CC,行政段,57.29,都市：住
RPXOMLKLOHLFFEF09CC,滬尾段,51.83,都市：商
RPTPMLKLOHLFFAF38CC,廷寮段,24.21,都市：住
RPPNMLKLOHLFFCF18EC,復興段,2550.62,都市：工
RPROMLKLOHLFFCF28CC,行政段,.00,都市：住
RPRNMLLLOHLFFCF28CC,民安段,30.76,都市：住
RPQQMLLLOHLFFGF88CC,大有段,.00,都市：住
RPSQMLLLOHLFFGF09CC,過田段,.00,非都市： ; 非都市編定：
RPSQMLLLOHLFFGF09CC,過田段,.00,非都市： ; 非都市編定：
RPSQMLLLOHLFFGF09CC,過田段,.00,非都市： ; 非都市編定：
RPOPMLLLOHLFFEF38CC,馬偕段,1397.16,都市：工
RPTPMLLLOHLFFEF88CC,海天段,.02,都市：住
RPTPMLLLOHLFFEF88CC,海天段,.00,都市：住
RPTPMLLLOHLFFEF88CC,海天段,2.62,都市：住
RPTPMLLLOHLFFEF88CC,海天段,.19,都市：住
RPTPMLLLOHLFFEF88CC,海天段,.01,都市：住
RPOQMLLLOHLFFEF48CC,淡海段,39.62,都市：住
RPSQMLLLOHLFFEF88CC,公司田段,15.00,都市：住
RPUQMLLLOHLFFEF09CC,新興段,25.32,都市：住
RPVQMLLLOHLFFEF56CC,望高樓段,11.10,都市：住
RPXOMLLLOHLFFBF88CC,麗林段,11.04,都市：商
RPOPMLLLOHLFFBF08CC,國宅段,7.06,都市：住
RPPPMLLLOHLFFBF18CC,五工段,.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPOONLMLOHLFFBF18CC,榮富段,22.23,都市：住
RPRNMLMLOHLFFEF58CC,新興段,7.02,都市：住
RPUNMLMLOHLFFEF88CC,紅毛城段,18.50,都市：住
RPUPMLMLOHLFFEF09CC,海天段,.02,都市：住
RPUPMLMLOHLFFEF09CC,海天段,.00,都市：住
RPUPMLMLOHLFFEF09CC,海天段,2.33,都市：住
RPUPMLMLOHLFFEF09CC,海天段,.17,都市：住
RPUPMLMLOHLFFEF09CC,海天段,.01,都市：住
RPRRMLMLOHLFFGF56CC,光興段,.00,都市：商
RPTSMLMLOHLFFGF86CC,中興段,.00,都市：工
RPPPMLMLOHLFFAF18CC,埔墘段,33.42,都市：住
RPRRMLMLOHLFFCF78CC,新和段,1.30,都市：住
RPRRMLMLOHLFFCF78CC,新和段,21.19,都市：住
RPWRMLMLOHLFFCF66CC,莊敬段,64.36,都市：工
RPTRMLMLOHLFFIF96CC,大學段一小段,19.19,都市：住
RPURMLMLOHLFFIF07CC,大學段一小段,8.01,都市：住
RPOPMLMLOHLFFHF78CC,樂華段,.00,都市：商
RPPPMLMLOHLFFHF88CC,健康段,.00,都市：工
RPQUMLMLOHLFFBF98DC,立德段,11.79,都市：商
RPQUMLMLOHLFFBF98DC,立德段,1.30,都市：商
RPTNMLNLOHLFFHF56CC,健康段,.00,都市：工
RPTNMLNLOHLFFHF56CC,健康段,.00,都市：工
RPWNMLNLOHLFFHF86CC,中安段,9.79,都市：住
RPWNMLNLOHLFFHF86CC,中安段,8.54,都市：商
RPOOMLNLOHLFFHF78CC,橋和段,121.43,都市：工
RPQPMLNLOHLFFHF09CC,新和段,.00,都市：住
RPQPMLNLOHLFFHF09CC,新和段,.00,都市：住
RPVNMLNLOHLFFAF68CC,江子翠段溪頭小段,3.95,都市：住
RPPOMLNLOHLFFAF18CC,府中段,4.30,都市：商
RPXOMLNLOHLFFAF98CC,民族段,.00,都市：住
RPUPMLNLOHLFFGF76CC,光興段,.00,都市：商
RPUPMLNLOHLFFGF76CC,光興段,.00,都市：住
RPSPMLNLOHLFFEF98CC,公司田段,17.21,都市：住
RPORMLNLOHLFFEF78CC,新興段,34.72,都市：住
RPQRMLNLOHLFFEF98CC,新興段,22.92,都市：住
RPROMLNLOHLFFDF68CC,工建段,407.06,都市：工
RPUOMLNLOHLFFDF98CC,同新段,26.17,都市：工
RPWOMLNLOHLFFDF56CC,昊天段,10.33,都市：工
RPTQMLOLOHLFFDF56CC,智興段,.00,都市：住
