編號,車位類別,車位價格,車位面積平方公尺
RPROMLQKOHLFFDF88CC,坡道平面,0,32.98
RPTOMLQKOHLFFDF09CC,坡道平面,0,31.50
RPTOMLQKOHLFFDF09CC,坡道平面,0,31.50
RPTOMLQKOHLFFDF09CC,坡道平面,0,31.50
RPTOMLQKOHLFFDF09CC,坡道平面,0,31.50
RPTOMLQKOHLFFDF09CC,坡道平面,0,31.50
RPTPMLQKOHLFFEF66CC,坡道平面,0,33.30
RPWNMLQKOHLFFIF17CC,坡道平面,0,27.81
RPPOMLRKOHLFFDF98EC,坡道平面,0,
RPXUMLRKOHLFFEF67CC,坡道平面,0,27.18
RPTPMLKLOHLFFDF68CC,坡道平面,0,
RPTPMLKLOHLFFDF68CC,坡道平面,0,
RPTPMLKLOHLFFDF68CC,坡道平面,0,
RPRNMLKLOHLFFBF08CC,坡道平面,0,54.44
RPSQMLLLOHLFFGF09CC,坡道平面,0,17.85
RPSQMLLLOHLFFEF88CC,坡道平面,0,29.80
RPXOMLLLOHLFFBF88CC,坡道平面,0,26.56
RPOPMLLLOHLFFBF08CC,坡道平面,0,
RPOONLMLOHLFFBF18CC,坡道平面,0,23.18
RPTSMLMLOHLFFGF86CC,坡道平面,0,49.17
RPTRMLMLOHLFFIF96CC,坡道平面,0,13.06
RPURMLMLOHLFFIF07CC,坡道平面,0,36.73
RPOOMLNLOHLFFHF78CC,坡道平面,0,
RPXOMLNLOHLFFAF98CC,坡道平面,0,14.69
RPSPMLNLOHLFFEF98CC,坡道平面,0,32.49
RPROMLNLOHLFFDF68CC,坡道平面,0,
RPROMLNLOHLFFDF68CC,坡道平面,0,
RPROMLNLOHLFFDF68CC,坡道平面,0,
RPROMLNLOHLFFDF68CC,坡道平面,0,
RPUOMLNLOHLFFDF98CC,坡道平面,0,
RPUOMLNLOHLFFDF98CC,坡道平面,0,
RPRPMLOLOHLFFBF68CC,坡道平面,0,19.17
RPRPMLOLOHLFFBF68CC,坡道平面,0,17.50
RPTNMLPLOHLFFBF78CC,坡道平面,0,14.86
RPOOMLPLOHLFFBF38CC,坡道平面,0,29.69
RPVNMLRLOHLFFHF17CC,其他,0,
RPWNMLRLOHLFFHF27CC,其他,0,
RPRQMLRLOHLFFBF09CC,坡道機械,0,25.24
RPSRMLRLOHLFFBF66CC,坡道平面,0,35.25
RPTRMLRLOHLFFBF76CC,坡道平面,0,50.81
RPQRMLRLOHLFFEF76CC,坡道平面,0,32.50
RPSPMLSLOHLFFGF07CC,坡道平面,0,31.95
RPRNMLSLOHLFFHF86CC,坡道平面,0,32.68
RPRNMLSLOHLFFHF86CC,坡道平面,0,32.68
RPWNMLSLOHLFFHF37CC,坡道平面,0,
RPWNMLSLOHLFFHF37CC,坡道平面,0,
RPVPMLSLOHLFFHF47CC,坡道平面,4166,40.35
RPPOMLTLOHLFFBF88CC,坡道平面,0,29.73
RPUPMLTLOHLFFBF86CC,坡道平面,0,26.55
RPQUMLTLOHLFFBF96CC,坡道平面,0,
RPWNMLTLOHLFFDF07CC,坡道平面,3500,37.10
RPXNMLTLOHLFFDF17CC,坡道平面,3500,37.10
RPOOMLTLOHLFFDF98CC,坡道平面,3500,37.10
RPTPMLTLOHLFFGF27CC,坡道平面,0,28.84
RPXOMLTLOHLFFAF96CC,坡道平面,0,
RPPQMLTLOHLFFEF76CC,坡道平面,0,
