編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXNNLQKOHLFFAH56CA,9,23.95,見其他登記事項,鋼筋混凝土造,96年1月17日,五層,三層
RPXNNLQKOHLFFAH56CA,9,7.78,共有部份,鋼筋混凝土造,96年1月17日,五層,
RPQONLQKOHLFFAH58CA,25,23.17,共有部份,鋼筋混凝土造,80年1月25日,六層,
RPQONLQKOHLFFAH58CA,25,108.13,住家用,鋼筋混凝土造,80年1月25日,六層,六層
RPQONLQKOHLFFAH58CA,25,2.76,共有部份,鋼筋混凝土造,80年1月25日,六層,
RPWUMLRKOHLFFAH17CA,12,71.44,住家用,鋼筋混凝土造,93年1月8日,十一層,三層
RPWUMLRKOHLFFAH17CA,12,14.07,共有部份,鋼筋混凝土造,93年1月8日,十一層,
RPWUMLRKOHLFFAH17CA,12,10.15,共有部份,鋼筋混凝土造,93年1月8日,十一層,
RPUVMLRKOHLFFAH07CA,12,81.36,住家用,鋼筋混凝土造,93年7月20日,十三層,八層
RPUVMLRKOHLFFAH07CA,12,9.42,共有部份,鋼筋混凝土造,93年7月20日,十三層,
RPUVMLRKOHLFFAH07CA,12,17.09,共有部份,鋼筋混凝土造,93年7月20日,十三層,
RPUVMLRKOHLFFAH07CA,12,.01,見其他登記事項,鋼筋混凝土造,93年7月20日,十三層,一層
RPUVMLRKOHLFFAH07CA,12,27.60,共有部份,鋼筋混凝土造,93年7月20日,十三層,
RPPONLRKOHLFFAH58CA,10,98.78,住家用,鋼筋混凝土造,95年1月19日,七層,六層
RPPONLRKOHLFFAH58CA,10,50.56,共有部份,鋼筋混凝土造,95年1月19日,七層,
RPPONLRKOHLFFAH58CA,10,18.94,共有部份,鋼筋混凝土造,95年1月19日,七層,
RPUUMLKLOHLFFAH98CA,19,116.36,住家用,鋼筋混凝土造,86年9月3日,十六層,六層
RPUUMLKLOHLFFAH98CA,19,34.18,共有部份,鋼筋混凝土造,86年9月3日,十六層,
RPUUMLKLOHLFFAH98CA,19,35.12,共有部份,鋼筋混凝土造,86年9月3日,十六層,
RPSWMLLLOHLFFAH09CA,35,77.35,住家用,鋼筋混凝土造,69年11月27日,五層,三層 陽台
RPORMLMLOHLFFAH28CA,18,127.95,住家用,鋼筋混凝土造,87年3月31日,八層,八層
RPORMLMLOHLFFAH28CA,18,17.18,共有部份,鋼筋混凝土造,87年3月31日,八層,
RPORMLMLOHLFFAH28CA,18,9.69,共有部份,鋼筋混凝土造,87年3月31日,八層,
RPWSMLMLOHLFFAH56CA,1,62.58,住家用,鋼筋混凝土造,103年10月31日,十層,四層
RPWSMLMLOHLFFAH56CA,1,31.16,見其他登記事項,鋼筋混凝土造,103年10月31日,十層,
RPWSMLMLOHLFFAH56CA,1,33.85,見其他登記事項,鋼筋混凝土造,103年10月31日,十層,
RPOVMLMLOHLFFAH68CA,20,90.33,住家用,鋼筋混凝土造,85年4月25日,四層,四層
RPOVMLMLOHLFFAH68CA,20,8.86,共有部份,鋼筋混凝土造,85年4月25日,四層,
RPRTMLOLOHLFFAH98CA,7,127.18,商業用,鋼筋混凝土造,98年10月5日,十三層,一層
RPRTMLOLOHLFFAH98CA,7,36.64,見其他登記事項,鋼筋混凝土造,98年10月5日,十三層,
RPQPMLRLOHLFFAH78CA,,107.18,住家用,鋼筋混凝土造,104年11月27日,二十二層,十三層
RPQPMLRLOHLFFAH78CA,,30.83,見其他登記事項,鋼筋混凝土造,104年11月27日,二十二層,
RPQPMLRLOHLFFAH78CA,,45.30,見其他登記事項,鋼筋混凝土造,104年11月27日,二十四層,
RPRPMLRLOHLFFAH88CA,,107.18,住家用,鋼筋混凝土造,104年11月27日,二十二層,二十一層
RPRPMLRLOHLFFAH88CA,,30.83,見其他登記事項,鋼筋混凝土造,104年11月27日,二十二層,
