編號,車位類別,車位價格,車位面積平方公尺
RPUVMLRKOHLFFAH07CA,坡道平面,0,
RPPONLRKOHLFFAH58CA,坡道平面,0,
RPUUMLKLOHLFFAH98CA,坡道平面,0,
RPWSMLMLOHLFFAH56CA,坡道平面,1700000,33.85
RPQPMLRLOHLFFAH78CA,坡道平面,0,33.75
RPRPMLRLOHLFFAH88CA,坡道平面,0,33.75
RPTPMLRLOHLFFAH09CA,坡道平面,0,33.75
RPTPMLRLOHLFFAH09CA,坡道平面,0,38.19
RPWPMLRLOHLFFAH76CA,坡道平面,0,33.75
RPWPMLRLOHLFFAH76CA,坡道平面,0,33.75
RPORMLRLOHLFFAH78CA,坡道平面,0,33.75
RPSRMLRLOHLFFAH56CA,坡道平面,0,33.75
RPTRMLRLOHLFFAH66CA,坡道平面,0,33.75
RPURMLRLOHLFFAH76CA,坡道平面,0,33.75
RPWRMLRLOHLFFAH96CA,坡道平面,0,33.75
RPXRMLRLOHLFFAH07CA,坡道平面,0,31.09
RPXRMLRLOHLFFAH07CA,坡道平面,0,31.09
RPOSMLRLOHLFFAH88CA,坡道平面,0,33.75
RPPSMLRLOHLFFAH98CA,坡道平面,0,33.75
RPUSMLRLOHLFFAH86CA,坡道平面,0,33.75
RPVSMLRLOHLFFAH96CA,坡道平面,0,33.75
RPWSMLRLOHLFFAH07CA,坡道平面,0,33.75
RPXSMLRLOHLFFAH17CA,坡道平面,0,33.75
RPOTMLRLOHLFFAH98CA,坡道平面,0,33.75
RPPTMLRLOHLFFAH09CA,坡道平面,0,33.75
RPQTMLRLOHLFFAH56CA,坡道平面,0,31.09
RPSTMLRLOHLFFAH76CA,坡道平面,0,33.75
RPUTMLRLOHLFFAH96CA,坡道平面,0,31.09
RPUTMLRLOHLFFAH96CA,坡道平面,0,31.09
RPVTMLRLOHLFFAH07CA,坡道平面,0,33.75
RPWTMLRLOHLFFAH17CA,坡道平面,0,33.75
RPXTMLRLOHLFFAH27CA,坡道平面,0,33.75
RPQUMLRLOHLFFAH66CA,坡道平面,0,33.75
RPRUMLRLOHLFFAH76CA,坡道平面,0,33.75
RPSUMLRLOHLFFAH86CA,坡道平面,0,33.75
RPORMLSLOHLFFAH88CA,坡道平面,0,
RPQTMLLJPHLFFAH48CA,坡道平面,0,33.75
RPQTMLLJPHLFFAH48CA,坡道平面,0,33.75
RPSTMLLJPHLFFAH68CA,坡道平面,0,33.75
RPTTMLLJPHLFFAH78CA,坡道平面,0,31.09
RPUTMLLJPHLFFAH88CA,坡道平面,0,31.09
RPUTMLLJPHLFFAH88CA,坡道平面,0,31.09
RPVTMLLJPHLFFAH98CA,坡道平面,0,33.75
RPXTMLLJPHLFFAH56CA,坡道平面,0,33.75
RPOUMLLJPHLFFAH38CA,坡道平面,0,31.09
RPPUMLLJPHLFFAH48CA,坡道平面,0,33.75
RPQUMLLJPHLFFAH58CA,坡道平面,0,33.75
RPRUMLLJPHLFFAH68CA,坡道平面,0,33.75
RPSUMLLJPHLFFAH78CA,坡道平面,0,33.75
RPTUMLLJPHLFFAH88CA,坡道平面,0,31.09
RPUUMLLJPHLFFAH98CA,坡道平面,0,33.75
RPVUMLLJPHLFFAH09CA,坡道平面,0,33.75
RPWUMLLJPHLFFAH56CA,坡道平面,0,31.09
RPXUMLLJPHLFFAH66CA,坡道平面,0,33.75
RPOVMLLJPHLFFAH48CA,坡道平面,0,31.09
RPPVMLLJPHLFFAH58CA,坡道平面,0,33.75
RPRPMLNKPHLFFAH48CA,坡道平面,0,
RPRPMLNKPHLFFAH48CA,坡道平面,0,
RPOPMLRKOHLFFBH58CA,坡道平面,0,
RPUNMLLLOHLFFBH48CA,坡道平面,1300000,26.46
RPUNMLLLOHLFFBH48CA,坡道平面,1300000,26.46
RPQNMLNLOHLFFBH28CA,坡道平面,0,
RPSQMLNLOHLFFBH78CA,坡道平面,0,33.01
RPSQMLNLOHLFFBH78CA,坡道平面,0,33.01
RPUQMLNLOHLFFBH98CA,坡道平面,0,33.01
RPUQMLNLOHLFFBH98CA,坡道平面,0,33.01
RPXQMLNLOHLFFBH66CA,坡道平面,0,33.01
RPXQMLNLOHLFFBH66CA,坡道平面,0,33.01
RPXQMLNLOHLFFBH66CA,坡道平面,0,33.01
RPPRMLNLOHLFFBH58CA,坡道平面,0,33.01
RPPRMLNLOHLFFBH58CA,坡道平面,0,33.01
RPRTMLRLOHLFFBH76CA,坡道平面,0,29.10
RPRTMLRLOHLFFBH76CA,坡道平面,0,27.02
RPOTMLRLOHLFFBH09CA,坡道平面,0,35.26
RPOTMLRLOHLFFBH09CA,坡道平面,0,35.26
RPPTMLRLOHLFFBH56CA,坡道平面,730000,35.26
RPXNMLKMOHLFFBH78CA,坡道平面,0,24.28
RPRNMLLJPHLFFBH08CA,坡道平面,0,35.43
RPRNMLLJPHLFFBH08CA,坡道平面,0,35.43
RPOOMLPJPHLFFBH28CA,坡道平面,0,33.01
RPOOMLPJPHLFFBH28CA,坡道平面,0,33.01
RPQQMLMKPHLFFBH48CA,坡道平面,1000000,33.14
RPSQMLMKPHLFFBH68CA,坡道平面,1100000,34.82
RPTQMLMKPHLFFBH78CA,坡道平面,1100000,34.82
RPQNMLKMOHLFFDH28CA,坡道平面,0,
RPRNMLLJPHLFFDH28CA,坡道平面,0,
RPOPMLKLOHLFFEH28CA,坡道平面,1100000,29.72
RPWWMLNLOHLFFEH47CA,坡道平面,1600000,45.59
RPOPMLNJQHLFFEH58CA,坡道平面,1550000,45.98
RPVNMLLKQHLFFEH98CA,坡道平面,0,
RPVNMLLKQHLFFEH98CA,坡道平面,0,
RPUNMLMLOHLFFFH98CA,坡道平面,1400000,29.25
RPUNMLMLOHLFFFH98CA,坡道平面,1400000,29.25
RPVOMLNLOHLFFFH66CA,坡道平面,1250000,25.78
RPWOMLNLOHLFFFH76CA,坡道平面,1250000,25.78
RPXOMLNLOHLFFFH86CA,坡道平面,1250000,25.78
RPOPMLNLOHLFFFH68CA,坡道平面,1300000,25.78
RPPPMLNLOHLFFFH78CA,坡道平面,1300000,25.78
RPQOMLMLOHLFFFH68CA,坡道平面,1100000,27.62
RPQOMLNLOHLFFFH78CA,坡道平面,1250000,26.93
RPROMLRLOHLFFFH66CA,坡道平面,950000,26.40
RPPPMLOJPHLFFFH78CA,坡道平面,0,
RPUNMLLKPHLFFFH88CA,坡道平面,1480000,47.44
RPVPMLPKPHLFFFH96CA,坡道平面,900000,37.64
RPPPMLNLOHLFFGH88CA,坡道平面,1250000,38.69
RPQPMLNLOHLFFGH98CA,坡道平面,1250000,38.69
RPRPMLNLOHLFFGH09CA,坡道平面,0,38.69
RPRPMLNLOHLFFGH09CA,坡道平面,0,36.70
RPSPMLNLOHLFFGH56CA,坡道平面,1200000,38.69
RPSPMLNLOHLFFGH56CA,坡道平面,1200000,38.69
RPVNMLRLOHLFFGH07CA,坡道平面,0,
RPTNMLRJPHLFFGH76CA,坡道平面,1250000,33.55
RPWQMLLLOHLFFAH98DA,坡道平面,0,
RPTNNLMLOHLFFAH58DA,坡道平面,0,
RPPQNLOLOHLFFAH68DA,坡道平面,0,
RPXQMLRLOHLFFAH07DA,坡道平面,0,
RPTNMLPLPHLFFFH86EA,坡道平面,0,
RPUOMLRLOHLFFBH76EA,一樓平面,0,
RPQQMLQJPHLFFAH88EA,坡道平面,0,
RPWOMLPLPHLFFAH76EA,坡道平面,0,
RPTOMLRLPHLFFAH66EA,坡道平面,1900000,27.39
RPTOMLRLPHLFFAH66EA,坡道平面,1900000,27.39
RPTOMLRLPHLFFAH66EA,坡道平面,1800000,25.32
RPPOMLKLOHLFFBH08DA,坡道平面,0,39.76
RPPOMLKLOHLFFBH08DA,坡道平面,0,39.76
RPXPMLOLOHLFFBH76DA,坡道平面,0,
RPWNNLMLOHLFFAH88DA,坡道平面,0,
RPUNMLRJPHLFFGH86CA,坡道平面,1300000,33.55
RPOPMLNLOHLFFGH78CA,坡道平面,0,31.69
RPOPMLNLOHLFFGH78CA,坡道平面,0,28.08
RPROMLLLOHLFFGH78CA,一樓平面,0,
RPTOMLKLOHLFFGH88CA,坡道平面,0,38.36
RPUNMLMKPHLFFFH98CA,坡道平面,1300000,30.43
RPUNMLMKPHLFFFH98CA,坡道平面,1300000,30.43
RPVNMLMKPHLFFFH09CA,坡道平面,1200000,30.43
