鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.18,住,,,1040923,土地1建物1車位1,一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.02,3,2,2,有,無,10500000,70922,坡道平面,39.12,1500000,,RPOOMLQKOHLFFAH38CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.59,住,,,1030821,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.34,3,2,2,有,無,10380000,71596,坡道平面,39.12,1200000,,RPQQMLQKOHLFFAH78CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.59,住,,,1030818,土地1建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.34,3,2,2,有,無,11050000,74481,坡道平面,39.12,1500000,,RPSQMLQKOHLFFAH98CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.59,住,,,1031007,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.29,3,2,2,有,無,11000000,74871,坡道平面,37.07,1400000,,RPTQMLQKOHLFFAH09CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.8,住,,,1030818,土地1建物1車位2,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,206.46,3,2,2,有,無,12560000,76119,坡道平面,78.24,2800000,,RPUQMLQKOHLFFAH56CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.59,住,,,1030821,土地1建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.34,3,2,2,有,無,10570000,72298,坡道平面,39.12,1300000,,RPVQMLQKOHLFFAH66CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.8,住,,,1031209,土地1建物1車位2,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,204.41,3,2,2,有,無,11900000,69022,坡道平面,76.19,3050000,,RPWQMLQKOHLFFAH76CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.59,住,,,1040324,土地1建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.34,3,2,2,有,無,10020000,66838,坡道平面,39.12,1450000,,RPORMLQKOHLFFAH68CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.18,住,,,1031209,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.97,3,2,2,有,無,10450000,70528,坡道平面,37.07,1500000,,RPPRMLQKOHLFFAH78CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.18,住,,,1030818,土地1建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.02,3,2,2,有,無,11000000,74862,坡道平面,39.12,1500000,,RPRRMLQKOHLFFAH98CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.18,住,,,1041209,土地1建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.07,3,2,2,有,無,9680000,64829,坡道平面,39.12,1450000,,RPRSMLQKOHLFFAH09CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.39,住,,,1040925,土地1建物1車位2,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,203.09,3,2,2,有,無,10800000,61072,坡道平面,76.19,3050000,,RPSSMLQKOHLFFAH56CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.18,住,,,1041211,土地1建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.07,3,2,2,有,無,9660000,64671,坡道平面,39.12,1450000,,RPUSMLQKOHLFFAH76CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.18,住,,,1030919,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.02,3,2,2,有,無,10710000,72971,坡道平面,39.12,1450000,,RPWSMLQKOHLFFAH96CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.39,住,,,1040908,土地1建物1車位2,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,205.14,3,2,2,有,無,11000000,63042,坡道平面,78.24,3000000,,RPRTMLQKOHLFFAH56CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.18,住,,,1041007,土地1建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.02,3,2,2,有,無,10000000,66982,坡道平面,39.12,1500000,,RPTTMLQKOHLFFAH76CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.59,住,,,1040602,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.34,3,2,2,有,無,10000000,67462,坡道平面,39.12,1350000,,RPVTMLQKOHLFFAH96CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.59,住,,,1030826,土地1建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.34,3,2,2,有,無,10670000,71518,坡道平面,39.12,1500000,,RPXTMLQKOHLFFAH17CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.59,住,,,1030919,土地1建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.34,3,2,2,有,無,10500000,72532,坡道平面,39.12,1200000,,RPOUMLQKOHLFFAH98CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.8,住,,,1030919,土地1建物1車位2,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,206.46,3,2,2,有,無,12170000,73857,坡道平面,78.24,2700000,,RPQUMLQKOHLFFAH56CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.59,住,,,1030826,土地1建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.29,3,2,2,有,無,10710000,72610,坡道平面,37.07,1400000,,RPUUMLQKOHLFFAH96CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.59,住,,,1040923,土地1建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.35,3,2,2,有,無,9680000,64182,坡道平面,39.12,1450000,,RPVUMLQKOHLFFAH07CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.59,住,,,1040527,土地1建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.35,3,2,2,有,無,10300000,68237,坡道平面,39.12,1550000,,RPXUMLQKOHLFFAH27CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,25.59,住,,,1040527,土地1建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.3,3,2,2,有,無,9950000,66677,坡道平面,37.07,1400000,,RPPVMLQKOHLFFAH56CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,26.62,住,,,1040511,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,173.35,3,2,2,有,無,10180000,65038,坡道平面,39.12,1450000,,RPPWMLQKOHLFFAH66CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,26.62,住,,,1041223,土地1建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,173.21,3,2,2,有,無,10260000,64956,坡道平面,39.12,1550000,,RPQWMLQKOHLFFAH76CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,16.51,住,,,1030916,土地1建物1車位1,一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.58,2,2,1,有,無,7790000,76602,坡道平面,39.12,1550000,,RPQSMLRKOHLFFAH09CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,16.51,住,,,1030826,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.58,2,2,1,有,無,7300000,73042,坡道平面,39.12,1350000,,RPSSMLRKOHLFFAH66CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,16.51,住,,,1040511,土地1建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.58,2,2,1,有,無,6700000,66290,坡道平面,39.12,1300000,,RPTSMLRKOHLFFAH76CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,16.51,住,,,1040825,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.58,2,2,1,有,無,7280000,71569,坡道平面,39.12,1450000,,RPXSMLRKOHLFFAH17CB
桃園區,房地(土地+建物)+車位,國強段751~780地號,16.51,住,,,1031203,土地1建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.58,2,2,1,有,無,7170000,72674,坡道平面,39.12,1250000,,RPPTMLRKOHLFFAH09CB
