編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTOMLQKOHLFFBH09CC,9,57.65,住家用,鋼筋混凝土造,96年3月1日,十五層,
RPTOMLQKOHLFFBH09CC,9,37.31,共同使用部份,鋼筋混凝土造,96年3月1日,十五層,
RPVOMLQKOHLFFAH66DC,24,76.88,見其他登記事項,鋼筋混凝土造,81年8月11日,七層,
RPQNMLQKOHLFFFH56DC,1,65.72,住家用,鋼筋混凝土造,104年4月13日,六層,
RPQNMLQKOHLFFFH56DC,1,32.99,見其他登記事項,鋼筋混凝土造,104年4月13日,六層,
RPXUMLRKOHLFFAH67EC,25,150.90,住家用,鋼筋混凝土造,80年3月28日,十六層,
RPXUMLRKOHLFFAH67EC,25,13.55,共同使用部份,鋼筋混凝土造,80年3月28日,十六層,
RPXUMLRKOHLFFAH67EC,25,33.33,見其他登記事項,鋼筋混凝土造,80年3月28日,十六層,
RPWNMLRKOHLFFBH86DC,2,89.61,見其他登記事項,鋼筋混凝土造,103年5月1日,十五層,
RPWNMLRKOHLFFBH86DC,2,56.25,見其他登記事項,鋼筋混凝土造,103年5月1日,十五層,
RPWNMLRKOHLFFBH86DC,2,18.10,見其他登記事項,鋼筋混凝土造,103年5月1日,十五層,
RPUOMLRKOHLFFBH66CC,23,32.69,住家用,鋼筋混凝土造,82年1月19日,四層,
RPWOMLRKOHLFFBH86CC,17,75.15,共同使用部份,鋼筋混凝土造,88年9月14日,十五層,
RPXOMLRKOHLFFBH96CC,22,31.65,住家用,鋼筋混凝土造,83年6月23日,八層,
RPXOMLRKOHLFFBH96CC,22,2.80,共同使用部份,鋼筋混凝土造,83年6月23日,八層,
RPXOMLRKOHLFFBH96CC,22,5.28,共同使用部份,鋼筋混凝土造,83年6月23日,八層,
RPOOMLSKOHLFFBH88DC,10,14.00,見其他登記事項,鋼筋混凝土造,95年8月25日,四層,
RPWTMLKLOHLFFAH76DC,11,85.33,住商用,鋼筋混凝土造,94年4月25日,十五層,
RPPUMLKLOHLFFAH78DC,12,263.94,見其他登記事項,鋼筋混凝土造,93年11月8日,五層,
RPPWMLKLOHLFFAH98DC,36,85.88,住家用,鋼筋混凝土造,69年8月11日,五層,
RPPWMLKLOHLFFAH98DC,36,7.30,共有部份,鋼筋混凝土造,69年8月11日,五層,
RPTOMLKLOHLFFEH09EC,1,73.03,見其他登記事項,鋼筋混凝土造,104年7月13日,十八層,
RPTOMLKLOHLFFEH09EC,1,44.88,見其他登記事項,鋼筋混凝土造,104年7月13日,十七層,
RPTOMLKLOHLFFEH09EC,1,25.02,共同使用部份,鋼筋混凝土造,104年7月13日,十八層,
RPQOMLKLOHLFFFH78DC,2,65.51,住家用,鋼筋混凝土造,103年10月6日,十八層,
RPQOMLKLOHLFFFH78DC,2,13.38,見其他登記事項,鋼筋混凝土造,103年10月6日,十八層,
RPQOMLKLOHLFFFH78DC,2,18.09,見其他登記事項,鋼筋混凝土造,103年10月6日,十八層,
RPQOMLKLOHLFFFH78DC,2,4.89,見其他登記事項,鋼筋混凝土造,103年10月6日,十八層,
RPQOMLKLOHLFFFH78DC,2,33.06,見其他登記事項,鋼筋混凝土造,103年10月6日,十八層,
RPROMLKLOHLFFBH38CC,13,96.95,住家用,鋼筋混凝土造,92年3月11日,十四層,
RPROMLKLOHLFFBH38CC,13,22.87,共同使用部份,鋼筋混凝土造,92年3月11日,十四層,
RPROMLKLOHLFFBH38CC,13,49.91,共同使用部份,鋼筋混凝土造,92年3月11日,十四層,
RPSOMLKLOHLFFBH48CC,8,27.54,見其他登記事項,鋼筋混凝土造,97年11月6日,四層,
RPUOMLKLOHLFFBH68CC,22,90.26,住家用,鋼筋混凝土造,83年4月16日,六層,
RPUOMLKLOHLFFBH68CC,22,25.65,共有部分,鋼筋混凝土造,83年4月16日,六層,
RPXOMLKLOHLFFBH98CC,25,112.00,見其他登記事項,鋼筋混凝土造,79年11月30日,十二層,
RPXOMLKLOHLFFBH98CC,25,28.00,共有部分,鋼筋混凝土造,79年11月30日,十二層,
RPSPMLKLOHLFFBH58CC,11,38.29,住家用,鋼筋混凝土造,94年3月1日,十四層,
RPSPMLKLOHLFFBH58CC,11,5.47,共有部分,鋼筋混凝土造,94年3月1日,十四層,
RPSPMLKLOHLFFBH58CC,11,7.57,共有部分,鋼筋混凝土造,94年3月1日,十四層,
RPSPMLKLOHLFFBH58CC,11,.17,共有部分,鋼筋混凝土造,94年3月1日,十四層,
RPUPMLKLOHLFFBH78CC,28,80.03,住家用,鋼筋混凝土造,77年6月6日,五層,
RPUPMLKLOHLFFBH78CC,28,11.40,共有部分,鋼筋混凝土造,77年6月6日,五層,
RPRQMLKLOHLFFAH48CC,23,117.12,住家用,鋼骨鋼筋混凝土造,82年4月30日,二十二層,
RPTRMLKLOHLFFAH78CC,40,160.54,住商用,加強磚造,65年1月26日,二層,
RPUTMLKLOHLFFAH09CC,23,123.55,住家用,鋼筋混凝土造,82年11月22日,七層,
RPUTMLKLOHLFFAH09CC,23,51.85,共同使用部份,鋼筋混凝土造,82年11月22日,七層,
RPUOMLKLOHLFFDH88CC,1,85.96,住家用,鋼筋混凝土造,104年5月25日,十五層,
RPUOMLKLOHLFFDH88CC,1,74.52,見其他登記事項,鋼筋混凝土造,104年5月25日,十五層,
RPRPMLKLOHLFFEH78CC,2,141.49,住家用,鋼筋混凝土造,103年3月25日,十一層,
RPRPMLKLOHLFFEH78CC,2,93.29,共有部份,鋼筋混凝土造,103年3月25日,十一層,
RPUPMLKLOHLFFEH09CC,21,79.61,工業用,鋼筋混凝土造,84年5月18日,十層,
RPUPMLKLOHLFFEH09CC,21,15.79,共有部份,鋼筋混凝土造,84年5月18日,十層,
RPUPMLKLOHLFFEH09CC,21,14.81,共有部份,鋼筋混凝土造,84年5月18日,十層,
RPQOMLLLOHLFFDH58CC,1,63.07,住家用,鋼筋混凝土造,104年9月25日,十四層,
RPQOMLLLOHLFFDH58CC,1,58.53,見其他登記事項,鋼筋混凝土造,104年9月25日,十五層,
RPORMLLLOHLFFAH38CC,28,226.48,見其他登記事項,鋼筋混凝土造,77年3月30日,五層,
RPQRMLLLOHLFFAH58CC,46,1404.96,工業用,加強磚造,59年12月5日,二層,
RPTRMLLLOHLFFAH88CC,46,247.93,工業用,加強磚造,59年12月5日,二層,
RPRPMLLLOHLFFBH58CC,7,30.14,住家用,鋼筋混凝土造,98年6月29日,二十一層,
RPRPMLLLOHLFFBH58CC,7,1.59,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPRPMLLLOHLFFBH58CC,7,1.63,共有部分,鋼筋混凝土造,98年6月29日,二十一層,
RPRPMLLLOHLFFBH58CC,7,6.65,共有部分,鋼筋混凝土造,98年6月29日,二十一層,
RPRPMLLLOHLFFBH58CC,7,2.04,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPSPMLLLOHLFFBH68CC,21,57.18,住家用,鋼筋混凝土造,84年6月13日,六層,
RPSPMLLLOHLFFBH68CC,21,26.58,共有部分,鋼筋混凝土造,84年6月13日,六層,
RPROMLLLOHLFFEH88DC,11,73.97,住家用,鋼筋混凝土造,94年2月1日,九層,
RPQOMLMLOHLFFEH88DC,21,147.37,住家用,鋼筋混凝土造,84年2月23日,十四層,
RPTOMLMLOHLFFEH56DC,10,117.99,見其他登記事項,鋼筋混凝土造,95年11月24日,十五層,
RPUNMLMLOHLFFBH88DC,3,95.27,見其他登記事項,鋼筋混凝土造,102年1月13日,十二層,
RPUNMLMLOHLFFBH88DC,3,48.12,見其他登記事項,鋼筋混凝土造,102年1月13日,十二層,
RPUNMLMLOHLFFBH88DC,3,18.88,見其他登記事項,鋼筋混凝土造,102年1月13日,十二層,
RPPOMLMLOHLFFBH48DC,2,75.51,商業用,鋼筋混凝土造,102年12月19日,十五層,
RPQOMLMLOHLFFBH58DC,2,16.72,見其他登記事項,鋼筋混凝土造,103年11月10日,十五層,
RPQOMLMLOHLFFBH58DC,2,112.11,見其他登記事項,鋼筋混凝土造,103年11月10日,十五層,
RPTOMLMLOHLFFBH78CC,32,22.34,住家用,鋼筋混凝土造,73年5月29日,四層,
RPXOMLMLOHLFFBH56CC,32,22.34,住家用,鋼筋混凝土造,73年5月29日,四層,
RPSQMLMLOHLFFBH88CC,15,73.57,住家用,鋼筋混凝土造,90年1月15日,十層,
RPSQMLMLOHLFFBH88CC,15,12.94,共有部分,鋼筋混凝土造,90年1月15日,十層,
RPSQMLMLOHLFFBH88CC,15,18.67,共有部分,鋼筋混凝土造,90年1月15日,十層,
RPTQMLMLOHLFFBH98CC,24,107.78,見其他登記事項,鋼筋混凝土造,81年4月13日,六層,
RPTQMLMLOHLFFBH98CC,24,8.09,共有部分,鋼筋混凝土造,81年4月13日,六層,
RPTQMLMLOHLFFBH98CC,24,9.03,共有部分,鋼筋混凝土造,81年4月13日,六層,
RPUQMLMLOHLFFBH09CC,12,39.22,住家用,鋼筋混凝土造,93年3月25日,十層,
