編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPTOMLQKOHLFFBH09CC,普義段,.00,都市：住
RPSPMLQKOHLFFBH09CC,忠孝段,3327.05,非都市：一般農業區 ; 非都市編定：農牧用地
RPSPMLQKOHLFFBH09CC,忠孝段,3872.54,非都市：一般農業區 ; 非都市編定：農牧用地
RPSPMLQKOHLFFBH09CC,忠孝段,782.59,非都市：一般農業區 ; 非都市編定：農牧用地
RPTPMLQKOHLFFBH66DC,興南段中壢老小段,41.00,都市：商
RPVOMLQKOHLFFAH66DC,長安段,.00,都市：住
RPQNMLQKOHLFFFH56DC,豐田段,32.50,都市：住
RPXUMLRKOHLFFAH67EC,大有段,23.00,都市：住
RPROMLRKOHLFFBH56EC,三民段,330.00,都市：農
RPWNMLRKOHLFFBH86DC,青平段,19.90,都市：住
RPUOMLRKOHLFFBH66CC,中壢埔頂段,.00,都市：住
RPWOMLRKOHLFFBH86CC,新街段,.00,都市：住
RPXOMLRKOHLFFBH96CC,自立段,.00,都市：住
RPOOMLSKOHLFFBH88DC,前寮段,14.00,都市：住
RPWTMLKLOHLFFAH76DC,中埔段,7.68,都市：其他
RPPUMLKLOHLFFAH78DC,富國段,92.51,都市：其他
RPPWMLKLOHLFFAH98DC,大樹林段,23.40,都市：住
RPTOMLKLOHLFFEH09EC,六福段,13.69,都市：工
RPQOMLKLOHLFFFH78DC,福興段,14.58,都市：住
RPROMLKLOHLFFBH38CC,自立段,.00,都市：住
RPSOMLKLOHLFFBH48CC,環東段,.00,都市：住
RPUOMLKLOHLFFBH68CC,後寮段,.00,都市：住
RPXOMLKLOHLFFBH98CC,忠福段,.00,都市：住
RPSPMLKLOHLFFBH58CC,新街段,.00,都市：住
RPUPMLKLOHLFFBH78CC,中壢埔頂段,.00,都市：住
RPRQMLKLOHLFFAH48CC,中山段,10.31,都市：住
RPTRMLKLOHLFFAH78CC,延壽段,111.17,都市：住
RPUTMLKLOHLFFAH09CC,龍安段,.00,非都市： ; 非都市編定：
RPUOMLKLOHLFFDH88CC,大金山下段大金山下小段,.00,都市：住
RPRPMLKLOHLFFEH78CC,青山段,.00,都市：住
RPUPMLKLOHLFFEH09CC,水尾段,.00,都市：工
RPWNMLLLOHLFFEH56CC,公埔段,885.16,都市：工
RPQOMLLLOHLFFDH58CC,大金山下段大金山下小段,.00,都市：住
RPORMLLLOHLFFAH38CC,中正段,77.60,非都市： ; 非都市編定：
RPORMLLLOHLFFAH38CC,中正段,80.55,非都市： ; 非都市編定：
RPQRMLLLOHLFFAH58CC,山頂段,1404.96,非都市：工業區 ; 非都市編定：丁種建築用地
RPTRMLLLOHLFFAH88CC,山頂段,247.93,非都市：工業區 ; 非都市編定：丁種建築用地
RPRPMLLLOHLFFBH58CC,新街段,.00,都市：住
RPSPMLLLOHLFFBH68CC,草新段,.00,都市：商
RPROMLLLOHLFFEH88DC,河底段,14.20,都市：其他
RPQOMLMLOHLFFEH88DC,河底段,19.32,都市：住
RPTOMLMLOHLFFEH56DC,河底段,14.07,都市：住
RPUNMLMLOHLFFBH88DC,青溪段,27.32,都市：住
RPPOMLMLOHLFFBH48DC,雙嶺段,20.10,都市：住
RPQOMLMLOHLFFBH58DC,雙嶺段,22.97,都市：住
RPTOMLMLOHLFFBH78CC,三座屋段三座屋小段,.00,都市：住
RPXOMLMLOHLFFBH56CC,三座屋段三座屋小段,.00,都市：住
RPSQMLMLOHLFFBH88CC,石頭段,16.40,都市：住
RPTQMLMLOHLFFBH98CC,中北段,29.51,都市：住
RPUQMLMLOHLFFBH09CC,石頭段,17.53,都市：住
RPRVMLMLOHLFFAH56CC,會稽段,.00,都市：住
RPRONLMLOHLFFAH58CC,文化段,8.22,都市：住
RPROMLMLOHLFFDH78CC,大金山下段大金山下小段,.00,都市：住
RPOOMLMLOHLFFGH78CC,金星段,.00,都市：住
RPPOMLNLOHLFFAH38CC,小檜溪段,28.40,都市：住
RPXPMLNLOHLFFAH66CC,頂湖段,1385.48,都市：工
RPPSMLNLOHLFFAH78CC,龜山段,.00,都市：商
RPTSMLNLOHLFFAH56CC,汴洲段,.00,都市：工
RPVSMLNLOHLFFAH76CC,汴洲段,.00,都市：工
RPSPMLNLOHLFFBH88CC,興南段興南小段,.00,都市：商
RPUPMLNLOHLFFBH09CC,青芝段,14.26,都市：商
RPVPMLNLOHLFFBH56CC,忠福段,14.43,都市：住
RPRQMLNLOHLFFBH88CC,石頭段,.00,都市：住
RPTQMLNLOHLFFBH09CC,新街段,.00,都市：住
RPQOMLNLOHLFFCH68CC,仁和段,182.51,都市：其他
RPXOMLOLOHLFFFH37EC,同福段,108.81,都市：住
RPROMLOLOHLFFFH66DC,興豐段,101.35,都市：住
RPUOMLOLOHLFFBH56DC,新街段,18.88,都市：住
RPSPMLOLOHLFFBH09DC,石頭段,6.59,都市：商
RPQOMLOLOHLFFBH68CC,三座屋段舊社小段,110.00,都市：其他
RPSOMLOLOHLFFBH88CC,三座屋段舊社小段,110.00,都市：其他
RPTOMLOLOHLFFBH98CC,中壢埔頂段,.00,都市：住
RPXQMLOLOHLFFAH86CC,同德段,44.12,都市：商
RPXTMLOLOHLFFAH17CC,中山段,22.54,都市：商
RPXUMLOLOHLFFAH27CC,大有段,15.03,都市：住
RPVONLOLOHLFFAH56CC,埔子段埔子小段,1.41,都市：住
RPOOMLOLOHLFFDH68CC,草湳坡段埔心小段,.00,都市：住
RPWNMLRLOHLFFGH37CC,廣南段,.00,都市：其他
RPPUMLRLOHLFFAH76CC,中路段,.00,都市：商
RPUUMLRLOHLFFAH27CC,大樹林段,.00,都市：住
RPUUMLRLOHLFFAH27CC,大樹林段,.00,都市：住
RPSSMLRLOHLFFBH96CC,興南段興南小段,.00,都市：商
RPTSMLRLOHLFFBH07CC,興南段興南小段,.00,都市：商
RPWSMLRLOHLFFBH37CC,自立段,45.00,都市：住
RPXSMLRLOHLFFBH47CC,榮民段,15.11,都市：住
RPOOMLRLOHLFFFH56CC,豐田段,.00,都市：商
RPXNMLRLOHLFFFH57EC,豐田段,59.50,都市：住
RPVNMLSLOHLFFGH47DC,新富段,15.41,都市：商
RPWNMLSLOHLFFGH57DC,平鎮段,16.82,都市：住
