編號,車位類別,車位價格,車位面積平方公尺
RPTOMLQKOHLFFBH09CC,坡道平面,0,24.48
RPXUMLRKOHLFFAH67EC,坡道平面,0,33.33
RPWNMLRKOHLFFBH86DC,坡道平面,0,35.60
RPTOMLKLOHLFFEH09EC,坡道平面,0,34.00
RPQOMLKLOHLFFFH78DC,坡道平面,0,
RPQOMLKLOHLFFFH78DC,坡道平面,0,
RPUTMLKLOHLFFAH09CC,坡道平面,0,
RPUOMLKLOHLFFDH88CC,坡道平面,0,34.25
RPRPMLKLOHLFFEH78CC,坡道平面,0,35.24
RPRPMLKLOHLFFEH78CC,坡道平面,0,35.24
RPQOMLLLOHLFFDH58CC,坡道平面,0,29.13
RPROMLLLOHLFFEH88DC,坡道平面,0,30.67
RPQOMLMLOHLFFEH88DC,坡道平面,0,
RPUNMLMLOHLFFBH88DC,坡道平面,0,18.88
RPPOMLMLOHLFFBH48DC,坡道平面,0,7.56
RPQOMLMLOHLFFBH58DC,坡道平面,0,12.81
RPRVMLMLOHLFFAH56CC,坡道平面,0,
RPROMLMLOHLFFDH78CC,坡道平面,0,27.07
RPOOMLMLOHLFFGH78CC,坡道平面,0,30.21
RPUPMLNLOHLFFBH09CC,坡道平面,0,32.40
RPTQMLNLOHLFFBH09CC,坡道平面,0,28.51
RPXQMLOLOHLFFAH86CC,其他,0,
RPVONLOLOHLFFAH56CC,坡道平面,0,31.24
RPOOMLRLOHLFFFH56CC,坡道平面,0,22.51
RPXNMLRLOHLFFFH57EC,坡道平面,0,
RPQQMLSLOHLFFBH66CC,坡道平面,0,
RPQOMLTLOHLFFDH76CC,坡道平面,0,39.81
RPRNMLTLOHLFFGH07CC,坡道平面,0,38.69
RPVNMLTLOHLFFFH37CC,坡道平面,0,37.11
RPUNMLKMOHLFFGH76EC,坡道平面,0,41.17
RPQTMLKMOHLFFAH78CC,坡道平面,0,66.11
RPSOMLKMOHLFFDH78CC,一樓平面,0,
RPSOMLKMOHLFFDH78CC,坡道平面,0,
