鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
嘉義市,房地(土地+建物),嘉義市嘉義巿信興街96巷1~30號,76.0,住,,,1050603,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0680301,92.58,4,2,2,有,無,3350000,36185,,0.0,0,,RPRNMLKLOHLFFAI08CA
嘉義市,土地,港子坪段181~210地號,171.0,住,,,1050426,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9500000,55556,,0.0,0,,RPUNMLKLOHLFFAI38CA
嘉義市,土地,北園段1531~1560地號,111.44,住,,,1050614,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2696800,24200,,0.0,0,,RPROMLLLOHLFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義巿延平街271~300號,126.0,住,,,1050520,土地2建物1車位0,全,四層,透天厝,住家用,加強磚造,0510101,153.7,4,1,1,有,無,12500000,81327,,0.0,0,,RPQNMLMLOHLFFAI18CA
嘉義市,房地(土地+建物),嘉義市嘉義巿仁愛路361~390號,136.0,商,,,1050520,土地4建物1車位0,一層，二層，騎樓,二層,店面(店鋪),住家用,木造,0500701,96.6,2,1,1,有,無,35000000,362319,,0.0,0,含增建及未登記建物。,RPUNMLQLOHLFFAI98CA
嘉義市,房地(土地+建物),嘉義市嘉義巿興達路541~570號,12.51,住,,,1050614,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830121,127.28999999999999,3,2,2,有,有,3200000,25139,,0.0,0,,RPTNMLRLOHLFFAI98CA
嘉義市,房地(土地+建物),嘉義市嘉義巿保安二路151~180號,87.0,住,,,1050615,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0660228,114.59,4,2,3,有,無,9000000,78541,,0.0,0,,RPQNMLMJPHLFFAI08CA
嘉義市,房地(土地+建物),嘉義市嘉義巿大雅路二段433巷28弄31~60號,7.9,住,,,1050529,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840117,77.91,2,1,1,有,有,2000000,25671,,0.0,0,,RPXOMLLJPHLFFAI78CA
嘉義市,土地,玉川段91~120地號,108.0,住,,,1050530,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3250540,30098,,0.0,0,,RPSNMLMKPHLFFAI38CA
嘉義市,土地,檜段三小段1~30地號,300.0,住,,,1050607,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7200000,24000,,0.0,0,雙方約定土地增值稅由買方負擔,RPPNMLRKOHLFFAI68EA
嘉義市,土地,大溪段601~630地號,206.3,住,,,1050604,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,12118,,0.0,0,,RPUNMLNLOHLFFAI88EA
嘉義市,房地(土地+建物),嘉義市嘉義巿義教街601~630號,15.97,住,,,1050606,土地1建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830723,104.47999999999999,3,1,1,有,有,3200000,30628,,0.0,0,,RPWNMLRLOHLFFAI86EA
嘉義市,房地(土地+建物),嘉義市嘉義巿友忠路961~990號,17.82,住,,,1050511,土地2建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870226,132.71,3,2,2,有,有,3500000,26373,,0.0,0,,RPTNMLKLOHLFFAI48EA
嘉義市,土地,劉厝段玉山小段91~120地號,194.54,住,,,1050528,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13900000,71451,,0.0,0,,RPXNMLKLOHLFFAI88EA
嘉義市,建物,嘉義市嘉義巿大和街151~180號,0.0,,,,1050528,土地0建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1050401,358.2,4,3,5,有,無,7900000,22055,,0.0,0,,RPOOMLKLOHLFFAI08EA
嘉義市,房地(土地+建物),嘉義市嘉義巿林森東路451~480號,108.0,住,,,1050526,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0781012,198.0,4,3,3,有,無,7500000,37879,,0.0,0,,RPSOMLLLOHLFFAI58EA
嘉義市,土地,遠東段1~30地號,4232.0,住,,,1050525,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100400000,23724,,0.0,0,,RPROMLLKPHLFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義巿杭州三街74巷1~30號,106.83,住,,,1050426,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0740206,130.88,4,2,2,有,無,6900000,52720,,0.0,0,,RPUNMLSLOHLFFAI66DA
嘉義市,房地(土地+建物),嘉義市嘉義巿姜安街61~90號,158.0,住,,,1050510,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1040721,256.26,5,3,3,有,無,19820000,77343,,0.0,0,,RPRNMLTJPHLFFAI88CA
嘉義市,土地,中山段六小段1~30地號,142.0,住,,,1050428,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6350000,44718,,0.0,0,含未保存建物,RPSNMLTJPHLFFAI98CA
嘉義市,房地(土地+建物),嘉義市嘉義巿林森東路721~750號,41.69,住,,,1050601,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920317,168.45999999999998,3,2,2,有,有,4690000,27840,,0.0,0,,RPUNMLRLOHLFFAI09CA
嘉義市,房地(土地+建物),嘉義市嘉義巿興安街203巷16弄1~30號,80.0,住,,,1050606,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0800205,172.05,5,1,3,有,無,4500000,26155,,0.0,0,,RPUNMLTLOHLFFAI66CA
嘉義市,房地(土地+建物),嘉義市嘉義巿溫州二街91~120號,182.0,住,,,1050517,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1040501,413.66,5,2,4,有,無,29800000,72040,,0.0,0,,RPQNMLRLOHLFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義巿立仁路241~270號,100.0,住,,,1050517,土地1建物1車位0,一層，二層，三層，見其他登記事項,三層,店面(店鋪),見其他登記事項,見其他登記事項,1050204,227.57,3,3,5,有,無,15000000,65914,,0.0,0,,RPSNMLRLOHLFFAI88CA
嘉義市,房地(土地+建物),嘉義市嘉義巿文雅街150巷1~30號,16.12,住,,,1050517,土地1建物2車位0,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841002,109.52000000000001,3,2,2,有,有,3050000,27849,,0.0,0,,RPSNMLQLOHLFFAI78CA
