編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLKLOHLFFAI08CA,37,92.58,住商用,鋼筋混凝土加強磚造,68年3月1日,二層,一層 二層
RPQNMLMLOHLFFAI18CA,54,153.70,住家用,加強磚造,51年1月1日,四層,一層 二層 三層 四層
RPUNMLQLOHLFFAI98CA,55,96.60,住家用,木造,50年7月1日,二層,一層 二層 騎樓
RPTNMLRLOHLFFAI98CA,22,96.19,住家用,鋼筋混凝土造,83年1月21日,十二層,十一層
RPTNMLRLOHLFFAI98CA,22,11.41,共有部份,鋼筋混凝土造,83年1月21日,十二層,
RPTNMLRLOHLFFAI98CA,22,19.69,共有部份,鋼筋混凝土造,83年1月21日,十二層,
RPQNMLMJPHLFFAI08CA,39,114.59,住家用,鋼筋混凝土加強磚造,66年2月28日,二層,一層 二層 騎樓
RPXOMLLJPHLFFAI78CA,21,55.24,住家用,鋼筋混凝土造,84年1月17日,十二層,三層
RPXOMLLJPHLFFAI78CA,21,22.67,共有部份,鋼筋混凝土造,84年1月17日,十二層,
RPWNMLRLOHLFFAI86EA,22,85.63,住家用,鋼筋混凝土造,83年7月23日,十一層,六層
RPWNMLRLOHLFFAI86EA,22,18.85,共有部份,鋼筋混凝土造,83年7月23日,十一層,
RPTNMLKLOHLFFAI48EA,18,96.04,住家用,鋼筋混凝土造,87年2月26日,十二層,六層
RPTNMLKLOHLFFAI48EA,18,19.85,共有部份,鋼筋混凝土造,87年2月26日,十二層,
RPTNMLKLOHLFFAI48EA,18,16.82,共有部份,鋼筋混凝土造,87年2月26日,十二層,
RPOOMLKLOHLFFAI08EA,,358.20,住家用,見其他登記事項,105年4月1日,四層,一層 二層 三層 四層
RPSOMLLLOHLFFAI58EA,27,198.00,住家用,鋼筋混凝土造,78年10月12日,三層,一層 二層 三層
RPUNMLSLOHLFFAI66DA,31,130.88,住家用,加強磚造,74年2月6日,二層,一層 二層
RPRNMLTJPHLFFAI88CA,1,256.26,住家用,見其他登記事項,104年7月21日,三層,一層 二層 三層
RPUNMLRLOHLFFAI09CA,13,108.13,住家用,鋼筋混凝土造,92年3月17日,十四層,九層
RPUNMLRLOHLFFAI09CA,13,60.33,共有部份,鋼筋混凝土造,92年3月17日,十四層,
RPUNMLTLOHLFFAI66CA,25,172.05,住家用,鋼筋混凝土造,80年2月5日,四層,一層 二層 三層 四層
RPQNMLRLOHLFFAI68CA,1,413.66,見其他登記事項,見其他登記事項,104年5月1日,四層,一層 二層 三層 四層 見其他登記事項
RPSNMLRLOHLFFAI88CA,,227.57,見其他登記事項,見其他登記事項,105年2月4日,三層,一層 二層 三層 見其他登記事項
RPSNMLQLOHLFFAI78CA,21,77.54,住家用,鋼筋混凝土造,84年10月2日,十三層,十三層
RPSNMLQLOHLFFAI78CA,21,17.35,共有部份,鋼筋混凝土造,84年10月2日,十四層,
RPSNMLQLOHLFFAI78CA,21,14.64,共有部份,鋼筋混凝土造,84年10月2日,十三層,
