鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
竹北市,房地(土地+建物)+車位,新竹縣竹北市復興三路二段1~30號,40.95,商,,,1050414,土地1建物1車位2,十五層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050111,372.07,4,2,4,有,有,42460000,134791,坡道平面,79.32,3000000,,RPROMLKLOHLFFBJ38CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市復興三路二段1~30號,39.0,商,,,1050517,土地1建物1車位2,四層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050111,349.12,4,2,3,有,有,35890000,122646,坡道平面,79.32,2800000,,RPSOMLKLOHLFFBJ48CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市新興路96巷1~30號,36.0,,特定農業區,甲種建築用地,1050518,土地1建物1車位1,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840227,127.41,3,2,1,有,有,4000000,31395,坡道平面,0.0,0,,RPUOMLKLOHLFFBJ68CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家七路91~120號,26.5,住,,,1050523,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041007,159.33,3,2,2,有,有,11000000,69039,坡道平面,28.16,0,,RPPQMLQKOHLFFBJ88CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市成功八路91~120號,50.94,住,,,1050515,土地1建物1車位2,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010830,291.91,4,2,3,有,有,19300000,66116,坡道平面,56.22,0,,RPWOMLKLOHLFFBJ88CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉豐南路二段61~90號,40.36,住,,,1050501,土地1建物1車位2,十一層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011004,280.93,4,2,2,有,有,18660000,66422,坡道平面,0.0,0,,RPVOMLMLOHLFFBJ98CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉興路384巷1~30號,22.95,住,,,1050430,土地1建物1車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830504,120.82000000000001,3,2,2,有,有,5500000,45522,坡道機械,0.0,0,,RPPOMLMLOHLFFBJ38CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市縣政五街32巷1~30號,31.65,商,,,1050506,土地1建物1車位2,三層，四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880701,196.92,4,2,2,有,有,9750000,49512,坡道機械,0.0,0,,RPPSMLMLOHLFFBJ78CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉豐二街一段151~180號,43.82,住,,,1050506,土地1建物1車位2,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960625,275.35,4,2,2,有,有,17500000,63555,坡道平面,68.9,0,,RPVNMLNLOHLFFBJ98CA
新埔鎮,房地(土地+建物),新竹縣新埔鎮文華路127巷31~60號,103.0,,山坡地保育區,丙種建築用地,1050518,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0710728,110.4,3,2,2,有,無,4000000,36232,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLOLOHLFFBJ48CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉興路384巷1~30號,16.93,住,,,1050506,土地1建物1車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830311,90.42,2,2,2,有,有,4000000,44238,坡道機械,0.0,0,二親等間買賣,RPVOMLRLOHLFFBJ86CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口七街31~60號,52.24,住,,,1050519,土地1建物1車位2,一層，二層,十五層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0991214,371.48,2,2,2,有,有,20160000,54269,坡道平面,63.78,0,,RPUOMLSLOHLFFBJ86CA
新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮義民路三段211~240號,32.67,,特定農業區,甲種建築用地,1050426,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050226,119.75,3,2,2,有,無,5150000,43006,一樓平面,0.0,0,,RPPPMLSLOHLFFBJ09CA
