編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPROMLKLOHLFFBJ38CA,,195.59,住家用,鋼筋混凝土造,105年1月11日,二十一層,十五層
RPROMLKLOHLFFBJ38CA,,44.29,見其他登記事項,鋼筋混凝土造,105年1月11日,二十一層,
RPROMLKLOHLFFBJ38CA,,52.88,見其他登記事項,鋼筋混凝土造,105年1月11日,二十一層,
RPROMLKLOHLFFBJ38CA,,79.32,見其他登記事項,鋼筋混凝土造,105年1月11日,二十一層,
RPSOMLKLOHLFFBJ48CA,,181.11,住家用,鋼筋混凝土造,105年1月11日,二十層,四層
RPSOMLKLOHLFFBJ48CA,,49.05,見其他登記事項,鋼筋混凝土造,105年1月11日,二十一層,
RPSOMLKLOHLFFBJ48CA,,79.32,見其他登記事項,鋼筋混凝土造,105年1月11日,二十一層,
RPSOMLKLOHLFFBJ48CA,,39.64,見其他登記事項,鋼筋混凝土造,105年1月11日,二十層,
RPUOMLKLOHLFFBJ68CA,21,86.37,住家用,鋼筋混凝土造,84年2月27日,五層,四層
RPUOMLKLOHLFFBJ68CA,21,35.48,共用部分,鋼筋混凝土造,84年2月27日,五層,
RPUOMLKLOHLFFBJ68CA,21,5.56,共用部分,鋼筋混凝土造,84年2月27日,五層,
RPPQMLQKOHLFFBJ88CA,1,91.18,住家用,鋼筋混凝土造,104年10月7日,十二層,十層
RPPQMLQKOHLFFBJ88CA,1,20.58,見其他登記事項,鋼筋混凝土造,104年10月7日,十三層,
RPPQMLQKOHLFFBJ88CA,1,47.57,見其他登記事項,鋼筋混凝土造,104年10月7日,十三層,
RPWOMLKLOHLFFBJ88CA,4,166.18,住家用,鋼筋混凝土造,101年8月30日,十四層,三層
RPWOMLKLOHLFFBJ88CA,4,125.73,見其他登記事項,鋼筋混凝土造,101年8月30日,十四層,
RPVOMLMLOHLFFBJ98CA,4,157.89,住家用,鋼筋混凝土造,101年10月4日,十九層,十一層
RPVOMLMLOHLFFBJ98CA,4,123.04,見其他登記事項,鋼筋混凝土造,101年10月4日,十九層,
RPPOMLMLOHLFFBJ38CA,22,85.65,住家用,鋼筋混凝土造,83年5月4日,六層,四層
RPPOMLMLOHLFFBJ38CA,22,14.34,共用部分,鋼筋混凝土造,83年5月4日,七層,
RPPOMLMLOHLFFBJ38CA,22,20.83,共用部分,鋼筋混凝土造,83年5月4日,七層,
RPPSMLMLOHLFFBJ78CA,17,135.16,住家用,鋼筋混凝土造,88年7月1日,十層,三層 四層
RPPSMLMLOHLFFBJ78CA,17,35.52,共用部分,鋼筋混凝土造,88年7月1日,十層,
RPPSMLMLOHLFFBJ78CA,17,26.24,共用部分,鋼筋混凝土造,88年7月1日,十層,
RPVNMLNLOHLFFBJ98CA,9,156.49,住家用,鋼筋混凝土造,96年6月25日,十四層,十一層
RPVNMLNLOHLFFBJ98CA,9,118.86,共用部分,鋼筋混凝土造,96年6月25日,十四層,
RPPNMLOLOHLFFBJ48CA,34,110.40,住家用,加強磚造,71年7月28日,二層,一層 二層
RPVOMLRLOHLFFBJ86CA,22,63.17,住家用,鋼筋混凝土造,83年3月11日,六層,四層
RPVOMLRLOHLFFBJ86CA,22,12.20,共用部分,鋼筋混凝土造,83年3月11日,七層,
RPVOMLRLOHLFFBJ86CA,22,15.05,共用部分,鋼筋混凝土造,83年3月11日,六層,
RPUOMLSLOHLFFBJ86CA,5,205.35,商業用,鋼筋混凝土造,99年12月14日,十五層,一層 二層
RPUOMLSLOHLFFBJ86CA,5,110.56,見其他登記事項,鋼筋混凝土造,99年12月14日,十五層,
RPUOMLSLOHLFFBJ86CA,5,55.57,見其他登記事項,鋼筋混凝土造,99年12月14日,十五層,
RPPPMLSLOHLFFBJ09CA,,84.65,住家用,鋼筋混凝土造,105年2月26日,七層,五層
RPPPMLSLOHLFFBJ09CA,,19.07,停車空間,鋼筋混凝土造,105年2月26日,七層,
RPPPMLSLOHLFFBJ09CA,,16.03,見其他登記事項,鋼筋混凝土造,105年2月26日,七層,
RPRPMLSLOHLFFBJ66CA,,84.65,住家用,鋼筋混凝土造,105年2月26日,七層,七層
RPRPMLSLOHLFFBJ66CA,,19.07,停車空間,鋼筋混凝土造,105年2月26日,七層,
RPRPMLSLOHLFFBJ66CA,,16.03,見其他登記事項,鋼筋混凝土造,105年2月26日,七層,
RPUPMLSLOHLFFBJ96CA,,84.65,住家用,鋼筋混凝土造,105年2月26日,七層,二層
RPUPMLSLOHLFFBJ96CA,,19.07,停車空間,鋼筋混凝土造,105年2月26日,七層,
RPUPMLSLOHLFFBJ96CA,,16.03,見其他登記事項,鋼筋混凝土造,105年2月26日,七層,
RPVPMLSLOHLFFBJ07CA,,84.65,住家用,鋼筋混凝土造,105年2月26日,七層,六層
RPVPMLSLOHLFFBJ07CA,,19.07,停車空間,鋼筋混凝土造,105年2月26日,七層,
RPVPMLSLOHLFFBJ07CA,,16.03,見其他登記事項,鋼筋混凝土造,105年2月26日,七層,
RPVPMLLJPHLFFBJ88CA,8,255.93,農舍,鋼筋混凝土造,96年12月19日,二層,一層 二層 屋頂突出物
RPWPMLOJPHLFFBJ66CA,,145.20,住家用,鋼筋混凝土造,105年3月25日,十五層,十一層
RPWPMLOJPHLFFBJ66CA,,83.34,見其他登記事項,鋼筋混凝土造,105年3月25日,十五層,
RPWPMLOJPHLFFBJ66CA,,19.02,見其他登記事項,鋼筋混凝土造,105年3月25日,十五層,
RPOQMLOJPHLFFBJ58CA,,119.82,住家用,鋼筋混凝土造,105年3月25日,十五層,五層
RPOQMLOJPHLFFBJ58CA,,54.30,見其他登記事項,鋼筋混凝土造,105年3月25日,十五層,
RPOQMLOJPHLFFBJ58CA,,15.69,見其他登記事項,鋼筋混凝土造,105年3月25日,十五層,
RPRNMLMKPHLFFBJ48CA,9,99.93,住家用,鋼筋混凝土造,95年11月13日,十三層,八層
RPRNMLMKPHLFFBJ48CA,9,17.23,共用部分,鋼筋混凝土造,95年11月13日,十三層,
RPRNMLMKPHLFFBJ48CA,9,52.78,共用部分,鋼筋混凝土造,95年11月13日,十三層,
RPRNMLMKPHLFFBJ48CA,9,5.27,共用部分,鋼筋混凝土造,95年11月13日,三層,
RPRNMLMKPHLFFBJ48CA,9,.06,見其他登記事項,鋼筋混凝土造,95年11月13日,十三層,一層
RPVNMLMKPHLFFBJ88CA,5,151.00,住家用,鋼筋混凝土造,100年5月31日,十四層,七層
RPVNMLMKPHLFFBJ88CA,5,23.83,見其他登記事項,鋼筋混凝土造,100年5月31日,十四層,
RPVNMLMKPHLFFBJ88CA,5,36.80,見其他登記事項,鋼筋混凝土造,100年5月31日,十四層,
RPVNMLMKPHLFFBJ88CA,5,.18,見其他登記事項,鋼筋混凝土造,100年5月31日,十四層,一層
RPVNMLMKPHLFFBJ88CA,5,52.30,見其他登記事項,鋼筋混凝土造,100年5月31日,十四層,
RPUNMLQLOHLFFCJ66CA,16,85.79,住家用,鋼筋混凝土造,89年4月27日,五層,三層
RPUNMLQLOHLFFCJ66CA,16,13.90,共有部份,鋼筋混凝土造,89年4月27日,五層,
RPUNMLQLOHLFFCJ66CA,16,10.18,停車空間,鋼筋混凝土造,89年4月27日,五層,
RPUNMLQLOHLFFCJ66CA,16,.02,見其他登記事項,鋼筋混凝土造,89年4月27日,五層,一層
RPUNMLQLOHLFFCJ66CA,16,25.22,停車空間,鋼筋混凝土造,89年4月27日,五層,
RPWNMLMJPHLFFCJ98CA,1,234.02,見其他登記事項,鋼筋混凝土造,104年12月25日,五層,一層 二層 三層 四層 五層
RPXNMLMJPHLFFCJ09CA,1,234.02,見其他登記事項,鋼筋混凝土造,104年12月25日,五層,一層 二層 三層 四層 五層
RPOOMLMJPHLFFCJ28CA,1,239.70,見其他登記事項,鋼筋混凝土造,104年12月25日,五層,一層 二層 三層 四層 五層
RPUOMLMJPHLFFCJ88CA,,242.03,見其他登記事項,鋼筋混凝土造,104年12月25日,五層,一層 二層 三層 四層 五層
RPVOMLMJPHLFFCJ98CA,,234.02,見其他登記事項,鋼筋混凝土造,104年12月25日,五層,一層 二層 三層 四層 五層
RPWOMLMJPHLFFCJ09CA,,234.02,見其他登記事項,鋼筋混凝土造,104年12月25日,五層,一層 二層 三層 四層 五層
RPRPMLMJPHLFFCJ68CA,,234.53,見其他登記事項,鋼筋混凝土造,104年12月25日,五層,一層 二層 三層 四層 五層
RPSPMLMJPHLFFCJ78CA,1,245.34,見其他登記事項,鋼筋混凝土造,104年12月25日,五層,一層 二層 三層 四層 五層
RPTPMLMJPHLFFCJ88CA,1,234.02,見其他登記事項,鋼筋混凝土造,104年12月25日,五層,一層 二層 三層 四層 五層
RPUPMLMJPHLFFCJ98CA,1,234.02,見其他登記事項,鋼筋混凝土造,104年12月25日,五層,一層 二層 三層 四層 五層
RPWPMLMJPHLFFCJ56CA,1,234.02,見其他登記事項,鋼筋混凝土造,104年12月25日,五層,一層 二層 三層 四層 五層
RPXPMLMJPHLFFCJ66CA,1,234.02,見其他登記事項,鋼筋混凝土造,104年12月25日,五層,一層 二層 三層 四層 五層
RPOQMLMJPHLFFCJ48CA,1,234.00,見其他登記事項,鋼筋混凝土造,104年12月25日,五層,一層 二層 三層 四層 五層
RPPQMLMJPHLFFCJ58CA,1,234.53,見其他登記事項,鋼筋混凝土造,104年12月25日,五層,一層 二層 三層 四層 五層
RPQQMLMJPHLFFCJ68CA,1,243.18,見其他登記事項,鋼筋混凝土造,104年12月25日,五層,一層 二層 三層 四層 五層
RPQOMLOKPHLFFCJ78CA,11,23.86,住家用,鋼筋混凝土造,94年5月5日,九層,七層
RPQOMLOKPHLFFCJ78CA,11,8.98,共有部份,鋼筋混凝土造,94年5月5日,九層,
RPQOMLOKPHLFFCJ78CA,11,7.42,共有部份,鋼筋混凝土造,94年5月5日,十層,
RPQOMLOKPHLFFCJ78CA,11,24.03,住家用,鋼筋混凝土造,94年5月5日,九層,七層
RPQOMLOKPHLFFCJ78CA,11,9.04,共有部份,鋼筋混凝土造,94年5月5日,九層,
RPQOMLOKPHLFFCJ78CA,11,8.64,共有部份,鋼筋混凝土造,94年5月5日,十層,
RPPNMLSKOHLFFDJ98CA,1,240.25,見其他登記事項,鋼筋混凝土造,104年3月2日,五層,一層 二層 三層 四層 五層
RPPOMLKLOHLFFDJ38CA,11,203.73,見其他登記事項,鋼筋混凝土造,94年1月5日,四層,一層 二層 三層 四層
RPPOMLKLOHLFFDJ38CA,11,.42,見其他登記事項,鋼筋混凝土造,94年1月5日,四層,一層
RPQNMLNLOHLFFDJ68CA,38,105.20,住家用,加強磚造,67年7月12日,二層,一層 二層
RPUNMLRLOHLFFDJ86CA,10,7.42,見其他登記事項,鋼筋混凝土造,95年8月24日,五層,
RPUNMLRLOHLFFDJ86CA,10,32.90,住家用,鋼筋混凝土造,95年8月24日,五層,一層
RPXNMLRLOHLFFDJ17CA,1,59.98,見其他登記事項,鋼筋混凝土造,104年8月30日,七層,七層
RPXNMLRLOHLFFDJ17CA,1,46.28,見其他登記事項,鋼筋混凝土造,104年8月30日,七層,
RPXNMLRLOHLFFDJ17CA,1,10.81,見其他登記事項,鋼筋混凝土造,104年8月30日,七層,
RPPOMLRLOHLFFDJ09CA,1,53.08,見其他登記事項,鋼筋混凝土造,104年8月30日,七層,一層
RPPOMLRLOHLFFDJ09CA,1,25.85,見其他登記事項,鋼筋混凝土造,104年8月30日,七層,
RPPOMLRLOHLFFDJ09CA,1,14.57,見其他登記事項,鋼筋混凝土造,104年8月30日,七層,
