編號,車位類別,車位價格,車位面積平方公尺
RPROMLKLOHLFFBJ38CA,坡道平面,1550000,39.66
RPROMLKLOHLFFBJ38CA,坡道平面,1450000,39.66
RPSOMLKLOHLFFBJ48CA,坡道平面,1400000,39.66
RPSOMLKLOHLFFBJ48CA,坡道平面,1400000,39.66
RPUOMLKLOHLFFBJ68CA,坡道平面,0,
RPPQMLQKOHLFFBJ88CA,坡道平面,0,28.16
RPWOMLKLOHLFFBJ88CA,坡道平面,0,28.11
RPWOMLKLOHLFFBJ88CA,坡道平面,0,28.11
RPVOMLMLOHLFFBJ98CA,坡道平面,0,
RPVOMLMLOHLFFBJ98CA,坡道平面,0,
RPPOMLMLOHLFFBJ38CA,坡道機械,0,
RPPSMLMLOHLFFBJ78CA,坡道機械,0,
RPPSMLMLOHLFFBJ78CA,坡道機械,0,
RPVNMLNLOHLFFBJ98CA,坡道平面,0,34.45
RPVNMLNLOHLFFBJ98CA,坡道平面,0,34.45
RPVOMLRLOHLFFBJ86CA,坡道機械,0,
RPUOMLSLOHLFFBJ86CA,坡道平面,0,31.89
RPUOMLSLOHLFFBJ86CA,坡道平面,0,31.89
RPPPMLSLOHLFFBJ09CA,一樓平面,0,
RPRPMLSLOHLFFBJ66CA,一樓平面,0,
RPUPMLSLOHLFFBJ96CA,一樓平面,0,
RPVPMLSLOHLFFBJ07CA,一樓平面,0,
RPWPMLOJPHLFFBJ66CA,坡道平面,1450000,22.24
RPWPMLOJPHLFFBJ66CA,坡道平面,1450000,22.24
RPOQMLOJPHLFFBJ58CA,坡道平面,1350000,22.23
RPRNMLMKPHLFFBJ48CA,坡道平面,0,
RPVNMLMKPHLFFBJ88CA,坡道平面,0,
RPVNMLMKPHLFFBJ88CA,坡道平面,0,
RPUNMLQLOHLFFCJ66CA,坡道平面,0,
RPXNMLRLOHLFFDJ17CA,坡道機械,650000,19.64
RPXNMLRLOHLFFDJ17CA,坡道機械,650000,19.64
RPPOMLRLOHLFFDJ09CA,坡道機械,650000,19.64
RPROMLRLOHLFFDJ66CA,坡道平面,1200000,29.61
RPPNMLLLOHLFFBJ28DA,坡道平面,0,
RPTNMLTLOHLFFCJ07EA,一樓平面,0,
RPTNMLTLOHLFFCJ07EA,一樓平面,0,
RPQNMLPLOHLFFBJ68CA,坡道平面,0,
RPTOMLNLOHLFFBJ88CA,坡道平面,0,
RPRNMLNLOHLFFBJ58CA,坡道平面,0,
RPSNMLNLOHLFFBJ68CA,坡道平面,0,
RPXOMLMLOHLFFBJ56CA,坡道機械,0,
RPOPMLMLOHLFFBJ38CA,坡道平面,0,31.49
RPTNMLLLOHLFFBJ58CA,坡道平面,0,
RPVOMLKLOHLFFBJ78CA,坡道平面,0,
RPPNMLMLOHLFFBJ28CA,坡道平面,0,30.42
RPSNMLMLOHLFFBJ58CA,坡道平面,0,36.19
RPSNMLMLOHLFFBJ58CA,坡道平面,0,36.19
SPSNMLMLOHLFFBJ68CA,坡道平面,0,38.26
SPSNMLMLOHLFFBJ68CA,坡道平面,0,38.26
SPSNMLMLOHLFFBJ68CA,坡道平面,0,38.26
RPWOMLNLOHLFFBJ56CA,坡道平面,1200000,23.77
RPWOMLNLOHLFFBJ56CA,坡道平面,1200000,23.77
RPXNMLRLOHLFFBJ96CA,坡道平面,0,33.34
RPXNMLRLOHLFFBJ96CA,坡道平面,0,33.34
