鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
竹北市,建物,新竹縣竹北市成功十二街1~30號,0.0,住,,,1050607,土地0建物1車位2,九層,11,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1040903,182.82999999999998,0,0,0,無,有,無,36750,201,坡道平面,68.12,0,,RPRPMLQKOHLFFBJ56CC
湖口鄉,房地(土地+建物),新竹縣湖口鄉光復東路181~210號,81.65,,工業區,丁種建築用地,1050605,土地1建物1車位0,見其他登記事項,4,店面(店鋪),住家用,鋼筋混凝土造,0940126,208.26,4,2,3,有,無,有,14500,70,,0.0,0,,RPPNMLQKOHLFFDJ98CC
竹北市,房地(土地+建物)+車位,新竹縣竹北市成功九街31~60號,22.0,住,,,1050527,土地1建物1車位1,一層,14,店面(店鋪),商業用,鋼筋混凝土造,1011212,75.92,0,0,0,無,無,無,20000,263,坡道平面,37.87,0,,RPPPMLRKOHLFFBJ09CC
竹北市,房地(土地+建物),新竹縣竹北市文義街121~150號,10.36,其他,,,1050615,土地1建物1車位0,二層,7,套房(1房1廳1衛),商業用,鋼筋混凝土造,0950821,55.05,1,1,1,有,無,有,13500,245,,0.0,0,,RPRQMLRKOHLFFBJ76CC
竹北市,建物,新竹縣竹北市嘉政十街1~30號,0.0,住,,,1050608,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030516,132.21,3,2,2,有,無,無,25000,189,,0.0,0,,RPQNMLSKOHLFFBJ09CC
竹北市,建物,新竹縣竹北市莊敬五街61~90號,0.0,商,,,1050605,土地0建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950519,127.42,3,2,2,有,有,有,22000,173,坡道平面,0.0,0,,RPXNMLLLOHLFFBJ56CC
竹北市,建物,新竹縣竹北市六家一路一段121~150號,0.0,商,,,1050603,土地0建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000707,143.67000000000002,3,2,2,有,有,無,19500,136,坡道平面,0.0,0,租金含管續租,RPOOMLLLOHLFFBJ38CC
竹北市,建物,新竹縣竹北市勝利六街1~30號,0.0,商,,,1050603,土地0建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920724,131.85,3,2,2,有,有,有,16000,121,坡道平面,0.0,0,,RPPOMLLLOHLFFBJ48CC
竹北市,建物,新竹縣竹北市聯發街31~60號,0.0,住,,,1050606,土地0建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040519,132.81,2,2,1,有,有,有,16000,120,坡道平面,0.0,0,,RPQOMLLLOHLFFBJ58CC
竹北市,建物,新竹縣竹北市縣政二路481~510號,0.0,住,,,1050606,土地0建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020111,103.25,2,2,1,有,有,有,17000,165,坡道平面,0.0,0,,RPROMLLLOHLFFBJ68CC
