編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPRPMLQKOHLFFBJ56CC,自強段,.00,都市：住
RPPNMLQKOHLFFDJ98CC,中興段中興小段,81.65,非都市：工業區 ; 非都市編定：丁種建築用地
RPPPMLRKOHLFFBJ09CC,自強段,22.00,都市：住
RPRQMLRKOHLFFBJ76CC,翰林段,10.36,都市：其他
RPQNMLSKOHLFFBJ09CC,隘興段,.00,都市：住
RPXNMLLLOHLFFBJ56CC,大學段,.00,都市：商
RPOOMLLLOHLFFBJ38CC,家興段,.00,都市：商
RPPOMLLLOHLFFBJ48CC,大學段,.00,都市：商
RPQOMLLLOHLFFBJ58CC,莊敬段,.00,都市：住
RPROMLLLOHLFFBJ68CC,翰林段,.00,都市：住
RPSOMLLLOHLFFBJ78CC,家興段,.00,都市：住
RPTPMLMLOHLFFBJ09CC,翰林段,.00,都市：商
RPUPMLMLOHLFFBJ56CC,自強段,.00,都市：住
RPWPMLMLOHLFFBJ76CC,大學段,.00,都市：住
RPXPMLMLOHLFFBJ86CC,縣福段,.00,都市：住
RPPQMLMLOHLFFBJ78CC,家興段,.00,都市：住
RPWQMLMLOHLFFBJ86CC,世興段,.00,都市：住
RPQRMLMLOHLFFBJ98CC,隘興段,.00,都市：商
RPSRMLMLOHLFFBJ56CC,家興段,.00,都市：住
RPURMLMLOHLFFBJ76CC,大學段,.00,都市：住
RPTNMLMLOHLFFDJ09CC,中興段中興小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPSPMLSLOHLFFBJ96CC,永興段,.00,都市：其他
RPSOMLKMOHLFFBJ78CC,台科段,.00,都市：住
RPVOMLKMOHLFFBJ09CC,家興段,.00,都市：住
